component,variable,metric_key,n_ob,n_events,null_median_low_to_high_delta_z,null_median_high_to_low_delta_z,null_median_direction_contrast_z,null_abs_median_direction_contrast_z,null_direction_contrast_sign_consistency,replicate
affine_pred,tangential_speed_mean,affine_pred__tangential_speed_mean,19,1471,0.12456214324485808,0.0588960338072384,0.10019826678292271,0.10019826678292271,0.631578947368421,89
affine_resid,velocity_cov_trace,affine_resid__velocity_cov_trace,19,1471,-0.022617132591138844,-0.07452842862947018,0.08443156327881673,0.08443156327881673,0.5789473684210527,89
affine_resid,mean_speed,affine_resid__mean_speed,19,1471,-0.04936564910359394,-0.11937965972619416,0.07539090759371897,0.07539090759371897,0.5789473684210527,89
affine_pred,speed_rms,affine_pred__speed_rms,19,1471,0.026495234110640836,0.01512350640126664,0.03432480145168393,0.03432480145168393,0.5789473684210527,89
raw,mean_speed,raw__mean_speed,19,1471,-0.004577026189122216,-0.014042585993843781,-0.011493137574213039,0.011493137574213039,0.5263157894736842,89
raw,speed_rms,raw__speed_rms,19,1471,0.05688044786077129,-0.0654660781668112,0.3030333183335213,0.3030333183335213,0.7894736842105263,90
raw,mean_speed,raw__mean_speed,19,1471,0.032460909233011204,-0.02225253164556973,0.25300467244911146,0.25300467244911146,0.631578947368421,90
raw,velocity_cov_trace,raw__velocity_cov_trace,19,1471,0.0745937618920212,-0.14304360103420682,0.2330290379555327,0.2330290379555327,0.7894736842105263,90
affine_resid,velocity_cov_trace,affine_resid__velocity_cov_trace,19,1471,0.030097666578243573,-0.031974378982554785,0.19612211721674924,0.19612211721674924,0.631578947368421,90
affine_resid,speed_rms,affine_resid__speed_rms,19,1471,0.0055286113372111645,-0.03384950604576431,0.17381770017662806,0.17381770017662806,0.631578947368421,90
affine_resid,mean_speed,affine_resid__mean_speed,19,1471,0.11287921682823525,-0.03019800325665667,0.1664801394060826,0.1664801394060826,0.631578947368421,90
raw,tangential_speed_mean,raw__tangential_speed_mean,19,1471,0.04473328211300212,0.051118038286294354,-0.1037530275330047,0.1037530275330047,0.5789473684210527,90
affine_pred,mean_speed,affine_pred__mean_speed,19,1471,-0.05347114159822097,-0.12978614808017497,0.09756563862906631,0.09756563862906631,0.5263157894736842,90
affine_pred,speed_rms,affine_pred__speed_rms,19,1471,-0.04966291900620298,-0.06841743689450008,0.07958806667946566,0.07958806667946566,0.5789473684210527,90
affine_pred,velocity_cov_trace,affine_pred__velocity_cov_trace,19,1471,-0.058169221045385466,-0.07598513860174756,-0.07190385253923781,0.07190385253923781,0.5789473684210527,90
affine_pred,tangential_speed_mean,affine_pred__tangential_speed_mean,19,1471,-0.1134071747527049,-0.08715754919842914,-0.06646024559454067,0.06646024559454067,0.631578947368421,90
affine_resid,tangential_speed_mean,affine_resid__tangential_speed_mean,19,1471,-0.014214557406954875,-0.052482556512796104,0.03145065362932237,0.03145065362932237,0.5789473684210527,90
affine_pred,speed_rms,affine_pred__speed_rms,19,1470,-0.03890025607951131,0.07254271849971727,-0.18352458634934943,0.18352458634934943,0.5789473684210527,91
affine_resid,velocity_cov_trace,affine_resid__velocity_cov_trace,19,1470,-0.06124959946231434,0.003306386837152786,-0.15818338239180996,0.15818338239180996,0.631578947368421,91
affine_resid,speed_rms,affine_resid__speed_rms,19,1470,-0.06937957883676124,0.0737589163096849,-0.15124504495679944,0.15124504495679944,0.631578947368421,91
raw,velocity_cov_trace,raw__velocity_cov_trace,19,1470,-0.022111354749443698,-0.004889918253236009,-0.14063072858797365,0.14063072858797365,0.631578947368421,91
affine_pred,velocity_cov_trace,affine_pred__velocity_cov_trace,19,1470,-0.028178326173317197,0.04616212805767361,-0.13047590229344264,0.13047590229344264,0.631578947368421,91
raw,mean_speed,raw__mean_speed,19,1470,-0.030275489783999132,-0.06470360809665658,0.10359129527348154,0.10359129527348154,0.5789473684210527,91
affine_resid,mean_speed,affine_resid__mean_speed,19,1470,0.09188405319802623,0.04770954922486163,0.10346340551032845,0.10346340551032845,0.631578947368421,91
affine_pred,mean_speed,affine_pred__mean_speed,19,1470,-0.009895243642526162,0.06628851758586764,-0.08028672799053496,0.08028672799053496,0.631578947368421,91
raw,speed_rms,raw__speed_rms,19,1470,0.06674626990657834,-0.020864437237162414,-0.0622116804293108,0.0622116804293108,0.5263157894736842,91
raw,tangential_speed_mean,raw__tangential_speed_mean,19,1470,-0.07167301715028644,-0.0175823149511094,-0.05409070219917704,0.05409070219917704,0.5789473684210527,91
affine_pred,tangential_speed_mean,affine_pred__tangential_speed_mean,19,1470,0.05808800050095486,0.03904685636639088,-0.010475676713450732,0.010475676713450732,0.5263157894736842,91
affine_resid,tangential_speed_mean,affine_resid__tangential_speed_mean,19,1470,0.03504898085713623,-0.03302073084999326,-0.00229568612424913,0.00229568612424913,0.5263157894736842,91
affine_resid,mean_speed,affine_resid__mean_speed,19,1471,0.16994627424240438,-0.06374108049586408,0.24191896190015336,0.24191896190015336,0.631578947368421,92
raw,speed_rms,raw__speed_rms,19,1471,0.16903152323371362,0.04334776257053305,0.15389240281356367,0.15389240281356367,0.631578947368421,92
raw,mean_speed,raw__mean_speed,19,1471,0.09300323659592538,0.035036353142334276,0.1218366305608754,0.1218366305608754,0.5789473684210527,92
affine_pred,mean_speed,affine_pred__mean_speed,19,1471,0.003593400219293552,0.11337992849485257,-0.1168687745773482,0.1168687745773482,0.5789473684210527,92
affine_resid,speed_rms,affine_resid__speed_rms,19,1471,0.08007633180172456,-0.056887575281777666,0.10673758252827975,0.10673758252827975,0.631578947368421,92
raw,velocity_cov_trace,raw__velocity_cov_trace,19,1471,0.10269259518402227,0.0666548755355929,0.1044274384339533,0.1044274384339533,0.5263157894736842,92
affine_pred,tangential_speed_mean,affine_pred__tangential_speed_mean,19,1471,0.046110083149902614,0.08927169100182238,-0.08935443860882095,0.08935443860882095,0.631578947368421,92
affine_pred,speed_rms,affine_pred__speed_rms,19,1471,0.023677796578694732,0.06142222422115884,-0.0834376600531837,0.0834376600531837,0.631578947368421,92
affine_resid,velocity_cov_trace,affine_resid__velocity_cov_trace,19,1471,0.07322201921714225,-0.043203698732780293,0.07661588123018293,0.07661588123018293,0.631578947368421,92
