variable,component,relative_time_sec,median_aligned_resid_z,q25_aligned_resid_z,q75_aligned_resid_z,n_events
speed_rms,affine_pred,-0.25,-0.04033618953462385,-0.7259444469242955,0.6603442030746647,1471
speed_rms,affine_pred,-0.2,-0.06691658916621983,-0.7288510734118133,0.650099864409867,1471
speed_rms,affine_pred,-0.15,-0.07598118375799354,-0.7455474839808989,0.6336944573776492,1471
speed_rms,affine_pred,-0.1,-0.03594638540916441,-0.6864433480862786,0.6294520728545947,1471
speed_rms,affine_pred,-0.05,-0.031517422441015484,-0.6736886294696591,0.6578264696939513,1471
speed_rms,affine_pred,-0.0,0.025722452552543903,-0.6392106114802354,0.7502317022147529,1471
speed_rms,affine_pred,0.05,0.05971197698363314,-0.6060379555972731,0.7707331480193953,1471
speed_rms,affine_pred,0.1,0.08490491992384848,-0.594193837570371,0.7925922144131525,1471
speed_rms,affine_pred,0.15,0.12610649176609248,-0.5596987056312203,0.772882787364589,1471
speed_rms,affine_pred,0.2,0.07192794913600206,-0.649229115679659,0.7385506206740353,1471
speed_rms,affine_pred,0.25,0.007940964707325655,-0.6384610660190938,0.6947339993221506,1471
speed_rms,affine_pred,0.3,-0.024635831813505333,-0.7716565857004462,0.6628613570185182,1471
speed_rms,affine_pred,0.35,-0.012586191756608595,-0.7079731460549213,0.6360825505650777,1471
speed_rms,affine_pred,0.4,-0.014597632977110364,-0.6887915069013609,0.624770872162324,1471
speed_rms,affine_pred,0.45,-0.01135837319380294,-0.7107815473587795,0.620040933233819,1471
speed_rms,affine_pred,0.5,-0.04641354314660375,-0.7420815836182162,0.6388146260143487,1471
speed_rms,affine_resid,-0.5,-0.021331124901766446,-0.6324854880962791,0.7378102270864979,1471
speed_rms,affine_resid,-0.45,-0.017779746729519902,-0.7332191446556933,0.6892319150725226,1471
speed_rms,affine_resid,-0.4,-0.10163948013550395,-0.7588845677407152,0.6311348676963919,1471
speed_rms,affine_resid,-0.35,-0.11137792076211074,-0.7562255906587743,0.5462346057662743,1471
speed_rms,affine_resid,-0.3,-0.12136458608227614,-0.8406401033273454,0.4757059988493108,1471
speed_rms,affine_resid,-0.25,-0.17643713402585656,-0.8692515623890193,0.48371354767358354,1471
speed_rms,affine_resid,-0.2,-0.18533329982191593,-0.8663204659570047,0.4793905109660057,1471
speed_rms,affine_resid,-0.15,-0.18100125128159583,-0.8463473626681162,0.49164735068447335,1471
speed_rms,affine_resid,-0.1,-0.1279883299271691,-0.8522563846060285,0.5218275473862772,1471
speed_rms,affine_resid,-0.05,-0.05127866188789031,-0.7445094913283383,0.6153630602266202,1471
speed_rms,affine_resid,-0.0,0.005935170311406296,-0.7085014444810415,0.7084282308638923,1471
speed_rms,affine_resid,0.05,0.12342043593126194,-0.5747389409875416,0.796861031650134,1471
speed_rms,affine_resid,0.1,0.1747460261442111,-0.4787599744974985,0.8381837412362059,1471
speed_rms,affine_resid,0.15,0.2368512535044451,-0.4714169160719156,0.8832408126492126,1471
speed_rms,affine_resid,0.2,0.20834180961697146,-0.4705260514313507,0.8337675174142812,1471
speed_rms,affine_resid,0.25,0.19089445016851428,-0.5299723674165523,0.7960517604555375,1471
speed_rms,affine_resid,0.3,0.09181498993482455,-0.5823738269922316,0.7603399357225773,1471
speed_rms,affine_resid,0.35,0.07342004028151289,-0.5701493655702965,0.7497790104873912,1471
speed_rms,affine_resid,0.4,0.027535890251010966,-0.6157509989002968,0.742787971376562,1471
speed_rms,affine_resid,0.45,-0.03640610881462699,-0.6947864956697352,0.6139286621261808,1471
speed_rms,affine_resid,0.5,-0.06967519964412663,-0.7163063036396684,0.6201739003426296,1471
velocity_cov_trace,raw,-0.5,-0.0006315772364467369,-0.6617452363023972,0.7393433018407181,1471
velocity_cov_trace,raw,-0.45,-0.03704337632942625,-0.7220221087014408,0.6659066106644672,1471
velocity_cov_trace,raw,-0.4,-0.09622123436804089,-0.7608903417628593,0.6009149944170076,1471
velocity_cov_trace,raw,-0.35,-0.13608458620958053,-0.7900066622515336,0.5715557305102349,1471
velocity_cov_trace,raw,-0.3,-0.16556317508751353,-0.8121607022899324,0.4714344728826662,1471
velocity_cov_trace,raw,-0.25,-0.19653559893044806,-0.8402904989541494,0.46373806136067497,1471
velocity_cov_trace,raw,-0.2,-0.2101446520446126,-0.8630700184439886,0.4963257420202662,1471
velocity_cov_trace,raw,-0.15,-0.19944440119097587,-0.8768102723785927,0.49022429220312125,1471
velocity_cov_trace,raw,-0.1,-0.13971347501072867,-0.833837497132925,0.531406307102469,1471
velocity_cov_trace,raw,-0.05,-0.06038529695093596,-0.7120655774399547,0.635927753643347,1471
velocity_cov_trace,raw,-0.0,0.0368794202503885,-0.6796951203756856,0.6911556200559212,1471
velocity_cov_trace,raw,0.05,0.14980125639868225,-0.5704112321680496,0.8008355067606441,1471
velocity_cov_trace,raw,0.1,0.2088156319578401,-0.45638255077113865,0.8743737545670154,1471
velocity_cov_trace,raw,0.15,0.2603134330529624,-0.3922988735863189,0.8838266934627288,1471
velocity_cov_trace,raw,0.2,0.22434065972910522,-0.477026822682887,0.8702580598796787,1471
velocity_cov_trace,raw,0.25,0.15522853532277842,-0.5099671598012511,0.8056970331070974,1471
velocity_cov_trace,raw,0.3,0.06735113596884076,-0.6198038081733788,0.7525036574616738,1471
velocity_cov_trace,raw,0.35,0.06933685965797824,-0.607770264762616,0.748909088372427,1471
velocity_cov_trace,raw,0.4,0.03774982610008848,-0.6525944971502148,0.7060823781298456,1471
velocity_cov_trace,raw,0.45,-0.037714691930257005,-0.7404075375157304,0.6127560958553324,1471
velocity_cov_trace,raw,0.5,-0.11141465283051369,-0.7416517435210952,0.5764736855925218,1471
velocity_cov_trace,affine_pred,-0.5,-0.03650997718638647,-0.6858050135151159,0.6478180595683983,1471
velocity_cov_trace,affine_pred,-0.45,-0.05230307961877984,-0.7478451414468772,0.6448074227155656,1471
velocity_cov_trace,affine_pred,-0.4,-0.03899014994290455,-0.7130580525793658,0.6117509333434681,1471
velocity_cov_trace,affine_pred,-0.35,-0.030168076133114896,-0.7023605066770783,0.5923058139100337,1471
velocity_cov_trace,affine_pred,-0.3,-0.06919013908282799,-0.7224325975556625,0.6292847325680591,1471
velocity_cov_trace,affine_pred,-0.25,-0.03987768045443091,-0.7026093370118754,0.6139453666816175,1471
velocity_cov_trace,affine_pred,-0.2,-0.016200344156743228,-0.7291248546372873,0.6742152333433347,1471
velocity_cov_trace,affine_pred,-0.15,-0.04455871251652784,-0.7676220718981507,0.6479220098226307,1471
velocity_cov_trace,affine_pred,-0.1,-0.020653619293686556,-0.7108102376331145,0.6140852093364579,1471
velocity_cov_trace,affine_pred,-0.05,-0.006796218357640403,-0.692118823984974,0.64499281600731,1471
velocity_cov_trace,affine_pred,-0.0,0.06625164648739294,-0.6679252894929326,0.734258109361194,1471
velocity_cov_trace,affine_pred,0.05,0.06389670544285447,-0.6127859273366522,0.7796354500540315,1471
velocity_cov_trace,affine_pred,0.1,0.10193224240578531,-0.6361502968018433,0.7950409217124756,1471
velocity_cov_trace,affine_pred,0.15,0.12147592671773155,-0.5816163676117325,0.774222078144603,1471
velocity_cov_trace,affine_pred,0.2,0.05071180903883306,-0.5976561265302305,0.7654469402841722,1471
velocity_cov_trace,affine_pred,0.25,-0.0016665461199989343,-0.6669190623855623,0.6814246144071978,1471
velocity_cov_trace,affine_pred,0.3,-0.028033256671529012,-0.6961596307516601,0.6465152083044456,1471
velocity_cov_trace,affine_pred,0.35,0.006694803940956847,-0.6924238794941286,0.6738341490002707,1471
velocity_cov_trace,affine_pred,0.4,-0.00940921736048343,-0.706472320582974,0.6316423163908884,1471
velocity_cov_trace,affine_pred,0.45,-0.012273679001168717,-0.7070802013932938,0.6461891429067409,1471
velocity_cov_trace,affine_pred,0.5,-0.05883303369180114,-0.7345486369452148,0.6253075710763127,1471
velocity_cov_trace,affine_resid,-0.5,-0.00786475303752902,-0.6455038296390265,0.7614576947153957,1471
velocity_cov_trace,affine_resid,-0.45,-0.015944761743709422,-0.7153836235997824,0.6928816423329704,1471
velocity_cov_trace,affine_resid,-0.4,-0.09680110379072557,-0.7615940911879018,0.633430985463813,1471
velocity_cov_trace,affine_resid,-0.35,-0.11376363595552516,-0.7615869508691738,0.5435301668263474,1471
velocity_cov_trace,affine_resid,-0.3,-0.11881000805605997,-0.8393663732808803,0.47852059483549675,1471
velocity_cov_trace,affine_resid,-0.25,-0.18093332453635183,-0.8541737039748201,0.4784255234949688,1471
velocity_cov_trace,affine_resid,-0.2,-0.19169118702467638,-0.8893690529052524,0.4872252651195256,1471
velocity_cov_trace,affine_resid,-0.15,-0.17484450691527664,-0.8324391438382626,0.4994763810616903,1471
velocity_cov_trace,affine_resid,-0.1,-0.13183271972093114,-0.8609140976307466,0.5291653519910009,1471
velocity_cov_trace,affine_resid,-0.05,-0.05335041778055108,-0.746337862647131,0.6126664755259994,1471
velocity_cov_trace,affine_resid,-0.0,-0.0015224001142120718,-0.7152627727756544,0.7036105223661602,1471
velocity_cov_trace,affine_resid,0.05,0.12162625579816776,-0.5617814885827088,0.7919075810219687,1471
velocity_cov_trace,affine_resid,0.1,0.1722288567675653,-0.47455241322631764,0.8372908227752996,1471
velocity_cov_trace,affine_resid,0.15,0.23410872141619724,-0.4692440875343278,0.8647238808265945,1471
velocity_cov_trace,affine_resid,0.2,0.21451168291356024,-0.46700365615641976,0.8395152252119477,1471
velocity_cov_trace,affine_resid,0.25,0.18783306414839368,-0.5279139846043921,0.7877337433366254,1471
