variable,family,n_ob,n_events,null_median_low_to_high_delta_z,null_median_high_to_low_delta_z,null_median_direction_contrast_z,null_abs_median_direction_contrast_z,null_direction_contrast_sign_consistency,replicate
resid_polarization,residual_order,19,1471,-0.04016291840480821,-0.11419554892558534,0.01001457466229319,0.01001457466229319,0.5263157894736842,43
resid_tangential_speed_mean,tangential_swirl,19,1471,0.05080977739812215,0.07307116068591796,-0.005291698572940484,0.005291698572940484,0.5789473684210527,43
edge_minus_core_resid_tangential,edge_core,19,1471,-0.06935121621165435,-0.019950562863462945,-0.16941500857794428,0.16941500857794428,0.6842105263157895,44
radius_resid_speed_corr,edge_core,19,1471,0.042137249805281905,0.07017650306095446,-0.10809204370249123,0.10809204370249123,0.631578947368421,44
resid_velocity_cov_trace,residual_intensity,19,1471,-0.03905301840014077,-0.05885353815455688,-0.09818498308953497,0.09818498308953497,0.5789473684210527,44
resid_tangential_fraction,tangential_swirl,19,1471,0.05400629196148389,0.10791429830885602,-0.09288941998947939,0.09288941998947939,0.631578947368421,44
resid_speed_rms,residual_intensity,19,1471,-0.04035608321042516,-0.058809534912722644,-0.0900746212547747,0.0900746212547747,0.5789473684210527,44
resid_radial_abs_mean,radial,19,1471,-0.015541876323848014,0.0122419462469458,-0.05281482143655453,0.05281482143655453,0.5789473684210527,44
radius_resid_tangential_corr,edge_core,19,1471,-0.05623754385319044,-0.041948459112259084,-0.0441108629587717,0.0441108629587717,0.5263157894736842,44
resid_inward_fraction,radial,19,1471,0.0583405202030739,0.10161536774262792,-0.035700219258885835,0.035700219258885835,0.5789473684210527,44
resid_polarization,residual_order,19,1471,0.059594486607997946,-0.028281378218369967,0.023241049897869435,0.023241049897869435,0.5263157894736842,44
edge_minus_core_resid_speed,edge_core,19,1471,0.03487281826319466,0.03929033552494386,-0.020874976841479542,0.020874976841479542,0.5263157894736842,44
resid_radial_velocity_mean,radial,19,1471,0.010141189839999794,-0.028566644048504092,0.019249505016951635,0.019249505016951635,0.5789473684210527,44
resid_tangential_speed_mean,tangential_swirl,19,1471,0.0019617695530473322,0.015235681235762702,-0.007097983579051226,0.007097983579051226,0.5263157894736842,44
edge_minus_core_resid_speed,edge_core,19,1471,0.10581510105062021,-0.009132648713027991,0.09406379935227305,0.09406379935227305,0.631578947368421,45
