variable,family,relative_time_sec,median_aligned_resid_z,q25_aligned_resid_z,q75_aligned_resid_z,n_events
edge_minus_core_resid_speed,edge_core,0.3,-0.056984157995289,-0.7297570090502052,0.660677551678281,1471
edge_minus_core_resid_speed,edge_core,0.35,-0.0492528382710982,-0.6742893423344221,0.6437671012538542,1471
edge_minus_core_resid_speed,edge_core,0.4,0.006912307195723206,-0.696663577702,0.691606543404103,1471
edge_minus_core_resid_speed,edge_core,0.45,-0.0029412793449501242,-0.6333668595929481,0.6989357965010708,1471
edge_minus_core_resid_speed,edge_core,0.5,0.04118891318529788,-0.6053981714470407,0.6767645641006739,1471
edge_minus_core_resid_tangential,edge_core,-0.5,-0.0027235156304361036,-0.6561903907570874,0.6474703640090542,1471
edge_minus_core_resid_tangential,edge_core,-0.45,0.008755637903386432,-0.6565197234571449,0.663960170806137,1471
edge_minus_core_resid_tangential,edge_core,-0.4,0.011760885271424912,-0.6417024840548166,0.6813595903948649,1471
edge_minus_core_resid_tangential,edge_core,-0.35,-0.01476644278154185,-0.6894846969990299,0.687828985440153,1471
edge_minus_core_resid_tangential,edge_core,-0.3,0.045316223596532916,-0.6505164452984138,0.7237912693068316,1471
edge_minus_core_resid_tangential,edge_core,-0.25,0.036697538513535445,-0.5881167063427144,0.6910947861020569,1471
edge_minus_core_resid_tangential,edge_core,-0.2,0.08239933029641001,-0.6028501223908865,0.7626375895448797,1471
edge_minus_core_resid_tangential,edge_core,-0.15,0.0512447476212641,-0.6306786668341323,0.7010495464457918,1471
edge_minus_core_resid_tangential,edge_core,-0.1,0.04027348979769135,-0.6034953433574973,0.7065317874287738,1471
edge_minus_core_resid_tangential,edge_core,-0.05,0.011171454991816014,-0.6514404763296096,0.6789524703782186,1471
edge_minus_core_resid_tangential,edge_core,-0.0,0.029347093850176066,-0.6477428666730685,0.6886863378123449,1471
edge_minus_core_resid_tangential,edge_core,0.05,0.0034157793525062233,-0.680939740964353,0.6657228107105067,1471
edge_minus_core_resid_tangential,edge_core,0.1,-0.04691418662824181,-0.659997073569334,0.622182004174348,1471
edge_minus_core_resid_tangential,edge_core,0.15,-0.03606211262057189,-0.6384550303292515,0.628940522712093,1471
edge_minus_core_resid_tangential,edge_core,0.2,-0.02597183465994326,-0.6354073690165727,0.6027298152539532,1471
edge_minus_core_resid_tangential,edge_core,0.25,-0.030408699302013637,-0.6686906257041139,0.6146564303570612,1471
edge_minus_core_resid_tangential,edge_core,0.3,-0.04479932158528536,-0.7212410570081967,0.6200860144788413,1471
edge_minus_core_resid_tangential,edge_core,0.35,-0.029218757951035804,-0.6498634150196335,0.6103230251776224,1471
edge_minus_core_resid_tangential,edge_core,0.4,-0.0024558397675708884,-0.7122792151880403,0.6765778990674585,1471
edge_minus_core_resid_tangential,edge_core,0.45,-0.014503706882718004,-0.6508482746828589,0.7140470004939845,1471
edge_minus_core_resid_tangential,edge_core,0.5,-0.010543740759730962,-0.7115548358226799,0.6793580277370967,1471
