ob,k,lag_sec,axis,source,n_events,b3_event_direction_abs_z,local_event_direction_abs_z,local_non_event_direction_abs_median_z,local_event_minus_non_event_direction_z,p_non_event_direction_ge_event,local_to_b3_direction_ratio,event_conditioned_local_gate,geometry_ladder_reading
7,8,0.05,timing,computed_4082,33,0.4291045105708926,0.7714251348791306,0.23554470243070022,0.5358804324484303,0.1,1.7977558284176622,True,local_nonaffine_signal_survives_pilot
7,8,0.15,timing,computed_4082,33,0.4291045105708926,0.7126540258067388,0.2515297916023371,0.46112423420440163,0.1,1.66079360214276,True,local_nonaffine_signal_survives_pilot
9,8,0.1,both,cached_4081c,36,0.3532778461635227,0.7680434118240885,0.2829075632809885,0.48513584854310005,0.025,2.174049180170166,True,local_nonaffine_signal_survives_pilot
9,6,0.1,scale,computed_4082,36,0.3532778461635227,1.1469364085961269,0.21874105726723173,0.9281953513288952,0.0,3.246556275892945,True,local_nonaffine_signal_survives_pilot
9,10,0.1,scale,cached_4081c,36,0.3532778461635227,0.7157256691822503,0.2686876810581775,0.44703798812407286,0.025,2.0259568409250335,True,local_nonaffine_signal_survives_pilot
9,12,0.1,scale,computed_4082,36,0.3532778461635227,1.2412665870499793,0.2893363884061956,0.9519301986437837,0.0,3.5135704107396273,True,local_nonaffine_signal_survives_pilot
9,8,0.05,timing,computed_4082,36,0.3532778461635227,0.6351034242187068,0.19384127601497964,0.44126214820372717,0.05,1.7977448377126222,True,local_nonaffine_signal_survives_pilot
9,8,0.15,timing,computed_4082,36,0.3532778461635227,0.5341584486286811,0.344140463193858,0.19001798543482312,0.2,1.5120066384842985,True,local_nonaffine_signal_survives_pilot
10,8,0.1,both,cached_4081c,36,0.5735311786222475,0.5742532985740864,0.3264204250985867,0.24783287347549965,0.15,1.001259077062861,True,local_nonaffine_signal_survives_pilot
10,6,0.1,scale,computed_4082,36,0.5735311786222475,0.5148910060985342,0.18825708496895766,0.32663392112957657,0.1,0.8977559116060956,True,local_nonaffine_signal_survives_pilot
10,10,0.1,scale,cached_4081c,36,0.5735311786222475,0.8041247935044742,0.3259136526753292,0.478211140829145,0.0,1.4020594232316457,True,local_nonaffine_signal_survives_pilot
10,12,0.1,scale,computed_4082,36,0.5735311786222475,0.5418764280434747,0.26763435240714006,0.2742420756363346,0.1,0.9448072715858017,True,local_nonaffine_signal_survives_pilot
10,8,0.05,timing,computed_4082,36,0.5735311786222475,0.2027107166417813,0.2248214059019294,-0.022110689260148086,0.6,0.35344323760870094,False,local_nonaffine_not_event_conditioned
10,8,0.15,timing,computed_4082,36,0.5735311786222475,0.43788324990900546,0.2102000879244721,0.22768316198453337,0.125,0.763486391377886,True,local_nonaffine_signal_survives_pilot
11,8,0.1,both,cached_4081c,119,0.4633947061497313,0.8262699018720059,0.2045583841272539,0.621711517744752,0.0,1.783080149398649,True,local_nonaffine_signal_survives_pilot
11,6,0.1,scale,computed_4082,119,0.4633947061497313,0.7717248959269627,0.14133813204206933,0.6303867638848933,0.0,1.6653727064322663,True,local_nonaffine_signal_survives_pilot
11,10,0.1,scale,cached_4081c,119,0.4633947061497313,0.7712036853834454,0.1910873833085145,0.5801163020749309,0.0,1.6642479405758586,True,local_nonaffine_signal_survives_pilot
11,12,0.1,scale,computed_4082,119,0.4633947061497313,0.9782306832718513,0.13338977782620004,0.8448409054456512,0.0,2.1110096215811476,True,local_nonaffine_signal_survives_pilot
11,8,0.05,timing,computed_4082,119,0.4633947061497313,0.8444867266117397,0.11709783576265209,0.7273888908490876,0.0,1.8223918301277933,True,local_nonaffine_signal_survives_pilot
11,8,0.15,timing,computed_4082,119,0.4633947061497313,0.7467769022483102,0.19336376553715584,0.5534131367111543,0.0,1.611535247031961,True,local_nonaffine_signal_survives_pilot
12,8,0.1,both,cached_4081c,91,0.1896317028740757,0.4498523670189291,0.1983993541383966,0.2514530128805325,0.15,2.372242405678612,True,local_nonaffine_signal_survives_pilot
12,6,0.1,scale,computed_4082,91,0.1896317028740757,0.5851460549938843,0.2845774950728418,0.3005685599210425,0.125,3.0856974130662556,True,local_nonaffine_signal_survives_pilot
12,10,0.1,scale,cached_4081c,91,0.1896317028740757,0.6176621810680468,0.2391034685559539,0.37855871251209294,0.025,3.2571672969587966,True,local_nonaffine_signal_survives_pilot
12,12,0.1,scale,computed_4082,91,0.1896317028740757,0.5145579821240985,0.2574060167285491,0.2571519653955494,0.075,2.7134596922635295,True,local_nonaffine_signal_survives_pilot
12,8,0.05,timing,computed_4082,91,0.1896317028740757,0.4978551859559885,0.21669783156792066,0.2811573543880678,0.075,2.6253795035874754,True,local_nonaffine_signal_survives_pilot
12,8,0.15,timing,computed_4082,91,0.1896317028740757,0.5928933807895209,0.25415700838958133,0.3387363723999396,0.075,3.126552004773325,True,local_nonaffine_signal_survives_pilot
13,8,0.1,both,cached_4081c,102,0.4612105319435909,0.5795725879581811,0.1490722943203286,0.4305002936378525,0.025,1.2566334630646872,True,local_nonaffine_signal_survives_pilot
13,6,0.1,scale,computed_4082,102,0.4612105319435909,0.2547837205112684,0.13621357205819995,0.11857014845306846,0.325,0.5524238994230734,True,local_nonaffine_signal_survives_pilot
13,10,0.1,scale,cached_4081c,102,0.4612105319435909,0.8098358048006362,0.2063206035751291,0.6035152012255072,0.0,1.7558918296767874,True,local_nonaffine_signal_survives_pilot
13,12,0.1,scale,computed_4082,102,0.4612105319435909,0.849808314167541,0.25231651343338135,0.5974918007341596,0.0,1.8425605126282723,True,local_nonaffine_signal_survives_pilot
13,8,0.05,timing,computed_4082,102,0.4612105319435909,0.5876775630106118,0.13216313256397566,0.45551443044663614,0.0,1.2742067283981464,True,local_nonaffine_signal_survives_pilot
13,8,0.15,timing,computed_4082,102,0.4612105319435909,0.4731292521048251,0.22228315254865566,0.25084609955616943,0.1,1.02584225496978,True,local_nonaffine_signal_survives_pilot
14,8,0.1,both,cached_4081c,47,0.6038757035705223,0.6836548282868479,0.21238200662155,0.4712728216652979,0.15,1.1321118307039302,True,local_nonaffine_signal_survives_pilot
14,6,0.1,scale,computed_4082,47,0.6038757035705223,0.46819661622179887,0.24632054660600422,0.22187606961579465,0.25,0.7753195126969064,True,local_nonaffine_signal_survives_pilot
14,10,0.1,scale,cached_4081c,47,0.6038757035705223,0.5047386955291653,0.2295723008830669,0.2751663946460984,0.075,0.8358320968119898,True,local_nonaffine_signal_survives_pilot
14,12,0.1,scale,computed_4082,47,0.6038757035705223,0.5565292449260836,0.22040556339771772,0.33612368152836586,0.1,0.9215956887079668,True,local_nonaffine_signal_survives_pilot
