event_type,relative_time_sec,n_ob,compact_density_resid_z,radius_resid_z,all_tangential,shell_edge_minus_core,shell_core_tangential,shell_edge_tangential
high_to_low,0.35,14,-0.521846760921482,0.5661815649267944,-0.060352269849752255,0.029041858353053597,0.0057116277394176,0.03677013714710317
high_to_low,0.4,14,-0.3840590931839656,0.3858451078839731,-0.07564251381222767,0.1248170016081585,-0.13767164262981174,-0.005640735708469801
high_to_low,0.45,14,-0.18254441913204913,0.2980539883299035,-0.0042940466758014,0.024341418115788403,0.015238352758931326,-0.008376628271025026
high_to_low,0.5,14,-0.03957426524756595,0.09183833895242847,-0.03405077699673757,-0.00794028931859235,-0.03462453775900125,0.05060684591388698
low_to_high,-0.5,14,-0.1573546341787997,0.15878146402700358,-0.02288615170448385,0.12724366664510012,0.014799970145335028,0.07855759011441535
low_to_high,-0.45,14,-0.2554763045833425,0.35163461614596325,-0.023468171878755176,0.03242732439393528,-0.013846302851353602,-0.018801861717777927
low_to_high,-0.4,14,-0.4200131753867341,0.4701200505723485,-0.14216001075491658,0.026239855780786824,-0.05201722337752473,-0.11687425698138679
low_to_high,-0.35,14,-0.5716681041153797,0.5341103457039138,-0.1187884030075646,0.06083570253034405,-0.09812524567347784,-0.06647552868588885
low_to_high,-0.3,14,-0.6911678343046007,0.7819927465432084,-0.1628962166436066,-0.0373361946212454,0.0002791661710313,-0.18911517707260878
low_to_high,-0.25,14,-0.9106132022718112,1.0499021222536662,-0.11932017538977899,-0.0716594530290832,-0.08264368432820884,-0.0917340059349091
low_to_high,-0.2,14,-1.0741097515733067,1.0711141503564305,-0.29307419944081325,0.07931715943437853,-0.1592312714048862,-0.23648633378775602
low_to_high,-0.15,14,-0.9896025947223184,0.9605353918813392,-0.35726030765101274,0.06363430944438078,-0.1941874019441968,-0.22597853949309304
low_to_high,-0.1,14,-0.8198847767678379,0.8553994627879513,-0.18357383743538713,0.05447345366633892,-0.17602367175030048,-0.1265047150381923
low_to_high,-0.05,14,-0.6704955939929627,0.5991587511871206,-0.1297791251807466,0.03660582919363732,-0.1376983176519772,-0.0340424149445826
low_to_high,-0.0,14,0.2672931093348133,-0.4411350837260334,-0.011341639354053853,-0.01432902524962805,-0.055164633131776226,0.05750268805433935
low_to_high,0.05,14,0.6061962278947894,-0.704515988462016,0.1500120099092488,-0.0188552876264458,0.12264706989212071,0.09434579479096471
low_to_high,0.1,14,0.8674506859698881,-0.8927555615375509,0.21267817911711767,-0.11226302811920258,0.19366342179447554,0.16308686403115064
low_to_high,0.15,14,1.0080708129177456,-0.8867228870447896,0.24810274203305718,0.026190410285968475,0.1400634464767715,0.145089542523118
low_to_high,0.2,14,1.0832210418014236,-1.0358945930555545,0.25431760458183517,-0.048751002382738676,0.21303859970433087,0.21076649627654342
low_to_high,0.25,14,1.0359592006041587,-0.8686197600049543,0.2616436754245269,-0.1023430784793483,0.1950575396078144,0.1736991692419525
low_to_high,0.3,14,0.902049046275301,-0.8407560232102071,0.1425854531095348,-0.07118758797997835,0.16008531243687812,0.08198739464901052
low_to_high,0.35,14,0.7368355602969403,-0.5611909343220769,0.1118395461072813,-0.07890640432566998,0.12787722128167697,0.05072250729357423
low_to_high,0.4,14,0.492681250471833,-0.4675101191138097,-0.03737959157577767,0.05606892776254712,-0.038837271283972144,-0.0451928659875972
low_to_high,0.45,14,0.38664472270212225,-0.29221197971209645,-0.09326369408592725,0.03521345621684275,-0.05471901121413642,-0.07797974743984792
low_to_high,0.5,14,0.10148327792863188,-0.08105514645496935,0.017820973029739298,-0.043528069569316596,-0.0614264739520403,-0.09638805391941943
