partition_id,ulam_cell,spectral_set,eigenvector_value,stationary_mass
eig3,1,high,0.049403225427054075,9.279402229978705e-05
eig3,2,high,0.022354727698007892,4.490730063231745e-05
eig3,3,high,0.10796920161195869,0.000264090509340777
eig3,6,high,0.07633900452601587,0.0013218160887065614
eig3,7,high,0.16565112906960297,0.0014264112508402269
eig3,10,high,0.06662526854247985,0.011100764292794017
eig3,11,high,0.18820185047412338,0.011583966862284424
eig3,14,high,0.0791656731199434,0.04562463736233713
eig3,15,high,0.1985586175889394,0.039841115847940416
eig3,18,high,0.05031631165428779,0.001205604384792794
eig3,19,high,0.19048283644285074,0.002737026259580325
eig3,22,high,0.05890569321808725,0.012960937046675827
eig3,23,high,0.18081959090976388,0.014488849668951476
eig3,26,high,0.04977786961884443,0.03502851305695262
eig3,27,high,0.18849324040911591,0.03186085083397442
eig3,30,high,0.06016933845410443,0.011202365875419779
eig3,31,high,0.19964955384335062,0.00798195125399624
eig3,34,high,0.04843095698564053,0.011158378272628253
eig3,35,high,0.1710589531281498,0.015491125173233828
eig3,38,high,0.04825567227700829,0.036562669660320166
eig3,39,high,0.1759165561872263,0.03773417992494946
eig3,42,high,0.03822576106900465,0.014531284173581608
eig3,43,high,0.18092346100968332,0.011316370859498041
eig3,46,high,0.05121420179507674,0.0005798623982579924
eig3,47,high,0.19151192142294837,0.00043073820538795454
eig3,50,high,0.0371055831060665,0.05373473154749058
eig3,51,high,0.17099501109166126,0.06341144436331773
eig3,54,high,0.046495788898266104,0.01426262496217549
eig3,55,high,0.16454134796047679,0.011185875553104296
eig3,59,high,0.13031962481101966,0.0004967088784311212
eig4,4,low,-0.0022199563190540153,0.0007846576568644643
eig4,5,low,0.005251689520124339,0.0012641223111345685
eig4,7,low,-0.011621334668408066,0.0014264112508402269
eig4,10,low,-0.057423537939042216,0.011100764292794017
eig4,11,low,-0.1869494903716166,0.011583966862284424
eig4,14,low,-0.12702915416083588,0.04562463736233713
eig4,15,low,-0.3516060936433133,0.039841115847940416
eig4,16,low,-0.14113737743230842,0.0011214091463925924
eig4,17,low,-0.0320986080428499,0.0011911736250499632
eig4,20,low,-0.03730139452369934,0.012312585869738553
eig4,21,low,-0.011832772827114632,0.012967057032202363
eig4,22,low,0.0059557330233984155,0.012960937046675827
eig4,23,low,-0.001995150358841688,0.014488849668951476
eig4,26,low,-0.030537297349159047,0.03502851305695262
eig4,27,low,-0.14111096833510003,0.03186085083397442
eig4,30,low,-0.08638261989304392,0.011202365875419779
eig4,31,low,-0.2937554170365837,0.00798195125399624
eig4,32,low,-0.21745886778839496,0.008926489217757218
eig4,33,low,-0.07531058155965334,0.010011675493634551
eig4,36,low,-0.12347277164736595,0.03301706777031497
eig4,37,low,-0.04698625463479166,0.03623597847684739
eig4,40,low,-0.0035237451714092496,0.01718009433692468
eig4,41,low,-0.0030454216121230475,0.015414536723806811
eig4,42,low,-0.007799821052526186,0.014531284173581608
eig4,43,low,-0.07587976728191036,0.011316370859498041
eig4,45,low,-0.01695734733946744,0.0008341381757460312
eig4,46,low,-0.07322729048133093,0.0005798623982579924
eig4,47,low,-0.2611293060434143,0.00043073820538795454
eig4,48,low,-0.3281627737954995,0.036694007350708074
eig4,49,low,-0.1166104684258557,0.04413042237914341
eig4,52,low,-0.21760336682472728,0.011073085690855527
eig4,53,low,-0.0807044785323658,0.01255620946763303
eig4,56,low,-0.09311823693416675,0.0008463992173820203
eig4,57,low,-0.05627171267180269,0.001050119732678011
eig4,59,low,0.0018166517017664213,0.0004967088784311212
eig4,0,high,0.027672269356729312,5.9828942372347566e-05
eig4,1,high,0.03147862445277488,9.279402229978705e-05
eig4,2,high,0.008599632530271548,4.490730063231745e-05
eig4,3,high,0.03980893937977599,0.000264090509340777
eig4,6,high,0.020924456916673828,0.0013218160887065614
eig4,8,high,0.15358528318311945,0.011073471488972513
eig4,9,high,0.05742091109490503,0.010398455083881236
eig4,12,high,0.25687466903858375,0.060200244695915325
eig4,13,high,0.07498986643482602,0.05449408107948037
eig4,18,high,0.03530277551755152,0.001205604384792794
eig4,19,high,0.1751696990159293,0.002737026259580325
eig4,24,high,0.08865931630397621,0.041366941671050796
eig4,25,high,0.041940640261241564,0.03591210465849574
eig4,28,high,0.19522544326440916,0.014349380789152147
eig4,29,high,0.06177072263406885,0.01328447316677275
eig4,34,high,0.06058011236965791,0.011158378272628253
eig4,35,high,0.1706124234620463,0.015491125173233828
eig4,38,high,0.03239316598888928,0.036562669660320166
eig4,39,high,0.06692636592488115,0.03773417992494946
eig4,44,high,0.10727895822380272,0.0007737704698590682
eig4,50,high,0.07828952101110824,0.05373473154749058
eig4,51,high,0.2751995468313972,0.06341144436331773
eig4,54,high,0.0669886247080739,0.01426262496217549
eig4,55,high,0.15921282318173816,0.011185875553104296
eig4,58,high,0.016554314292346394,0.0008134223893378694
eig5,5,low,-0.051334586689487295,0.0012641223111345685
eig5,6,low,-0.048989914313606935,0.0013218160887065614
eig5,20,low,-0.08413080643389785,0.012312585869738553
eig5,21,low,-0.1019145989892962,0.012967057032202363
eig5,22,low,-0.11109797231754308,0.012960937046675827
eig5,23,low,-0.09735798528774149,0.014488849668951476
eig5,24,low,-0.10335040749738883,0.041366941671050796
eig5,25,low,-0.11155170203038217,0.03591210465849574
eig5,26,low,-0.11591462291990043,0.03502851305695262
eig5,27,low,-0.10731647363907112,0.03186085083397442
eig5,28,low,-0.031186045478776694,0.014349380789152147
eig5,29,low,-0.05109839374923363,0.01328447316677275
eig5,30,low,-0.040232665115236335,0.011202365875419779
eig5,31,low,-0.04966498107454639,0.00798195125399624
eig5,36,low,-0.11515492749183383,0.03301706777031497
eig5,37,low,-0.12228025413157702,0.03623597847684739
eig5,38,low,-0.12944883101588342,0.036562669660320166
eig5,39,low,-0.11985575862628058,0.03773417992494946
eig5,40,low,-0.20203057547895714,0.01718009433692468
eig5,41,low,-0.22954171284591887,0.015414536723806811
eig5,42,low,-0.2107592747806489,0.014531284173581608
eig5,43,low,-0.18490612314454072,0.011316370859498041
eig5,44,low,-0.22986276282153262,0.0007737704698590682
