spectral_set,run_frames,run_duration_sec,partition_id,ob,dataset
low,25,0.2499999999999925,eig2,1,Ob1.txt
high,1,0.0099999999999997,eig2,1,Ob1.txt
low,9,0.0899999999999973,eig2,1,Ob1.txt
high,1,0.0099999999999997,eig2,1,Ob1.txt
low,5,0.049999999999998504,eig2,1,Ob1.txt
high,118,1.1799999999999646,eig2,1,Ob1.txt
low,5,0.049999999999998504,eig2,1,Ob1.txt
high,15,0.1499999999999955,eig2,1,Ob1.txt
low,6,0.0599999999999982,eig2,1,Ob1.txt
high,1,0.0099999999999997,eig2,1,Ob1.txt
low,34,0.3399999999999898,eig2,1,Ob1.txt
high,7,0.0699999999999979,eig2,1,Ob1.txt
low,7,0.0699999999999979,eig2,1,Ob1.txt
high,3,0.0299999999999991,eig2,1,Ob1.txt
low,40,0.39999999999998803,eig2,1,Ob1.txt
high,4,0.0399999999999988,eig2,1,Ob1.txt
low,4,0.0399999999999988,eig2,1,Ob1.txt
high,133,1.32999999999996,eig2,1,Ob1.txt
low,14,0.1399999999999958,eig2,1,Ob1.txt
high,6,0.0599999999999982,eig2,1,Ob1.txt
low,1,0.0099999999999997,eig2,1,Ob1.txt
high,12,0.1199999999999964,eig2,1,Ob1.txt
low,4,0.0399999999999988,eig2,1,Ob1.txt
high,18,0.1799999999999946,eig2,1,Ob1.txt
low,85,0.8499999999999746,eig2,1,Ob1.txt
high,4,0.0399999999999988,eig2,1,Ob1.txt
low,31,0.3099999999999907,eig2,1,Ob1.txt
high,1,0.0099999999999997,eig2,1,Ob1.txt
low,1,0.0099999999999997,eig2,1,Ob1.txt
high,439,4.389999999999868,eig2,1,Ob1.txt
low,1,0.0099999999999997,eig2,1,Ob1.txt
high,2,0.0199999999999994,eig2,1,Ob1.txt
low,8,0.0799999999999976,eig2,1,Ob1.txt
high,5,0.049999999999998504,eig2,1,Ob1.txt
low,1,0.0099999999999997,eig2,1,Ob1.txt
high,1,0.0099999999999997,eig2,1,Ob1.txt
low,4,0.0399999999999988,eig2,1,Ob1.txt
high,2,0.0199999999999994,eig2,1,Ob1.txt
low,179,1.7899999999999463,eig2,1,Ob1.txt
high,29,0.2899999999999913,eig2,1,Ob1.txt
low,12,0.1199999999999964,eig2,1,Ob1.txt
high,1,0.0099999999999997,eig2,1,Ob1.txt
low,2,0.0199999999999994,eig2,1,Ob1.txt
high,7,0.0699999999999979,eig2,1,Ob1.txt
