partition_id,ob,dataset,spectral_set,mass,known_fraction,lag_frames,actual_lag_sec,origin_count,retained_count,retention,retention_lift
eig4,6,Ob6.txt,high,0.5782891445722862,1.0,10,0.09999999999998,11560,9559,0.8269031141868513,0.24861396961456506
eig4,7,Ob7.txt,low,0.49424482033830447,1.0,10,0.09999999999999701,4936,3544,0.7179902755267423,0.22374545518843786
eig4,7,Ob7.txt,high,0.5057551796616955,1.0,10,0.09999999999999701,5045,3661,0.7256689791873142,0.21991379952561874
eig4,8,Ob8.txt,low,0.47048291115909213,1.0,10,0.09999999999998,8924,6728,0.7539220080681309,0.2834390969090388
eig4,8,Ob8.txt,high,0.5295170888409079,1.0,10,0.09999999999998,10055,7859,0.7816011934361015,0.2520841045951936
eig4,9,Ob9.txt,low,0.5207410390656464,1.0,10,0.09999999999999701,5171,3837,0.7420228195706826,0.22128178050503622
eig4,9,Ob9.txt,high,0.4792589609343536,1.0,10,0.09999999999999701,4751,3416,0.7190065249421175,0.23974756400776387
eig4,10,Ob10.txt,low,0.5367578385590394,1.0,10,0.09999999999999701,8042,6015,0.7479482715742353,0.2111904330151959
eig4,10,Ob10.txt,high,0.46324216144096064,1.0,10,0.09999999999999701,6938,4917,0.7087056788699914,0.24546351742903072
eig4,11,Ob11.txt,low,0.5133323327830307,1.0,10,0.09999999999998,10261,8113,0.7906636780040932,0.2773313452210625
eig4,11,Ob11.txt,high,0.48666766721696936,1.0,10,0.09999999999998,9718,7580,0.7799958839267339,0.29332821670976456
eig4,12,Ob12.txt,low,0.5646105357946871,1.0,10,0.09999999999998,11282,8845,0.7839921999645453,0.21938166416985816
eig4,12,Ob12.txt,high,0.43538946420531294,1.0,10,0.09999999999998,8697,6256,0.7193285040818673,0.2839390398765544
eig4,13,Ob13.txt,low,0.5675121316724199,1.0,10,0.09999999999998,11335,8937,0.7884428760476401,0.2209307443752202
eig4,13,Ob13.txt,high,0.4324878683275802,1.0,10,0.09999999999998,8644,6246,0.7225821378991207,0.29009426957154055
eig4,14,Ob14.txt,low,0.4916203912151683,1.0,10,0.09999999999998,9817,7322,0.7458490373841296,0.25422864616896124
eig4,14,Ob14.txt,high,0.5083796087848317,1.0,10,0.09999999999998,10162,7657,0.7534934068096831,0.24511379802485145
eig4,15,Ob15.txt,low,0.4943218770323678,1.0,10,0.09999999999998,9881,7853,0.7947576156259488,0.300435738593581
eig4,15,Ob15.txt,high,0.5056781229676321,1.0,10,0.09999999999998,10098,8070,0.7991681521093286,0.2934900291416964
eig4,16,Ob16.txt,low,0.4951723447896343,1.0,10,0.09999999999998,9888,7776,0.7864077669902912,0.29123542220065696
eig4,16,Ob16.txt,high,0.5048276552103657,1.0,10,0.09999999999998,10091,7969,0.7897136061837281,0.28488595097336245
eig4,17,Ob17.txt,low,0.5036518259129564,1.0,10,0.09999999999998,10067,8241,0.8186152776398132,0.3149634517268568
eig4,17,Ob17.txt,high,0.4963481740870435,1.0,10,0.09999999999998,9913,8086,0.8156965600726319,0.3193483859855884
eig4,18,Ob18.txt,low,0.5597078393116214,1.0,10,0.09999999999998,11187,8957,0.8006614820774113,0.2409536427657899
eig4,18,Ob18.txt,high,0.4402921606883786,1.0,10,0.09999999999998,8792,6565,0.7467015468607825,0.3064093861724039
eig4,19,Ob19.txt,low,0.49033011003667887,1.0,10,0.09999999999998,14705,11339,0.7710982658959538,0.2807681558592749
eig4,19,Ob19.txt,high,0.5096698899633211,1.0,10,0.09999999999998,15275,11917,0.7801636661211129,0.2704937761577918
eig5,1,Ob1.txt,low,0.5057785057785058,1.0,10,0.09999999999999701,5548,4432,0.798846431146359,0.2930679253678532
eig5,1,Ob1.txt,high,0.4942214942214942,1.0,10,0.09999999999999701,5431,4306,0.7928558276560486,0.29863433343455437
eig5,2,Ob2.txt,low,0.48293963254593175,1.0,10,0.09999999999999701,7167,5541,0.7731268313101716,0.2901871987642398
eig5,2,Ob2.txt,high,0.5170603674540682,1.0,10,0.09999999999999701,7682,6047,0.7871648008331164,0.2701044333790481
eig5,3,Ob3.txt,low,0.4972648432288192,1.0,10,0.09999999999999701,7454,5655,0.7586530721760129,0.26138822894719366
eig5,3,Ob3.txt,high,0.5027351567711807,1.0,10,0.09999999999999701,7526,5734,0.761892107361148,0.25915695058996724
eig5,4,Ob4.txt,low,0.5039459604066345,1.0,10,0.09999999999999701,7535,6098,0.8092899800928998,0.30534401968626523
eig5,4,Ob4.txt,high,0.4960540395933654,1.0,10,0.09999999999999701,7407,5970,0.8059943296881329,0.3099402900947675
eig5,5,Ob5.txt,low,0.5337968844019523,1.0,10,0.09999999999999701,7974,6439,0.8074993729621269,0.27370248856017465
eig5,5,Ob5.txt,high,0.4662031155980477,1.0,10,0.09999999999999701,6973,5428,0.7784310913523591,0.3122279757543114
eig5,6,Ob6.txt,low,0.5170085042521261,1.0,10,0.09999999999998,10327,8844,0.8563958555243536,0.3393873512722275
eig5,6,Ob6.txt,high,0.4829914957478739,1.0,10,0.09999999999998,9653,8172,0.8465761939293484,0.36358469818147443
eig5,7,Ob7.txt,low,0.5089580622560305,1.0,10,0.09999999999999701,5083,3788,0.7452291953570725,0.23627113310104209
eig5,7,Ob7.txt,high,0.4910419377439696,1.0,10,0.09999999999999701,4898,3601,0.7351980400163332,0.24415610227236356
eig5,8,Ob8.txt,low,0.5036600136921375,1.0,10,0.09999999999998,9559,7646,0.7998744638560519,0.29621445016391434
eig5,8,Ob8.txt,high,0.49633998630786247,1.0,10,0.09999999999998,9420,7509,0.7971337579617834,0.30079377165392096
eig5,9,Ob9.txt,low,0.46274667740636327,1.0,10,0.09999999999999701,4589,3576,0.7792547395946829,0.31650806218831967
eig5,9,Ob9.txt,high,0.5372533225936368,1.0,10,0.09999999999999701,5333,4313,0.808738046127883,0.27148472353424624
eig5,10,Ob10.txt,low,0.5122081387591728,1.0,10,0.09999999999999701,7673,5951,0.775576697510752,0.26336855875157916
eig5,10,Ob10.txt,high,0.48779186124082724,1.0,10,0.09999999999999701,7307,5590,0.7650198439852196,0.27722798274439236
eig5,11,Ob11.txt,low,0.5017259492720997,1.0,10,0.09999999999998,10029,8309,0.828497357662778,0.3267714083906783
eig5,11,Ob11.txt,high,0.4982740507279003,1.0,10,0.09999999999998,9950,8240,0.828140703517588,0.32986665278968763
eig5,12,Ob12.txt,low,0.48326579618790333,1.0,10,0.09999999999998,9650,7866,0.8151295336787565,0.3318637374908532
eig5,12,Ob12.txt,high,0.5167342038120967,1.0,10,0.09999999999998,10329,8535,0.8263142608190531,0.30958005700695646
eig5,13,Ob13.txt,low,0.5010255640602331,1.0,10,0.09999999999998,10007,8090,0.8084340961327071,0.307408532072474
eig5,13,Ob13.txt,high,0.49897443593976687,1.0,10,0.09999999999998,9972,8047,0.8069594865623746,0.3079850506226077
eig5,14,Ob14.txt,low,0.48811846515583573,1.0,10,0.09999999999998,9756,7532,0.7720377203772038,0.283919255221368
eig5,14,Ob14.txt,high,0.5118815348441643,1.0,10,0.09999999999998,10223,7998,0.7823535165802602,0.2704719817360959
eig5,15,Ob15.txt,low,0.5169843413877633,1.0,10,0.09999999999998,10334,8608,0.8329785175149991,0.3159941761272358
eig5,15,Ob15.txt,high,0.4830156586122367,1.0,10,0.09999999999998,9645,7929,0.8220839813374805,0.3390683227252438
eig5,16,Ob16.txt,low,0.4906698684276352,1.0,10,0.09999999999998,9802,7965,0.8125892674964293,0.32191939906879413
eig5,16,Ob16.txt,high,0.5093301315723648,1.0,10,0.09999999999998,10177,8334,0.8189053748648915,0.3095752432925266
eig5,17,Ob17.txt,low,0.5212106053026513,1.0,10,0.09999999999998,10417,8935,0.8577325525583182,0.33652194725566686
eig5,17,Ob17.txt,high,0.47878939469734866,1.0,10,0.09999999999998,9563,8082,0.8451322806650633,0.36634288596771464
eig5,18,Ob18.txt,low,0.5059282605432989,1.0,10,0.09999999999998,10103,8247,0.8162921904384837,0.3103639298951848
eig5,18,Ob18.txt,high,0.4940717394567012,1.0,10,0.09999999999998,9876,8016,0.8116646415552855,0.3175929020985843
eig5,19,Ob19.txt,low,0.5065021673891297,1.0,10,0.09999999999998,15190,12104,0.7968400263331139,0.29033785894398423
eig5,19,Ob19.txt,high,0.49349783261087027,1.0,10,0.09999999999998,14790,11714,0.7920216362407032,0.29852380362983294
