lag_sec,ob,dataset,spectral_set,mass,origin_count,retained_count,retention,retention_lift
0.1,16,Ob16.txt,high,0.5000250137575667,9985,8515,0.8527791687531296,0.35275415499556295
0.1,17,Ob17.txt,low,0.5001000500250125,9987,8994,0.9005707419645539,0.40047069193954143
0.1,17,Ob17.txt,high,0.4998999499749875,9993,9000,0.9006304413089162,0.40073049133392874
0.1,18,Ob18.txt,low,0.49907449097003354,9976,8833,0.8854250200481155,0.386350529078082
0.1,18,Ob18.txt,high,0.5009255090299665,10003,8860,0.8857342797160852,0.38480877068611874
0.1,19,Ob19.txt,low,0.49899966655551853,14965,13118,0.8765786835950551,0.37757901703953656
0.1,19,Ob19.txt,high,0.5010003334444815,15015,13170,0.8771228771228772,0.3761225436783957
0.2,1,Ob1.txt,low,0.4993174993174993,5477,4526,0.8263647982472156,0.32704729892971635
0.2,1,Ob1.txt,high,0.5006825006825006,5492,4531,0.8250182083029861,0.32433570762048547
0.2,2,Ob2.txt,low,0.502725620835857,7456,5997,0.804318669527897,0.30159304869203996
0.2,2,Ob2.txt,high,0.49727437916414297,7383,5930,0.803196532574834,0.30592215341069107
0.2,3,Ob3.txt,low,0.4999332888592395,7474,5820,0.7786994915707787,0.2787662027115392
0.2,3,Ob3.txt,high,0.5000667111407605,7496,5834,0.778281750266809,0.2782150391260485
0.2,4,Ob4.txt,low,0.5,7456,6119,0.820681330472103,0.320681330472103
0.2,4,Ob4.txt,high,0.5,7476,6119,0.8184858212948101,0.31848582129481007
0.2,5,Ob5.txt,low,0.4999665708363977,7477,5955,0.7964424234318577,0.29647585259546
0.2,5,Ob5.txt,high,0.5000334291636023,7460,5937,0.7958445040214477,0.2958110748578454
0.2,6,Ob6.txt,low,0.5,9985,8213,0.8225338007010515,0.32253380070105153
0.2,6,Ob6.txt,high,0.5,9985,8203,0.8215322984476715,0.3215322984476715
0.2,7,Ob7.txt,low,0.501251126013412,4988,3923,0.7864875701684042,0.28523644415499216
0.2,7,Ob7.txt,high,0.4987488739865879,4983,3918,0.786273329319687,0.28752445533309906
0.2,8,Ob8.txt,low,0.4990784138185265,9477,7612,0.8032077661707291,0.30412935235220256
0.2,8,Ob8.txt,high,0.5009215861814735,9492,7631,0.8039401601348504,0.30301857395337684
0.2,9,Ob9.txt,low,0.49496576721707614,4896,4016,0.8202614379084967,0.32529567069142057
0.2,9,Ob9.txt,high,0.5050342327829239,5016,4136,0.8245614035087719,0.319527170725848
0.2,10,Ob10.txt,low,0.5002001334222815,7478,6132,0.8200053490238032,0.31980521560152164
0.2,10,Ob10.txt,high,0.49979986657771847,7492,6139,0.8194073678590497,0.3196075012813312
0.2,11,Ob11.txt,low,0.4994747110911001,9964,8035,0.8064030509835407,0.3069283398924406
0.2,11,Ob11.txt,high,0.5005252889088999,10005,8067,0.8062968515742129,0.305771562665313
0.2,12,Ob12.txt,low,0.5049777377557657,10085,8258,0.8188398611799702,0.3138621234242045
0.2,12,Ob12.txt,high,0.49502226224423435,9884,8048,0.8142452448401457,0.31922298259591136
0.2,13,Ob13.txt,low,0.49997498624243336,9985,8034,0.8046069103655483,0.30463192412311496
0.2,13,Ob13.txt,high,0.5000250137575667,9984,8044,0.8056891025641025,0.30566408880653584
0.2,14,Ob14.txt,low,0.4986242433338336,9947,8216,0.8259776817130793,0.3273534383792457
0.2,14,Ob14.txt,high,0.5013757566661664,10022,8271,0.825284374376372,0.3239086177102056
0.2,15,Ob15.txt,low,0.4972735004252339,9920,8118,0.8183467741935484,0.3210732737683145
0.2,15,Ob15.txt,high,0.5027264995747661,10049,8247,0.8206786744949747,0.31795217492020855
0.2,16,Ob16.txt,low,0.49997498624243336,9994,7867,0.7871723033820293,0.2871973171395959
0.2,16,Ob16.txt,high,0.5000250137575667,9975,7868,0.7887719298245615,0.28874691606699476
0.2,17,Ob17.txt,low,0.5001000500250125,9977,8282,0.8301092512779392,0.33000920125292676
0.2,17,Ob17.txt,high,0.4998999499749875,9993,8298,0.8303812668868208,0.3304813169118333
