target,covariate,covariate_family,n,spearman_rho,permutation_p_two_sided,theil_sen_slope,theil_sen_iqr_delta,loo_slope_min,loo_slope_max,loo_slope_sign_stability,interpretation
t1_effect_z,q10_individuals_per_frame,raw_trajectory_quality,19,-0.11252774430112351,0.6500674966251687,-0.00339016621571233,-0.09831482025565758,-0.004274947801676047,-0.0011388549980775274,1.0,no strong association
t1_effect_z,median_individuals_per_frame,raw_trajectory_quality,19,-0.09394209063990669,0.7017149142542873,-0.0028413994807589137,-0.08950408364390577,-0.004042354455175298,-0.0005998588825515176,1.0,no strong association
t1_effect_z,q90_individuals_per_frame,raw_trajectory_quality,19,-0.06945071718584966,0.7719114044297785,-0.002619991729011466,-0.09169971051540131,-0.003578509073929818,-0.00045722165890949885,1.0,no strong association
t1_effect_z,q90_swarm_radius,raw_trajectory_quality,19,0.07017543859649122,0.7746612669366532,0.0005554275994733661,0.024937128070257056,-0.0008895450714083846,0.001385571900584199,0.8421052631578947,no strong association
t1_effect_z,median_next_duration_sec,event_structure,19,0.0703298401882022,0.7776111194440278,0.3731063420987296,0.030781273223139068,-1.0428522296665452,0.86562926803766,0.7894736842105263,no strong association
t1_effect_z,file_size_mb,raw_trajectory_quality,19,0.054385964912280704,0.8264586770661467,0.001113766533311574,0.032818551727066436,-0.0013220334332392073,0.002364593907133269,0.8947368421052632,no strong association
t1_effect_z,track_continuity_fraction,raw_trajectory_quality,19,nan,nan,nan,nan,nan,nan,nan,no strong association
t1_k8_event_abs_z,early_ob_le_8,observation_sequence_proxy,19,-0.7201115233494088,0.001399930003499825,-0.3335354359240816,-0.3335354359240816,-0.3803742632293061,-0.30833199652503085,1.0,sequence proxy; not confirmed metadata
t1_k8_event_abs_z,ob_index_proxy,observation_sequence_proxy,19,0.5298245614035088,0.018299085045747714,0.025916046984769906,0.23324442286292915,0.021678655168484995,0.029178348281567037,1.0,sequence proxy; not confirmed metadata
t1_k8_event_abs_z,median_raw_speed,raw_trajectory_quality,19,0.3087719298245614,0.19994000299985001,0.004551306462429931,0.15174915036810094,0.0028612627669219494,0.0048089162772123085,1.0,no strong association
t1_k8_event_abs_z,median_swarm_radius,raw_trajectory_quality,19,0.30526315789473685,0.2033898305084746,0.002996350930863403,0.09167508075571844,0.0019588394092371927,0.0044333620008840105,1.0,no strong association
t1_k8_event_abs_z,q95_raw_speed,raw_trajectory_quality,19,0.2631578947368421,0.2698865056747163,0.0021990467074281574,0.0955776194587136,0.0016016773334353003,0.00291500091940404,1.0,no strong association
t1_k8_event_abs_z,median_dt_sec,raw_trajectory_quality,19,-0.25301215685249495,0.31538423078846056,nan,nan,nan,nan,nan,no strong association
t1_k8_event_abs_z,median_prev_duration_sec,event_structure,19,0.22202722628852492,0.35318234088295586,1.0143602694594889,0.11665143098782972,0.48004866901421955,1.196511277337501,1.0,no strong association
t1_k8_event_abs_z,q90_swarm_radius,raw_trajectory_quality,19,0.18421052631578946,0.4413779311034448,0.0010327700771005724,0.04636845505013692,0.0002675864214954517,0.002060511576450623,1.0,no strong association
t1_k8_event_abs_z,median_track_span_sec,raw_trajectory_quality,19,0.1631578947368421,0.4951752412379381,0.09972110521584025,0.09074620574641454,0.01795240933320732,0.18948944487528702,1.0,no strong association
t1_k8_event_abs_z,median_track_length_frames,raw_trajectory_quality,19,0.1631578947368421,0.5094245287735614,0.0009972110521583961,0.09074620574641405,0.00017952409333207321,0.0018948944487528704,1.0,no strong association
t1_k8_event_abs_z,n_frames,raw_trajectory_quality,19,0.15806086127642854,0.5150242487875606,1.1512482056763462e-05,0.05797110339683241,5.798873622937691e-06,2.043097308902363e-05,1.0,no strong association
t1_k8_event_abs_z,duration_sec,raw_trajectory_quality,19,0.15657341874361597,0.52042397880106,0.0010766053854344645,0.05383026927172323,0.0004879115692941974,0.0020010874067665305,1.0,no strong association
t1_k8_event_abs_z,file_size_mb,raw_trajectory_quality,19,0.13157894736842105,0.5892205389730514,0.0025799587458392443,0.07602177567884982,0.001574398173414212,0.003979866750706543,1.0,no strong association
t1_k8_event_abs_z,n_events,event_structure,19,0.12730470226903243,0.6083695815209239,0.0009573574427437615,0.05839880400736945,8.059529369840546e-05,0.0017039970885790558,1.0,no strong association
t1_k8_event_abs_z,q90_individuals_per_frame,raw_trajectory_quality,19,0.05802211815526681,0.8108594570271487,0.0008397759656189938,0.029392158796664784,-0.0010464139490455068,0.0023273832016790803,0.8947368421052632,no strong association
t1_k8_event_abs_z,median_next_duration_sec,event_structure,19,0.04659351912468395,0.847707614619269,0.6540400884358426,0.05395830729594628,-0.4162495858801165,0.7872611801944188,0.8947368421052632,no strong association
t1_k8_event_abs_z,median_individuals_per_frame,raw_trajectory_quality,19,0.03336261162912574,0.8931053447327634,0.0007577954691525515,0.023870557278305372,-0.0014296161422956838,0.0023923256068299472,0.6842105263157895,no strong association
t1_k8_event_abs_z,event_rate_per_sec,event_structure,19,-0.02982456140350877,0.9052047397630119,-0.24567137336873984,-0.049878168274952596,-0.3640882957960864,0.13963870168123785,0.7894736842105263,no strong association
t1_k8_event_abs_z,unique_ids,raw_trajectory_quality,19,-0.01929824561403509,0.9371031448427578,1.884002369035886e-06,0.004808916046964099,-2.0517920569519743e-05,2.557303202178544e-05,0.47368421052631576,no strong association
t1_k8_event_abs_z,q10_individuals_per_frame,raw_trajectory_quality,19,0.01758246004705055,0.9464026798660067,0.0001235446113585712,0.003582793729398565,-0.0013622675022376563,0.002016332416462596,0.3684210526315789,no strong association
t1_k8_event_abs_z,swarm_radius_cv,raw_trajectory_quality,19,-0.008771929824561403,0.9739013049347532,-0.7788042476165838,-0.040884861999272853,-2.1966844555636054,1.193272272410619,0.8947368421052632,no strong association
t1_k8_event_abs_z,track_continuity_fraction,raw_trajectory_quality,19,nan,nan,nan,nan,nan,nan,nan,no strong association
