variant,ob,dataset,k,n_events,local_event_direction_abs_z,local_non_event_direction_abs_median_z,local_event_minus_non_event_direction_z,p_non_event_direction_ge_event,local_to_b3_direction_ratio,event_conditioned_local_gate
past_1s,14,Ob14.txt,8,47,0.8384913984156782,0.2030653397990419,0.6354260586166363,0.0,1.3885165332169334,True
past_1s,14,Ob14.txt,10,47,0.6896151624308019,0.1936804200066212,0.4959347424241807,0.05,1.1419819647542198,True
past_1s,15,Ob15.txt,8,96,0.6948986418625087,0.23289152630886134,0.4620071155536474,0.025,1.1791598238207421,True
past_1s,15,Ob15.txt,10,96,0.6536014409503386,0.15458615269468762,0.49901528825565095,0.0,1.1090834166754262,True
past_1s,16,Ob16.txt,8,84,0.6665849584156525,0.19788837654625252,0.46869658186939994,0.025,2.0418079945853727,True
past_1s,16,Ob16.txt,10,84,0.7244711325484178,0.23300623735885684,0.49146489518956094,0.0,2.219118405851121,True
past_1s,17,Ob17.txt,8,122,0.14272453378498667,0.17834387760152876,-0.03561934381654208,0.55,0.721846062308019,False
past_1s,17,Ob17.txt,10,122,0.43796315153710175,0.16102289235268274,0.276940259184419,0.025,2.2150499846742,True
past_1s,18,Ob18.txt,8,103,0.2061010776337297,0.17347760791402228,0.03262346971970742,0.425,0.3210226049652049,False
past_1s,18,Ob18.txt,10,103,0.3107169145488894,0.1875064566880125,0.12321045786087689,0.275,0.48397201247292854,True
past_1s,19,Ob19.txt,8,143,0.6714581098737231,0.10466417907299097,0.5667939308007321,0.0,1.2903547434912588,True
past_1s,19,Ob19.txt,10,143,0.9525582927539907,0.17968148496648678,0.7728768077875039,0.0,1.8305506977020554,True
none_z,1,Ob1.txt,8,28,0.1282400330540143,0.23884443057098018,-0.11060439751696588,0.6,0.18037475452997784,False
none_z,1,Ob1.txt,10,28,0.21215058687407562,0.1984698855679739,0.013680701306101717,0.475,0.2983983169645968,False
none_z,2,Ob2.txt,8,43,0.6220735360337764,0.24533846430706308,0.3767350717267133,0.05,1.0140567866924346,True
none_z,2,Ob2.txt,10,43,0.6720124426602017,0.247937231028863,0.42407521163133866,0.025,1.0954633797254756,True
none_z,3,Ob3.txt,8,40,0.04871557134365112,0.1477298516859091,-0.09901428034225798,0.825,0.16224142090279922,False
none_z,3,Ob3.txt,10,40,0.06091748781892947,0.24902821842976314,-0.18811073061083367,0.875,0.20287845362323012,False
none_z,4,Ob4.txt,8,58,0.30187945999513066,0.13639807523160424,0.16548138476352642,0.225,0.7622128741048764,True
none_z,4,Ob4.txt,10,58,0.5245475773225696,0.17136475899175352,0.3531828183308161,0.1,1.3244257046247356,True
none_z,5,Ob5.txt,8,93,0.2986404617786141,0.1478782211975901,0.150762240581024,0.325,0.7039461786304939,True
none_z,5,Ob5.txt,10,93,0.16567303331366418,0.15840418470032347,0.007268848613340706,0.45,0.39051941591803424,False
none_z,6,Ob6.txt,8,112,0.06721657749871401,0.18554889356133447,-0.11833231606262046,0.7,50.204417624680644,False
none_z,6,Ob6.txt,10,112,0.02740948060646109,0.13934067277512782,-0.11193119216866673,0.9,20.472286189648447,False
none_z,7,Ob7.txt,8,33,0.4935254984925008,0.25800304358846,0.23552245490404083,0.15,1.1501288994513266,True
none_z,7,Ob7.txt,10,33,0.23620927790739055,0.22582119852380692,0.010388079383583632,0.475,0.5504702749293666,False
none_z,8,Ob8.txt,8,84,0.2998539217265482,0.17738388576303274,0.12247003596351544,0.325,3.1914888454085797,True
none_z,8,Ob8.txt,10,84,0.06907936501443011,0.1663964048456672,-0.09731703983123709,0.675,0.735244753918928,False
none_z,9,Ob9.txt,8,37,0.7470153084360398,0.16659064790967107,0.5804246605263688,0.0,2.114526332597337,True
none_z,9,Ob9.txt,10,37,0.6837907371975711,0.21344639426412132,0.4703443429334498,0.0,1.935560762225274,True
none_z,10,Ob10.txt,8,36,0.48595153059147483,0.24650352811985346,0.23944800247162137,0.075,0.847297494373089,True
none_z,10,Ob10.txt,10,36,0.7917099145751711,0.23292068846213454,0.5587892261130366,0.025,1.3804130343480867,True
none_z,11,Ob11.txt,8,119,0.6959433395456719,0.1487500581917053,0.5471932813539666,0.0,1.5018370523223024,True
none_z,11,Ob11.txt,10,119,0.7158028831497955,0.12786999765979523,0.5879328854900002,0.0,1.544693699885528,True
none_z,12,Ob12.txt,8,91,0.2964783224632316,0.15652623294473056,0.13995208951850102,0.225,1.563442810299009,True
none_z,12,Ob12.txt,10,91,0.29425773613663786,0.21907410671967453,0.07518362941696333,0.225,1.5517328151192036,True
none_z,13,Ob13.txt,8,102,0.5290358628397941,0.1424251564771689,0.3866107063626252,0.0,1.1470593713686024,True
none_z,13,Ob13.txt,10,102,0.6227274708807184,0.17147993859626265,0.4512475322844558,0.0,1.3502021912996605,True
none_z,14,Ob14.txt,8,47,0.6224501542706653,0.20451142531358973,0.41793872895707557,0.025,1.0307587316236078,True
none_z,14,Ob14.txt,10,47,0.43405344276369107,0.1745046889625374,0.25954875380115366,0.15,0.7187794445069954,True
none_z,15,Ob15.txt,8,96,0.7987580698921832,0.17703004998668137,0.6217280199055019,0.0,1.355396842401396,True
none_z,15,Ob15.txt,10,96,0.6750808466345952,0.1034522490285553,0.5716285976060399,0.0,1.1455313972824073,True
none_z,16,Ob16.txt,8,84,0.5867112285233639,0.1579978211214129,0.42871340740195096,0.0,1.797147778070655,True
none_z,16,Ob16.txt,10,84,0.7005768584844522,0.18944420973785175,0.5111326487466004,0.0,2.145928155767204,True
none_z,17,Ob17.txt,8,122,0.2942777517695129,0.10788192670701069,0.18639582506250219,0.175,1.4883442300094905,True
none_z,17,Ob17.txt,10,122,0.3426303993970164,0.10397674692075248,0.2386536524762639,0.1,1.7328934141368804,True
none_z,18,Ob18.txt,8,103,0.1972203639594623,0.13883284070117158,0.05838752325829072,0.3,0.30719002402775875,True
none_z,18,Ob18.txt,10,103,0.32956584271267503,0.1572858994822653,0.17227994323040974,0.05,0.5133310633299737,True
none_z,19,Ob19.txt,8,143,0.7644664941325887,0.11917045981209302,0.6452960343204956,0.0,1.4690908523386972,True
none_z,19,Ob19.txt,10,143,0.7720924174375465,0.12724595701687552,0.644846460420671,0.0,1.4837457446772577,True
