variant,ob,dataset,variable,phase,n_events,real_phase_aligned_z,null_phase_median_aligned_z,null_phase_abs_median_z,event_minus_null_phase_z,abs_event_minus_abs_null_z,p_null_abs_ge_real_abs,phase_gate
past_1s,9,Ob9.txt,all_tangential,near_post,37,0.2785604663417721,0.02368917708230305,0.0869558732357454,0.25487128925946906,0.19160459310602673,0.0,True
past_1s,9,Ob9.txt,all_tangential,late_post,37,0.2561027768573719,-0.04192602864062407,0.08004801759460099,0.298028805497996,0.17605475926277092,0.0,True
past_1s,10,Ob10.txt,all_tangential,early_pre,36,-0.03273384064863366,0.04267556123946993,0.10254655274493771,-0.07540940188810359,-0.06981271209630405,0.8,False
past_1s,10,Ob10.txt,all_tangential,near_pre,36,-0.05302113087587469,-0.020864063527779586,0.08554796902275613,-0.032157067348095106,-0.03252683814688144,0.675,False
past_1s,10,Ob10.txt,all_tangential,near_post,36,0.2733227318447082,-0.026501643626208625,0.07054775708439731,0.2998243754709168,0.20277497476031087,0.0,True
past_1s,10,Ob10.txt,all_tangential,late_post,36,0.06122035124561142,-0.03094923825620827,0.07148452510530347,0.0921695895018197,-0.010264173859692048,0.6,False
past_1s,11,Ob11.txt,all_tangential,early_pre,119,-0.07409131345586267,-0.01828002335129497,0.05482807350156586,-0.0558112901045677,0.01926323995429681,0.4,False
past_1s,11,Ob11.txt,all_tangential,near_pre,119,-0.2585054449311047,0.03988529704103716,0.0641214196908087,-0.2983907419721419,0.19438402524029602,0.0,True
past_1s,11,Ob11.txt,all_tangential,near_post,119,0.16138795811829598,0.009327123550549932,0.07810999246259474,0.15206083456774605,0.08327796565570124,0.1,True
past_1s,11,Ob11.txt,all_tangential,late_post,119,-0.016868843308042614,-0.027969576838768773,0.08342521820672746,0.011100733530726159,-0.06655637489868485,0.95,False
past_1s,12,Ob12.txt,all_tangential,early_pre,91,-0.20723175581566022,0.02022657285082753,0.0721484025219046,-0.22745832866648774,0.13508335329375562,0.05,True
past_1s,12,Ob12.txt,all_tangential,near_pre,91,-0.333112919704575,0.022894806136744307,0.08136293106530182,-0.35600772584131934,0.2517499886392732,0.0,True
past_1s,12,Ob12.txt,all_tangential,near_post,91,0.20574612798681266,-0.01850711858474649,0.06392480601303452,0.22425324657155915,0.14182132197377814,0.025,True
past_1s,12,Ob12.txt,all_tangential,late_post,91,0.12919737712419924,0.002993792426700552,0.04978005223339446,0.12620358469749868,0.07941732489080477,0.1,True
past_1s,13,Ob13.txt,all_tangential,early_pre,102,-0.2863625454265989,-0.009969894159460079,0.04981691018080053,-0.2763926512671388,0.23654563524579836,0.0,True
past_1s,13,Ob13.txt,all_tangential,near_pre,102,-0.2025807508405672,-0.02605074438290861,0.0649474669496894,-0.1765300064576586,0.1376332838908778,0.0,True
past_1s,13,Ob13.txt,all_tangential,near_post,102,0.17978364728995444,0.003489073291873722,0.041972930601708314,0.1762945739980807,0.13781071668824613,0.0,True
past_1s,13,Ob13.txt,all_tangential,late_post,102,0.14596805955482195,0.004388531791531576,0.04383558572740338,0.14157952776329039,0.10213247382741858,0.1,True
past_1s,14,Ob14.txt,all_tangential,early_pre,47,-0.2301172942141077,-0.00046941294368164563,0.08253746608135976,-0.22964788127042607,0.14757982813274795,0.05,True
past_1s,14,Ob14.txt,all_tangential,near_pre,47,-0.2685023513793563,-0.011179384021238758,0.08797901272550279,-0.25732296735811755,0.1805233386538535,0.0,True
past_1s,14,Ob14.txt,all_tangential,near_post,47,0.08742857348701899,-0.002492783671672903,0.09017138479126167,0.0899213571586919,-0.0027428113042426844,0.55,False
past_1s,14,Ob14.txt,all_tangential,late_post,47,0.103351318261514,0.013717214547079136,0.08609027148373931,0.08963410371443487,0.017261046777774694,0.325,False
past_1s,15,Ob15.txt,all_tangential,early_pre,96,-0.30290787356180915,0.018877527188425898,0.04505536276975658,-0.32178540075023504,0.25785251079205257,0.0,True
past_1s,15,Ob15.txt,all_tangential,near_pre,96,-0.1906194081443488,-0.00924270363874025,0.05970229822171717,-0.18137670450560855,0.1309171099226316,0.075,True
past_1s,15,Ob15.txt,all_tangential,near_post,96,0.24087930412594583,-0.03296441363203729,0.05508394326354718,0.2738437177579831,0.18579536086239865,0.025,True
past_1s,15,Ob15.txt,all_tangential,late_post,96,0.18918651081000404,-0.028241743625945767,0.06627521761160385,0.21742825443594982,0.12291129319840019,0.025,True
past_1s,16,Ob16.txt,all_tangential,early_pre,84,-0.21157674162681048,-0.010660484315291766,0.06878407350581166,-0.20091625731151871,0.14279266812099883,0.075,True
past_1s,16,Ob16.txt,all_tangential,near_pre,84,-0.09091958270524947,-0.03827985324486568,0.08985920951848098,-0.05263972946038379,0.001060373186768493,0.475,False
past_1s,16,Ob16.txt,all_tangential,near_post,84,0.20188021557855856,0.0027003156380489973,0.05758015963165744,0.19917989994050955,0.14430005594690112,0.05,True
past_1s,16,Ob16.txt,all_tangential,late_post,84,0.14317717953398107,-0.00963397862057803,0.04955074530167142,0.1528111581545591,0.09362643423230965,0.025,True
past_1s,17,Ob17.txt,all_tangential,early_pre,122,-0.15214598472487212,0.002971908697312097,0.031945236705198124,-0.1551178934221842,0.120200748019674,0.025,True
past_1s,17,Ob17.txt,all_tangential,near_pre,122,-0.04616911603643861,-0.022370367458415665,0.07113497533934918,-0.023798748578022947,-0.024965859302910565,0.575,False
past_1s,17,Ob17.txt,all_tangential,near_post,122,0.18752953485824714,0.02023032337395776,0.07031688526260386,0.1672992114842894,0.11721264959564327,0.05,True
past_1s,17,Ob17.txt,all_tangential,late_post,122,-0.05413698423269231,0.010713205542458339,0.07561423484473916,-0.06485018977515064,-0.021477250612046847,0.625,False
past_1s,18,Ob18.txt,all_tangential,early_pre,103,-0.03285989749447636,-0.015049857034940849,0.06455926939511578,-0.017810040459535513,-0.031699371900639414,0.7,False
past_1s,18,Ob18.txt,all_tangential,near_pre,103,-0.1855397621438538,0.025013822536406057,0.045248746511374616,-0.21055358468025984,0.14029101563247917,0.075,True
past_1s,18,Ob18.txt,all_tangential,near_post,103,0.08795529303506308,-0.003847222751562388,0.03874650055510092,0.09180251578662547,0.04920879247996216,0.25,True
past_1s,18,Ob18.txt,all_tangential,late_post,103,-0.10398770425392301,-0.0227482685795021,0.06735803540908432,-0.0812394356744209,0.03662966884483869,0.325,True
past_1s,19,Ob19.txt,all_tangential,early_pre,143,-0.2865262285876552,0.0058087349068281745,0.05595252899309489,-0.29233496349448335,0.2305736995945603,0.0,True
past_1s,19,Ob19.txt,all_tangential,near_pre,143,-0.23589043147147085,-0.007262013953305004,0.05286637619908064,-0.22862841751816584,0.1830240552723902,0.0,True
past_1s,19,Ob19.txt,all_tangential,near_post,143,0.10034841922253013,0.030450081699833174,0.07987278817244114,0.06989833752269695,0.020475631050088983,0.35,False
past_1s,19,Ob19.txt,all_tangential,late_post,143,0.12653224117964074,0.03746983256940814,0.08358535277231137,0.0890624086102326,0.04294688840732937,0.275,True
none_z,2,Ob2.txt,all_tangential,early_pre,43,-0.09561983547303304,0.044634218941195736,0.0911717083914084,-0.14025405441422878,0.004448127081624648,0.45,False
none_z,2,Ob2.txt,all_tangential,near_pre,43,-0.2650744983427378,-0.004320586122977182,0.061207223911031554,-0.2607539122197606,0.2038672744317062,0.05,True
none_z,2,Ob2.txt,all_tangential,near_post,43,0.07297673235237087,-0.007289082753540815,0.08492488740511464,0.08026581510591169,-0.01194815505274377,0.575,False
none_z,2,Ob2.txt,all_tangential,late_post,43,0.11428868984451607,0.006023185086893035,0.08663420386173956,0.10826550475762303,0.027654485982776505,0.4,False
none_z,5,Ob5.txt,all_tangential,early_pre,93,-0.12290670619076612,-0.010578418335234954,0.051894147478945565,-0.11232828785553116,0.07101255871182055,0.05,True
