replicate,ob,dataset,n_events,b3_event_direction_abs_z,k8_local_event_direction_abs_z,k8_local_non_event_direction_abs_median_z,k8_local_event_minus_non_event_direction_z,k8_p_non_event_direction_ge_event,k8_local_to_b3_direction_ratio,k8_pass,k10_local_event_direction_abs_z,k10_local_non_event_direction_abs_median_z,k10_local_event_minus_non_event_direction_z,k10_p_non_event_direction_ge_event,k10_local_to_b3_direction_ratio,k10_pass,both_pass,any_pass
654,5,Ob5.txt,93,0.3380463224673548,0.15720024257398835,0.14703226276077497,0.01016797981321338,0.45,0.4650257438880117,False,0.16644151945927912,0.19009898908136452,-0.023657469622085397,0.6,0.4923630532184015,False,False,False
654,6,Ob6.txt,112,0.09091909079905641,0.18936560094066407,0.1915910255791069,-0.00222542463844283,0.5,2.0827925056926477,False,0.03866260962804233,0.2229023211517671,-0.1842397115237248,0.9,0.4252419298108905,False,False,False
654,7,Ob7.txt,33,0.0899144497345688,0.2572181969120237,0.269270201624179,-0.012052004712155284,0.5,2.860699227669663,False,0.20661701829598167,0.45236261932449384,-0.24574560102851217,0.75,2.297928963652936,False,False,False
654,8,Ob8.txt,84,0.5304413631840166,0.18157444495462305,0.165098342981446,0.01647610197317706,0.45,0.34230823151631307,False,0.0365636299498098,0.17356818051552092,-0.13700455056571112,0.875,0.06893057835899843,False,False,False
654,9,Ob9.txt,37,0.32605364805056924,0.2856566434130988,0.2457053098033578,0.03995133360974101,0.4,0.8761031968849339,False,0.237312289715841,0.3414446930488845,-0.10413240333304347,0.65,0.727832033576987,False,False,False
654,10,Ob10.txt,36,0.10222750859645571,0.28043344564106754,0.30545254602044025,-0.025019100379372716,0.55,2.743228799090486,False,0.11939037671195715,0.2489449597971312,-0.12955458308517404,0.825,1.1678889405712904,False,False,False
654,11,Ob11.txt,119,0.3813856550962317,0.22908346754799477,0.2237167140202452,0.005366753527749568,0.5,0.6006609438160231,False,0.2662548906422977,0.15254039843062167,0.11371449221167601,0.3,0.6981250791278868,True,False,True
654,12,Ob12.txt,91,0.8068331699026379,0.4669399171152684,0.2001321619640311,0.2668077551512373,0.075,0.5787316815093446,True,0.18761384826337701,0.28055629409143656,-0.09294244582805955,0.7,0.23253115422363801,False,False,True
654,13,Ob13.txt,102,0.4586040288912665,0.1094130141577677,0.1872154968019295,-0.0778024826441618,0.775,0.2385783971900281,False,0.3071993637497315,0.20210022741165173,0.10509913633807977,0.2,0.6698575337256085,True,False,True
654,14,Ob14.txt,47,0.013308297667887936,0.5111203699012918,0.21428787506518,0.29683249483611185,0.1,38.40614199174342,True,0.10827323975195821,0.23501976215844883,-0.12674652240649062,0.7,8.13576931129325,False,False,True
654,15,Ob15.txt,96,0.17605787927266797,0.03072331306083244,0.1978542429339697,-0.16713092987313727,0.975,0.17450689050530932,False,0.0044928566113640045,0.20884085917619782,-0.20434800256483382,0.975,0.02551920215059353,False,False,False
