replicate,n_both,n_any,n_obs_tested,n_obs_with_valid_b3,n_obs_with_valid_k8,n_obs_with_valid_k10
346,7,12,19,19,19,19
347,3,11,19,19,19,19
348,5,10,19,19,19,19
349,2,8,19,19,19,19
350,5,11,19,19,19,19
351,4,11,19,19,19,19
352,3,7,19,19,19,19
353,3,9,19,19,19,19
354,3,7,19,19,19,19
355,4,10,19,19,19,19
356,4,13,19,19,19,19
357,4,9,19,19,19,19
358,6,10,19,19,19,19
359,4,8,19,19,19,19
360,4,9,19,19,19,19
361,4,8,19,19,19,19
362,5,12,19,19,19,19
363,4,9,19,19,19,19
364,6,9,19,19,19,19
365,5,9,19,19,19,19
366,7,15,19,19,19,19
367,3,9,19,19,19,19
368,4,10,19,19,19,19
369,3,10,19,19,19,19
370,3,9,19,19,19,19
371,4,9,19,19,19,19
372,5,14,19,19,19,19
373,6,10,19,19,19,19
374,3,13,19,19,19,19
375,3,9,19,19,19,19
376,6,9,19,19,19,19
377,3,9,19,19,19,19
378,8,13,19,19,19,19
379,3,5,19,19,19,19
380,8,11,19,19,19,19
381,3,8,19,19,19,19
382,8,11,19,19,19,19
383,5,10,19,19,19,19
384,5,12,19,19,19,19
385,7,13,19,19,19,19
386,3,9,19,19,19,19
387,3,6,19,19,19,19
388,7,11,19,19,19,19
389,4,10,19,19,19,19
390,4,9,19,19,19,19
391,7,10,19,19,19,19
392,2,4,19,19,19,19
393,4,10,19,19,19,19
394,7,11,19,19,19,19
395,2,10,19,19,19,19
396,5,13,19,19,19,19
397,5,8,19,19,19,19
398,2,9,19,19,19,19
399,6,12,19,19,19,19
400,2,8,19,19,19,19
401,7,12,19,19,19,19
402,5,12,19,19,19,19
403,4,11,19,19,19,19
404,2,7,19,19,19,19
405,3,14,19,19,19,19
406,5,9,19,19,19,19
407,5,13,19,19,19,19
408,3,11,19,19,19,19
409,5,9,19,19,19,19
410,4,11,19,19,19,19
411,5,10,19,19,19,19
412,1,9,19,19,19,19
413,5,10,19,19,19,19
414,6,14,19,19,19,19
415,6,11,19,19,19,19
416,5,13,19,19,19,19
417,3,8,19,19,19,19
418,7,13,19,19,19,19
419,0,8,19,19,19,19
420,4,7,19,19,19,19
421,3,8,19,19,19,19
422,5,10,19,19,19,19
423,4,10,19,19,19,19
424,7,14,19,19,19,19
425,2,11,19,19,19,19
426,4,14,19,19,19,19
427,3,10,19,19,19,19
428,6,12,19,19,19,19
429,7,14,19,19,19,19
430,4,9,19,19,19,19
431,4,11,19,19,19,19
432,2,8,19,19,19,19
433,3,10,19,19,19,19
434,6,10,19,19,19,19
435,5,11,19,19,19,19
436,4,11,19,19,19,19
437,2,11,19,19,19,19
438,5,14,19,19,19,19
439,4,11,19,19,19,19
440,2,11,19,19,19,19
441,2,9,19,19,19,19
442,6,10,19,19,19,19
443,4,9,19,19,19,19
444,3,8,19,19,19,19
445,3,9,19,19,19,19
446,7,12,19,19,19,19
447,3,13,19,19,19,19
448,7,10,19,19,19,19
449,2,10,19,19,19,19
450,3,9,19,19,19,19
451,4,9,19,19,19,19
452,4,7,19,19,19,19
453,5,9,19,19,19,19
454,6,13,19,19,19,19
455,7,9,19,19,19,19
456,4,6,19,19,19,19
457,7,13,19,19,19,19
458,3,9,19,19,19,19
459,2,8,19,19,19,19
460,2,8,19,19,19,19
461,4,13,19,19,19,19
462,5,11,19,19,19,19
463,3,6,19,19,19,19
464,4,13,19,19,19,19
465,2,6,19,19,19,19
466,7,13,19,19,19,19
467,5,12,19,19,19,19
468,5,11,19,19,19,19
469,5,13,19,19,19,19
470,8,14,19,19,19,19
471,4,12,19,19,19,19
472,8,11,19,19,19,19
473,4,9,19,19,19,19
474,6,11,19,19,19,19
475,4,8,19,19,19,19
476,4,8,19,19,19,19
477,5,9,19,19,19,19
478,6,10,19,19,19,19
479,3,8,19,19,19,19
480,3,8,19,19,19,19
481,6,12,19,19,19,19
482,2,11,19,19,19,19
483,5,10,19,19,19,19
484,5,10,19,19,19,19
485,8,9,19,19,19,19
486,4,7,19,19,19,19
487,2,8,19,19,19,19
488,3,7,19,19,19,19
489,7,13,19,19,19,19
490,5,13,19,19,19,19
491,2,8,19,19,19,19
492,4,9,19,19,19,19
493,2,7,19,19,19,19
494,4,10,19,19,19,19
495,5,11,19,19,19,19
496,4,8,19,19,19,19
497,7,12,19,19,19,19
498,5,11,19,19,19,19
499,1,9,19,19,19,19
500,2,7,19,19,19,19
501,1,11,19,19,19,19
502,8,12,19,19,19,19
503,2,9,19,19,19,19
504,2,9,19,19,19,19
505,3,7,19,19,19,19
506,3,12,19,19,19,19
507,1,8,19,19,19,19
508,1,8,19,19,19,19
509,5,9,19,19,19,19
510,7,12,19,19,19,19
511,4,11,19,19,19,19
512,3,8,19,19,19,19
513,4,8,19,19,19,19
514,2,6,19,19,19,19
515,6,10,19,19,19,19
516,5,9,19,19,19,19
517,4,11,19,19,19,19
518,3,8,19,19,19,19
519,3,11,19,19,19,19
520,4,8,19,19,19,19
521,4,10,19,19,19,19
522,6,15,19,19,19,19
523,5,14,19,19,19,19
524,5,13,19,19,19,19
525,5,12,19,19,19,19
526,3,11,19,19,19,19
527,4,11,19,19,19,19
528,2,6,19,19,19,19
529,3,11,19,19,19,19
530,8,13,19,19,19,19
531,6,10,19,19,19,19
532,6,10,19,19,19,19
533,3,9,19,19,19,19
534,3,8,19,19,19,19
535,3,10,19,19,19,19
536,5,8,19,19,19,19
537,5,7,19,19,19,19
538,7,14,19,19,19,19
539,7,10,19,19,19,19
540,6,12,19,19,19,19
541,4,12,19,19,19,19
542,4,14,19,19,19,19
543,7,12,19,19,19,19
544,6,10,19,19,19,19
545,8,13,19,19,19,19
546,3,13,19,19,19,19
547,5,11,19,19,19,19
548,3,9,19,19,19,19
549,7,9,19,19,19,19
550,4,7,19,19,19,19
551,4,7,19,19,19,19
552,4,10,19,19,19,19
553,6,10,19,19,19,19
554,5,8,19,19,19,19
555,3,10,19,19,19,19
556,3,7,19,19,19,19
557,6,12,19,19,19,19
558,5,9,19,19,19,19
559,2,8,19,19,19,19
560,3,8,19,19,19,19
561,4,11,19,19,19,19
562,4,10,19,19,19,19
563,4,12,19,19,19,19
564,5,12,19,19,19,19
565,8,15,19,19,19,19
566,7,11,19,19,19,19
567,2,7,19,19,19,19
568,3,9,19,19,19,19
569,6,12,19,19,19,19
570,5,10,19,19,19,19
571,7,12,19,19,19,19
572,9,12,19,19,19,19
573,6,10,19,19,19,19
574,3,10,19,19,19,19
575,4,9,19,19,19,19
576,5,12,19,19,19,19
577,3,10,19,19,19,19
578,3,7,19,19,19,19
579,5,10,19,19,19,19
580,5,9,19,19,19,19
581,4,10,19,19,19,19
582,6,10,19,19,19,19
583,5,10,19,19,19,19
584,6,11,19,19,19,19
585,4,13,19,19,19,19
586,5,12,19,19,19,19
587,3,7,19,19,19,19
588,5,11,19,19,19,19
589,4,9,19,19,19,19
590,5,13,19,19,19,19
591,7,12,19,19,19,19
592,4,11,19,19,19,19
593,7,11,19,19,19,19
594,5,13,19,19,19,19
595,5,12,19,19,19,19
596,4,10,19,19,19,19
597,1,10,19,19,19,19
598,2,7,19,19,19,19
599,4,12,19,19,19,19
600,3,8,19,19,19,19
601,4,11,19,19,19,19
602,7,13,19,19,19,19
603,2,4,19,19,19,19
604,8,12,19,19,19,19
605,4,10,19,19,19,19
606,3,9,19,19,19,19
607,4,7,19,19,19,19
608,3,9,19,19,19,19
609,4,10,19,19,19,19
610,2,11,19,19,19,19
611,7,11,19,19,19,19
612,3,9,19,19,19,19
613,7,10,19,19,19,19
614,5,9,19,19,19,19
615,3,10,19,19,19,19
616,2,9,19,19,19,19
617,6,10,19,19,19,19
618,6,12,19,19,19,19
619,3,10,19,19,19,19
620,3,9,19,19,19,19
