replicate,ob,dataset,n_events,b3_event_direction_abs_z,k8_local_event_direction_abs_z,k8_local_non_event_direction_abs_median_z,k8_local_event_minus_non_event_direction_z,k8_p_non_event_direction_ge_event,k8_local_to_b3_direction_ratio,k8_pass,k10_local_event_direction_abs_z,k10_local_non_event_direction_abs_median_z,k10_local_event_minus_non_event_direction_z,k10_p_non_event_direction_ge_event,k10_local_to_b3_direction_ratio,k10_pass,both_pass,any_pass
1,13,Ob13.txt,102,0.2700081228101537,0.4130404912813054,0.0842269091338564,0.3288135821474489,0.0,1.5297335760958557,True,0.6986854538819316,0.121990523868817,0.5766949300131146,0.0,2.5876460552751093,True,True,True
1,14,Ob14.txt,47,0.2929373938085575,0.3058490757282306,0.200052814686674,0.1057962610415566,0.225,1.04407659176524,True,0.0862785345279242,0.2478121735650109,-0.1615336390370867,0.8,0.2945289210305106,False,False,True
1,15,Ob15.txt,96,0.1391188124681959,0.1706098153469228,0.1151967386724223,0.0554130766745004,0.3,1.2263604923016866,True,0.5717256844240971,0.1856429910702886,0.3860826933538085,0.0,4.109621655624754,True,True,True
1,16,Ob16.txt,84,0.4770089161889685,0.445683198504365,0.1674396181904093,0.2782435803139557,0.175,0.9343288634206708,True,0.1814340628999219,0.1591123546565569,0.0223217082433649,0.425,0.3803578020081416,False,False,True
1,17,Ob17.txt,122,0.2223849111857874,0.3559083467614893,0.1665532278552227,0.1893551189062666,0.15,1.6004158954118617,True,0.2185792167013766,0.1679236044465823,0.0506556122547942,0.3,0.9828869033239784,True,True,True
1,18,Ob18.txt,103,0.0930954872181501,0.245542798448453,1.2959950738391863,-1.0504522753907333,0.7,2.637537068505523,False,0.3489656118361036,1.4948895041193626,-1.145923892283259,0.7,3.7484696870254792,False,False,False
1,19,Ob19.txt,143,0.1980231511835554,0.0154283561005015,0.0892274185728537,-0.0737990624723521,0.875,0.0779118805467368,False,0.1416867987915118,0.2584476995690442,-0.1167609007775323,0.775,0.7155062321989654,False,False,False
2,1,Ob1.txt,28,0.2999961440383758,0.2409128945675302,0.232073265658557,0.0088396289089732,0.5,0.8030533037008383,False,0.7576677053791425,0.2270721504744468,0.5305955549046957,0.05,2.525591479876557,True,False,True
2,2,Ob2.txt,43,0.5248385977970305,0.2082541482787419,0.1924695209438578,0.0157846273348841,0.475,0.3967965564134816,False,0.2765894771189689,0.1922767920263471,0.0843126850926218,0.275,0.5269991160709824,True,False,True
2,3,Ob3.txt,40,0.2852215799861625,0.1545792093969907,0.1826019709454549,-0.0280227615484641,0.55,0.5419618298324067,False,0.4029288368525359,0.2647552921092262,0.1381735447433096,0.275,1.4126870655161643,True,False,True
2,4,Ob4.txt,58,0.1101681938656899,0.296067817419398,0.2409870329773927,0.0550807844420053,0.35,2.687416458695375,True,0.1225229464210897,0.2459287624883955,-0.1234058160673057,0.9,1.1121444595021854,False,False,True
