ob,dataset,history_window_sec,history_feature,current_state,spearman_corr,pearson_corr,n
1,Ob1.txt,0.75,dC_h,dCdt,0.6103248276710884,0.6254641155276851,1090
1,Ob1.txt,0.75,dC_h,R,-0.3779391426397906,-0.43638297798667114,1090
1,Ob1.txt,0.75,dR_h,C,-0.37504223827886446,-0.4088564257493979,1090
1,Ob1.txt,0.75,dR_h,dCdt,-0.5557547667061475,-0.593055410633424,1090
1,Ob1.txt,0.75,dR_h,R,0.4381079493491379,0.47524082789680205,1090
1,Ob1.txt,0.75,path_length,C,0.06299582068466769,0.16503251871593785,1090
1,Ob1.txt,0.75,path_length,dCdt,-0.03065333935544292,0.04670155394297369,1090
1,Ob1.txt,0.75,path_length,R,-0.03535437471768465,-0.1232466859191069,1090
1,Ob1.txt,0.75,cos_theta_h,C,0.33917385951620765,0.3503635437804529,1087
1,Ob1.txt,0.75,cos_theta_h,dCdt,0.4887757276514269,0.4958046248236636,1087
1,Ob1.txt,0.75,cos_theta_h,R,-0.2251045796647172,-0.27992465955566675,1087
1,Ob1.txt,0.75,sin_theta_h,C,-0.2088445589573232,-0.2788729766196495,1087
1,Ob1.txt,0.75,sin_theta_h,dCdt,-0.38548111877929825,-0.438573616321983,1087
1,Ob1.txt,0.75,sin_theta_h,R,0.3281031510608279,0.36719856329586903,1087
1,Ob1.txt,0.75,turning_proxy,C,0.01704517477590435,0.011569669991910529,1077
1,Ob1.txt,0.75,turning_proxy,dCdt,0.02688338027474148,0.001757481782702424,1077
1,Ob1.txt,0.75,turning_proxy,R,-0.05103303981849301,-0.036487238473323434,1077
2,Ob2.txt,0.25,dC_h,C,0.13987640303070323,0.14558974377433637,1482
2,Ob2.txt,0.25,dC_h,dCdt,0.8509387776328358,0.856886913739827,1482
2,Ob2.txt,0.25,dC_h,R,-0.1489120827804763,-0.15496545931794048,1482
2,Ob2.txt,0.25,dR_h,C,-0.11711166366961052,-0.13505023573728087,1482
2,Ob2.txt,0.25,dR_h,dCdt,-0.7705364867085425,-0.7685165374239512,1482
2,Ob2.txt,0.25,dR_h,R,0.15600160954327896,0.1731550155235538,1482
2,Ob2.txt,0.25,path_length,C,0.016818586602697305,0.0005458688983254687,1482
2,Ob2.txt,0.25,path_length,dCdt,0.015030714354730475,0.038306666297095504,1482
2,Ob2.txt,0.25,path_length,R,-0.06913238193372741,-0.06452730004399702,1482
2,Ob2.txt,0.25,cos_theta_h,C,0.11882678817239284,0.12747378117267286,1418
2,Ob2.txt,0.25,cos_theta_h,dCdt,0.7138175772149103,0.7300648976111203,1418
2,Ob2.txt,0.25,cos_theta_h,R,-0.0921419969036294,-0.10742378929087264,1418
