ob,dataset,t,n_focals,neighbor_slots,unique_neighbors,neighbor_overlap_ratio,max_memberships_per_neighbor,fraction_multimembership_neighbors
1,Ob1.txt,13.67,24,192,87,2.206896551724138,5,0.5632183908045977
1,Ob1.txt,13.77,24,192,90,2.1333333333333333,6,0.5777777777777777
1,Ob1.txt,13.87,24,192,92,2.0869565217391304,5,0.5978260869565217
1,Ob1.txt,13.97,24,192,82,2.341463414634146,10,0.573170731707317
1,Ob1.txt,14.07,24,192,83,2.3132530120481927,6,0.7228915662650602
1,Ob1.txt,14.17,24,192,79,2.430379746835443,6,0.7215189873417721
1,Ob1.txt,14.27,24,192,85,2.2588235294117647,6,0.7294117647058823
1,Ob1.txt,14.37,24,192,82,2.341463414634146,5,0.7073170731707317
1,Ob1.txt,14.47,24,192,79,2.430379746835443,6,0.7468354430379747
1,Ob1.txt,14.57,24,192,84,2.2857142857142856,6,0.6904761904761905
1,Ob1.txt,14.67,24,192,83,2.3132530120481927,6,0.6746987951807228
1,Ob1.txt,14.77,24,192,88,2.1818181818181817,6,0.7045454545454546
1,Ob1.txt,14.87,24,192,87,2.206896551724138,6,0.6781609195402298
1,Ob1.txt,14.97,24,192,82,2.341463414634146,6,0.6829268292682927
1,Ob1.txt,15.07,24,192,83,2.3132530120481927,7,0.7228915662650602
1,Ob1.txt,15.17,24,192,87,2.206896551724138,5,0.6666666666666666
1,Ob1.txt,15.27,24,192,82,2.341463414634146,6,0.7073170731707317
1,Ob1.txt,15.37,24,192,77,2.493506493506493,6,0.6233766233766234
1,Ob1.txt,15.47,24,192,83,2.3132530120481927,5,0.7228915662650602
1,Ob1.txt,15.57,24,192,83,2.3132530120481927,6,0.6746987951807228
1,Ob1.txt,15.67,24,192,80,2.4,6,0.75
1,Ob1.txt,15.77,24,192,79,2.430379746835443,6,0.7974683544303798
1,Ob1.txt,15.87,24,192,86,2.232558139534884,6,0.6744186046511628
1,Ob1.txt,15.97,24,192,84,2.2857142857142856,6,0.6785714285714286
1,Ob1.txt,16.07,24,192,80,2.4,6,0.725
1,Ob1.txt,16.17,24,192,82,2.341463414634146,6,0.7073170731707317
1,Ob1.txt,16.27,24,192,72,2.6666666666666665,8,0.75
1,Ob1.txt,16.37,24,192,73,2.6301369863013697,6,0.7534246575342466
1,Ob1.txt,16.47,24,192,78,2.4615384615384617,7,0.7051282051282052
1,Ob1.txt,16.57,24,192,74,2.5945945945945947,7,0.6891891891891891
1,Ob1.txt,16.67,24,192,73,2.6301369863013697,7,0.7123287671232876
1,Ob1.txt,16.77,24,192,78,2.4615384615384617,7,0.6153846153846154
1,Ob1.txt,16.87,24,192,80,2.4,5,0.7375
1,Ob1.txt,16.97,24,192,84,2.2857142857142856,6,0.6428571428571429
1,Ob1.txt,17.07,24,192,89,2.157303370786517,6,0.6404494382022472
1,Ob1.txt,17.17,24,192,82,2.341463414634146,6,0.6829268292682927
1,Ob1.txt,17.27,24,192,80,2.4,6,0.65
1,Ob1.txt,17.37,24,192,88,2.1818181818181817,5,0.7045454545454546
1,Ob1.txt,17.47,24,192,83,2.3132530120481927,5,0.6987951807228916
1,Ob1.txt,17.57,24,192,83,2.3132530120481927,6,0.6746987951807228
1,Ob1.txt,17.67,24,192,76,2.526315789473684,6,0.75
1,Ob1.txt,17.77,24,192,80,2.4,5,0.7625
1,Ob1.txt,17.87,24,192,79,2.430379746835443,8,0.620253164556962
1,Ob1.txt,17.97,24,192,77,2.493506493506493,5,0.7142857142857143
1,Ob1.txt,18.07,24,192,79,2.430379746835443,6,0.7215189873417721
1,Ob1.txt,18.17,24,192,81,2.3703703703703702,5,0.7777777777777778
1,Ob1.txt,18.27,24,192,80,2.4,6,0.75
1,Ob1.txt,18.37,24,192,82,2.341463414634146,5,0.6829268292682927
1,Ob1.txt,18.47,24,192,81,2.3703703703703702,8,0.7037037037037037
1,Ob1.txt,18.57,24,192,83,2.3132530120481927,5,0.7590361445783133
1,Ob1.txt,18.67,24,192,68,2.823529411764706,7,0.7941176470588235
1,Ob1.txt,18.77,24,192,78,2.4615384615384617,6,0.7307692307692307
1,Ob1.txt,18.87,24,192,76,2.526315789473684,8,0.7236842105263158
1,Ob1.txt,18.97,24,192,78,2.4615384615384617,5,0.7564102564102564
1,Ob1.txt,19.07,24,192,76,2.526315789473684,6,0.75
1,Ob1.txt,19.17,24,192,80,2.4,6,0.7375
1,Ob1.txt,19.27,24,192,79,2.430379746835443,6,0.7215189873417721
1,Ob1.txt,19.37,24,192,86,2.232558139534884,6,0.6976744186046512
1,Ob1.txt,19.47,24,192,86,2.232558139534884,6,0.6627906976744186
1,Ob1.txt,19.57,24,192,79,2.430379746835443,7,0.6455696202531646
1,Ob1.txt,19.67,24,192,79,2.430379746835443,6,0.810126582278481
1,Ob1.txt,19.77,24,192,71,2.704225352112676,7,0.704225352112676
1,Ob1.txt,19.87,24,192,78,2.4615384615384617,6,0.7435897435897436
1,Ob1.txt,19.97,24,192,76,2.526315789473684,6,0.7105263157894737
1,Ob1.txt,20.07,24,192,82,2.341463414634146,7,0.6951219512195121
1,Ob1.txt,20.17,24,192,78,2.4615384615384617,5,0.717948717948718
1,Ob1.txt,20.27,24,192,76,2.526315789473684,7,0.75
1,Ob1.txt,20.37,24,192,79,2.430379746835443,6,0.7215189873417721
1,Ob1.txt,20.47,24,192,73,2.6301369863013697,7,0.726027397260274
1,Ob1.txt,20.57,24,192,77,2.493506493506493,5,0.7402597402597403
1,Ob1.txt,20.67,24,192,78,2.4615384615384617,6,0.782051282051282
1,Ob1.txt,20.77,24,192,76,2.526315789473684,6,0.7763157894736842
1,Ob1.txt,20.87,24,192,75,2.56,8,0.8133333333333334
1,Ob1.txt,20.97,24,192,78,2.4615384615384617,5,0.7692307692307693
1,Ob1.txt,21.07,24,192,80,2.4,6,0.7625
1,Ob1.txt,21.17,24,192,74,2.5945945945945947,6,0.7432432432432432
1,Ob1.txt,21.27,24,192,78,2.4615384615384617,8,0.6666666666666666
1,Ob1.txt,21.37,24,192,74,2.5945945945945947,7,0.6756756756756757
1,Ob1.txt,21.47,24,192,76,2.526315789473684,6,0.8026315789473685
1,Ob1.txt,21.57,24,192,70,2.742857142857143,6,0.7857142857142857
1,Ob1.txt,21.67,24,192,73,2.6301369863013697,5,0.8082191780821918
1,Ob1.txt,21.77,24,192,83,2.3132530120481927,5,0.7108433734939759
1,Ob1.txt,21.87,24,192,75,2.56,7,0.76
1,Ob1.txt,21.97,24,192,75,2.56,7,0.7733333333333333
1,Ob1.txt,22.07,24,192,75,2.56,5,0.8
