ob,variable,n_events,phase,real_phase_aligned_z,null_phase_median_aligned_z,null_phase_abs_median_z,event_minus_null_phase_z,abs_event_minus_abs_null_z,p_null_abs_ge_real_abs,phase_gate
13,density_sparse_minus_dense,102,early_pre,0.10480671112128358,-0.0041997849262923,0.05861028603374045,0.10900649604757588,0.046196425087543125,0.225,False
13,density_sparse_minus_dense,102,near_pre,-0.08745159398600172,0.009393808735684111,0.04312788998354744,-0.09684540272168583,0.04432370400245428,0.2,False
13,density_sparse_minus_dense,102,near_post,-0.04215880756437275,0.0016224803854548242,0.04956540210073511,-0.04378128794982757,-0.00740659453636236,0.625,False
13,density_sparse_minus_dense,102,late_post,0.06048154494471536,0.013366731406336152,0.053255813872064434,0.04711481353837921,0.007225731072650926,0.4,False
14,shell_edge_minus_core,47,early_pre,-0.142439395368217,0.024124191212886198,0.068425832602768,-0.1665635865811032,0.07401356276544901,0.225,False
14,shell_edge_minus_core,47,near_pre,0.0391234367097696,-0.0014036422835453505,0.041829768694138236,0.04052707899331495,-0.0027063319843686345,0.55,False
14,shell_edge_minus_core,47,near_post,-0.009320972981464754,-0.005771112508950307,0.04725463046446135,-0.003549860472514446,-0.0379336574829966,0.9,False
14,shell_edge_minus_core,47,late_post,0.039983014533185465,-0.017169515807872904,0.05513758654800243,0.05715253034105837,-0.015154572014816965,0.6,False
14,all_tangential,47,early_pre,-0.1086191776722652,-0.013711406436376786,0.06656097836552465,-0.09490777123588841,0.042058199306740554,0.35,False
14,all_tangential,47,near_pre,-0.25090351927282173,-0.03210631884918526,0.09735766389058764,-0.21879720042363648,0.1535458553822341,0.0,True
14,all_tangential,47,near_post,0.10904982583070402,0.043529405307952025,0.061977453835633245,0.065520420522752,0.04707237199507078,0.3,False
14,all_tangential,47,late_post,0.13013645813547084,-0.012320057651778838,0.05504532940112919,0.1424565157872497,0.07509112873434165,0.075,False
14,shell_core_tangential,47,early_pre,0.014538811719578493,-0.006358010490714531,0.06940381112070314,0.020896822210293025,-0.054864999401124645,0.85,False
14,shell_core_tangential,47,near_pre,-0.0731793909058712,-0.024035372696795995,0.09004379112160983,-0.0491440182090752,-0.016864400215738637,0.6,False
14,shell_core_tangential,47,near_post,0.11808119398359215,0.03347007225847006,0.05324333008284899,0.08461112172512208,0.06483786390074317,0.125,False
14,shell_core_tangential,47,late_post,-0.042121259313701746,-0.005741206812505693,0.06602549386235322,-0.03638005250119605,-0.023904234548651475,0.675,False
14,shell_middle_tangential,47,early_pre,-0.19634150795436794,-0.012451177606125382,0.06536736340961907,-0.18389033034824256,0.13097414454474887,0.05,True
14,shell_middle_tangential,47,near_pre,-0.2418469187486303,0.0006981577344575204,0.05661669203287617,-0.24254507648308782,0.18523022671575412,0.025,True
14,shell_middle_tangential,47,near_post,0.07359157461698065,0.02253602850509826,0.047966025880941704,0.05105554611188239,0.02562554873603895,0.275,False
14,shell_middle_tangential,47,late_post,0.09301666270326298,-0.023489088089298976,0.06134908518977124,0.11650575079256195,0.03166757751349174,0.225,False
14,shell_edge_tangential,47,early_pre,-0.12219196860172207,0.006210798069143531,0.049977346322515256,-0.12840276667086561,0.07221462227920682,0.2,False
14,shell_edge_tangential,47,near_pre,-0.1373652143901555,-0.006275461031768764,0.0673226121716245,-0.13108975335838674,0.07004260221853101,0.225,False
