ob,target_id,role,b3_metric,local_metric,k,lag_sec,n_events,b3_event_direction_abs_z,b3_non_event_direction_abs_median_z,b3_event_minus_non_event_direction_z,local_event_direction_abs_z,local_non_event_direction_abs_median_z,local_event_minus_non_event_direction_z,p_non_event_direction_ge_event,local_to_b3_direction_ratio,event_conditioned_local_gate,geometry_ladder_reading
5,T1_support_edge_core_tangential,supporting_transition_spatial_metric,edge_minus_core_resid_tangential,local_edge_minus_core_tangential,8,0.1,93,0.10674629872346447,0.25515188807028166,-0.1484055893468172,0.6218210731043617,0.11590080676708306,0.5059202663372787,0.0,5.825223736471117,True,local_nonaffine_signal_survives_pilot
5,T2_general_speed_rms,secondary_general_activity,resid_speed_rms,local_speed_rms,8,0.1,93,0.42855731139033604,0.1881766001611362,0.24038071122919985,0.476024188778593,0.23058984077111083,0.24543434800748215,0.075,1.1107596956735233,True,local_nonaffine_signal_survives_pilot
5,T2_general_cov_trace,secondary_general_activity,resid_velocity_cov_trace,local_velocity_cov_trace,8,0.1,93,0.37903664961918043,0.1765098088994014,0.20252684071977903,0.4729307235683926,0.23177157294695058,0.24115915062144203,0.125,1.2477176654119013,True,local_nonaffine_signal_survives_pilot
5,T1_transition_tangential_residual,primary_transition_target,resid_tangential_speed_mean,local_tangential_speed_mean,10,0.1,93,0.42423763470043996,0.19665426185524584,0.22758337284519412,0.3373176953637895,0.15396588922968052,0.183351806134109,0.075,0.7951149727722158,True,local_nonaffine_signal_survives_pilot
5,T1_support_edge_core_tangential,supporting_transition_spatial_metric,edge_minus_core_resid_tangential,local_edge_minus_core_tangential,10,0.1,93,0.10674629872346447,0.25515188807028166,-0.1484055893468172,0.07189595550080402,0.21311246035608916,-0.14121650485528514,0.825,0.6735217647878988,False,local_nonaffine_not_event_conditioned
5,T2_general_speed_rms,secondary_general_activity,resid_speed_rms,local_speed_rms,10,0.1,93,0.42855731139033604,0.1881766001611362,0.24038071122919985,0.32707782634076543,0.17802057347840783,0.1490572528623576,0.275,0.7632067348930569,True,local_nonaffine_signal_survives_pilot
5,T2_general_cov_trace,secondary_general_activity,resid_velocity_cov_trace,local_velocity_cov_trace,10,0.1,93,0.37903664961918043,0.1765098088994014,0.20252684071977903,0.38412225257946697,0.18345968477107677,0.2006625678083902,0.2,1.0134171800151677,True,local_nonaffine_signal_survives_pilot
6,T1_transition_tangential_residual,primary_transition_target,resid_tangential_speed_mean,local_tangential_speed_mean,8,0.1,112,0.0013388578272377494,0.17206725460181901,-0.17072839677458126,0.06947810378962303,0.19468191671161184,-0.1252038129219888,0.875,51.89356358543764,False,local_nonaffine_not_event_conditioned
6,T1_support_edge_core_tangential,supporting_transition_spatial_metric,edge_minus_core_resid_tangential,local_edge_minus_core_tangential,8,0.1,112,0.12073412572199954,0.19882692974352387,-0.07809280402152433,0.12999116088639745,0.15927102788551442,-0.02927986699911697,0.575,1.076672896822171,False,local_nonaffine_not_event_conditioned
6,T2_general_speed_rms,secondary_general_activity,resid_speed_rms,local_speed_rms,8,0.1,112,0.17386016228959467,0.1784483958613986,-0.004588233571803935,0.15129695956098954,0.14674893074431117,0.004548028816678373,0.475,0.8702221231622794,False,inconclusive
6,T2_general_cov_trace,secondary_general_activity,resid_velocity_cov_trace,local_velocity_cov_trace,8,0.1,112,0.1761018814880681,0.1896309122188939,-0.013529030730825786,0.15748425359496648,0.14982592147691742,0.0076583321180490604,0.475,0.8942792221424217,False,inconclusive
6,T1_transition_tangential_residual,primary_transition_target,resid_tangential_speed_mean,local_tangential_speed_mean,10,0.1,112,0.0013388578272377494,0.17206725460181901,-0.17072839677458126,0.030275464385519035,0.16482952184868965,-0.13455405746317062,0.875,22.61290464871953,False,local_nonaffine_not_event_conditioned
6,T1_support_edge_core_tangential,supporting_transition_spatial_metric,edge_minus_core_resid_tangential,local_edge_minus_core_tangential,10,0.1,112,0.12073412572199954,0.19882692974352387,-0.07809280402152433,0.13826175815695213,0.16595981412499278,-0.027698055968040647,0.6,1.1451754616197862,False,local_nonaffine_not_event_conditioned
6,T2_general_speed_rms,secondary_general_activity,resid_speed_rms,local_speed_rms,10,0.1,112,0.17386016228959467,0.1784483958613986,-0.004588233571803935,0.11366323089089098,0.1737734491407758,-0.06011021824988483,0.675,0.6537623650757031,False,local_nonaffine_not_event_conditioned
6,T2_general_cov_trace,secondary_general_activity,resid_velocity_cov_trace,local_velocity_cov_trace,10,0.1,112,0.1761018814880681,0.1896309122188939,-0.013529030730825786,0.10673399262532268,0.15899215940510034,-0.052258166779777654,0.65,0.6060922900051725,False,local_nonaffine_not_event_conditioned
7,T1_transition_tangential_residual,primary_transition_target,resid_tangential_speed_mean,local_tangential_speed_mean,8,0.1,33,0.4291045105708926,0.3028310840153835,0.1262734265555091,0.4794063903158786,0.2588334074692326,0.220572982846646,0.225,1.1172252411843981,True,local_nonaffine_signal_survives_pilot
7,T1_support_edge_core_tangential,supporting_transition_spatial_metric,edge_minus_core_resid_tangential,local_edge_minus_core_tangential,8,0.1,33,0.21084075713124695,0.23508138682965746,-0.02424062969841051,0.11988647625598606,0.1973546599802896,-0.07746818372430353,0.725,0.568611486162315,False,local_nonaffine_not_event_conditioned
7,T2_general_speed_rms,secondary_general_activity,resid_speed_rms,local_speed_rms,8,0.1,33,1.235529538417985,0.4021985964582686,0.8333309419597164,0.23192357573500935,0.27473596740346634,-0.04281239166845699,0.575,0.18771188265719035,False,local_affine_largely_absorbs_b3_signal
7,T2_general_cov_trace,secondary_general_activity,resid_velocity_cov_trace,local_velocity_cov_trace,8,0.1,33,1.2487651248196583,0.3828598714838265,0.8659052533358318,0.2692700007068263,0.2459813654178587,0.023288635288967574,0.475,0.21562902050592836,False,local_affine_largely_absorbs_b3_signal
7,T1_transition_tangential_residual,primary_transition_target,resid_tangential_speed_mean,local_tangential_speed_mean,10,0.1,33,0.4291045105708926,0.3028310840153835,0.1262734265555091,0.4617550222884095,0.3377139906094903,0.12404103167891917,0.25,1.0760898823321101,True,local_nonaffine_signal_survives_pilot
7,T1_support_edge_core_tangential,supporting_transition_spatial_metric,edge_minus_core_resid_tangential,local_edge_minus_core_tangential,10,0.1,33,0.21084075713124695,0.23508138682965746,-0.02424062969841051,0.32909629411502234,0.24051114434588866,0.08858514976913368,0.3,1.560876078196599,True,local_nonaffine_signal_survives_pilot
7,T2_general_speed_rms,secondary_general_activity,resid_speed_rms,local_speed_rms,10,0.1,33,1.235529538417985,0.4021985964582686,0.8333309419597164,0.20626314579936367,0.2612797504299367,-0.05501660463057301,0.6,0.1669431117474295,False,local_affine_largely_absorbs_b3_signal
7,T2_general_cov_trace,secondary_general_activity,resid_velocity_cov_trace,local_velocity_cov_trace,10,0.1,33,1.2487651248196583,0.3828598714838265,0.8659052533358318,0.2022549101286273,0.2763556158732737,-0.07410070574464636,0.625,0.16196393229498315,False,local_affine_largely_absorbs_b3_signal
8,T1_transition_tangential_residual,primary_transition_target,resid_tangential_speed_mean,local_tangential_speed_mean,8,0.1,84,0.09395424400681579,0.18649918325147807,-0.09254493924466228,0.290681233323688,0.2870773683621533,0.0036038649615346974,0.5,3.0938595312692945,False,inconclusive
8,T1_support_edge_core_tangential,supporting_transition_spatial_metric,edge_minus_core_resid_tangential,local_edge_minus_core_tangential,8,0.1,84,0.32165714815539864,0.23679820865512285,0.08485893950027579,0.4587646664413553,0.22023575534046944,0.23852891110088584,0.125,1.4262536028570314,True,local_nonaffine_signal_survives_pilot
8,T2_general_speed_rms,secondary_general_activity,resid_speed_rms,local_speed_rms,8,0.1,84,0.36817564840799416,0.2448002459409156,0.12337540246707857,0.3263449485592791,0.3015863424335973,0.024758606125681815,0.475,0.886383849584858,False,inconclusive
8,T2_general_cov_trace,secondary_general_activity,resid_velocity_cov_trace,local_velocity_cov_trace,8,0.1,84,0.3430908768800466,0.2416924002989726,0.10139847658107398,0.27818574110844557,0.29704305703019784,-0.01885731592175227,0.5,0.8108223210076976,False,local_nonaffine_not_event_conditioned
8,T1_transition_tangential_residual,primary_transition_target,resid_tangential_speed_mean,local_tangential_speed_mean,10,0.1,84,0.09395424400681579,0.18649918325147807,-0.09254493924466228,0.010953817568276757,0.1971190910355867,-0.18616527346730993,0.925,0.11658672457076155,False,local_affine_largely_absorbs_b3_signal
8,T1_support_edge_core_tangential,supporting_transition_spatial_metric,edge_minus_core_resid_tangential,local_edge_minus_core_tangential,10,0.1,84,0.32165714815539864,0.23679820865512285,0.08485893950027579,0.3224911313976823,0.1795290301316937,0.14296210126598863,0.275,1.0025927707407292,True,local_nonaffine_signal_survives_pilot
8,T2_general_speed_rms,secondary_general_activity,resid_speed_rms,local_speed_rms,10,0.1,84,0.36817564840799416,0.2448002459409156,0.12337540246707857,0.43544246518255875,0.21044093175456863,0.22500153342799012,0.125,1.1827030578079483,True,local_nonaffine_signal_survives_pilot
8,T2_general_cov_trace,secondary_general_activity,resid_velocity_cov_trace,local_velocity_cov_trace,10,0.1,84,0.3430908768800466,0.2416924002989726,0.10139847658107398,0.36216962657432916,0.21122625543506712,0.15094337113926204,0.275,1.0556084436513682,True,local_nonaffine_signal_survives_pilot
9,T1_transition_tangential_residual,primary_transition_target,resid_tangential_speed_mean,local_tangential_speed_mean,8,0.1,36,0.3532778461635227,0.48551040894586867,-0.13223256278234596,0.7680434118240885,0.28290756328098854,0.4851358485431,0.025,2.174049180170166,True,local_nonaffine_signal_survives_pilot
9,T1_support_edge_core_tangential,supporting_transition_spatial_metric,edge_minus_core_resid_tangential,local_edge_minus_core_tangential,8,0.1,36,0.6370643431525245,0.31886292275216366,0.3182014204003608,0.4239863936285293,0.2206395762643284,0.2033468173642009,0.225,0.6655315090002133,True,local_nonaffine_signal_survives_pilot
9,T2_general_speed_rms,secondary_general_activity,resid_speed_rms,local_speed_rms,8,0.1,36,1.2875769648076814,0.28589574171885035,1.001681223088831,1.129009361826272,0.27983037642932035,0.8491789853969516,0.05,0.8768480585507417,True,local_nonaffine_signal_survives_pilot
9,T2_general_cov_trace,secondary_general_activity,resid_velocity_cov_trace,local_velocity_cov_trace,8,0.1,36,1.3605301286820493,0.28122233650131623,1.079307792180733,1.1354093302979358,0.24859844257784158,0.8868108877200942,0.025,0.8345344997231419,True,local_nonaffine_signal_survives_pilot
9,T1_transition_tangential_residual,primary_transition_target,resid_tangential_speed_mean,local_tangential_speed_mean,10,0.1,36,0.3532778461635227,0.48551040894586867,-0.13223256278234596,0.7157256691822503,0.26868768105817753,0.4470379881240728,0.025,2.0259568409250335,True,local_nonaffine_signal_survives_pilot
