ob,variable,event_type,relative_time_sec,median_value_z,q25_value_z,q75_value_z,n_events
7,shell_edge_minus_core,high_to_low,0.15,-0.4143139646552094,-0.657090716348113,0.5818699225631905,14
7,shell_edge_minus_core,low_to_high,0.15,0.33049426015175104,0.01579815226685806,0.6505793858823397,19
7,shell_edge_minus_core,high_to_low,0.2,-0.3712443433393434,-0.658483591657666,0.15396669535749336,14
7,shell_edge_minus_core,low_to_high,0.2,0.2071469868041915,-0.4409981893373797,0.5972949330392958,19
7,shell_edge_minus_core,high_to_low,0.25,-0.07751981317880001,-0.6617580560042112,0.7034929691458236,14
7,shell_edge_minus_core,low_to_high,0.25,0.3315963533812124,-0.36996276678290535,0.853834360720249,19
7,shell_edge_minus_core,high_to_low,0.3,0.10750211498011267,-1.09718982774468,0.48645433555805423,14
7,shell_edge_minus_core,low_to_high,0.3,0.39607881331808625,-0.5621908026998215,0.6209405253083762,19
7,shell_edge_minus_core,high_to_low,0.35,0.30991764601264327,-0.26214260087029,0.4852323051958895,14
7,shell_edge_minus_core,low_to_high,0.35,0.0870016174472808,-0.6914379820816852,0.5763249448566723,19
7,shell_edge_minus_core,high_to_low,0.4,-0.4918087570947729,-0.7522284625648745,0.4545021603208841,14
7,shell_edge_minus_core,low_to_high,0.4,0.1104443650420911,-0.6382612167736466,0.744253577875091,19
7,shell_edge_minus_core,high_to_low,0.45,-0.4321553697438921,-0.8272516479936051,0.11820945899414143,14
7,shell_edge_minus_core,low_to_high,0.45,-0.03337673162681107,-0.6140875824209229,0.5283262372014463,19
7,shell_edge_minus_core,high_to_low,0.5,-0.2773182983193249,-0.9420128861506029,0.5147393700790901,14
7,shell_edge_minus_core,low_to_high,0.5,-0.3824962796427993,-0.8548396191081358,0.0556863592186132,19
7,all_tangential,high_to_low,-0.5,0.09960226512338238,-0.462980721534725,0.4001620837509995,14
7,all_tangential,low_to_high,-0.5,0.0527466464330222,-0.23631542013738563,0.34103154639305844,19
7,all_tangential,high_to_low,-0.45,-0.061094649608484514,-0.7411755894082126,0.6675042533642594,14
7,all_tangential,low_to_high,-0.45,-0.11208487506480413,-0.5854672069011864,0.27651536025325907,19
7,all_tangential,high_to_low,-0.4,0.2507704000265129,-0.26015644870155663,0.9529531243899443,14
7,all_tangential,low_to_high,-0.4,-0.3039042325260653,-0.8641052544068075,0.43922209324994155,19
7,all_tangential,high_to_low,-0.35,0.25963894141482285,-0.2734291832305118,0.4818936569980613,14
7,all_tangential,low_to_high,-0.35,-0.3702981819517728,-0.688020425512991,0.35917948816372525,19
7,all_tangential,high_to_low,-0.3,0.2966820203823445,-0.15032943461916848,0.8076810480937586,14
7,all_tangential,low_to_high,-0.3,-0.2423102093969586,-0.6351833544738706,0.5404639716793672,19
7,all_tangential,high_to_low,-0.25,-0.2765812157785429,-0.7650308418698215,0.46862024250013457,14
7,all_tangential,low_to_high,-0.25,-0.0696348947131939,-0.7408139953869457,0.5435617370091232,19
7,all_tangential,high_to_low,-0.2,-0.04699829808662547,-0.35276867595589845,0.5001866707929834,14
7,all_tangential,low_to_high,-0.2,0.08151738351371265,-0.4819839992374957,0.9876753917493918,19
7,all_tangential,high_to_low,-0.15,0.06280383677539168,-0.5307832306734999,0.9171673026024814,14
7,all_tangential,low_to_high,-0.15,-0.09090694925507858,-0.48923693399729007,0.42125387978519757,19
7,all_tangential,high_to_low,-0.1,0.4830597760435952,-0.05400307570351688,0.987788013054839,14
7,all_tangential,low_to_high,-0.1,0.1364140597359688,-0.8196980898397508,0.7187818944893487,19
7,all_tangential,high_to_low,-0.05,0.2195704480720566,-0.1880683821208843,1.0708627104787667,14
7,all_tangential,low_to_high,-0.05,-0.216064203649808,-1.077559708215619,0.3148302909583288,19
7,all_tangential,high_to_low,-0.0,0.12302221536314681,-0.49948891398683165,0.5360998846589351,14
7,all_tangential,low_to_high,-0.0,-0.0549576248789992,-0.5325772084463802,1.2123122983996428,19
7,all_tangential,high_to_low,0.05,0.2590242636536487,-0.26422216127057974,1.2241199221548473,14
7,all_tangential,low_to_high,0.05,0.21242595997786445,-0.2321112497368249,0.8999362895327316,19
7,all_tangential,high_to_low,0.1,-0.3688959460426493,-0.7820253275485869,0.11385837634318514,14
7,all_tangential,low_to_high,0.1,0.5146759748764054,-0.31442653629596257,0.8395853582608827,19
7,all_tangential,high_to_low,0.15,0.2271141750552766,-0.8750081772557752,0.549019946750516,14
7,all_tangential,low_to_high,0.15,0.2806133390003114,-0.08552634469513697,0.6191265612887069,19
7,all_tangential,high_to_low,0.2,0.046041927638446625,-0.38773253336584096,0.6068575698862965,14
7,all_tangential,low_to_high,0.2,0.3976886855331752,-0.43078937857187094,0.6887366176001859,19
7,all_tangential,high_to_low,0.25,-0.19385824963317472,-0.46594960904031846,0.9638867003783211,14
7,all_tangential,low_to_high,0.25,0.3917243397353524,-0.25675427454650185,0.9319242533375975,19
7,all_tangential,high_to_low,0.3,0.2097110311680516,-0.015752241493296654,0.28651368962893414,14
7,all_tangential,low_to_high,0.3,0.0518024238123173,-0.6054621041341297,0.8523780048773686,19
7,all_tangential,high_to_low,0.35,-0.2114257662680134,-0.541441329837995,0.07013140421001499,14
7,all_tangential,low_to_high,0.35,-0.19510912200594013,-0.32818066155008996,0.23757738894774952,19
7,all_tangential,high_to_low,0.4,-0.07202901014394829,-0.6907944971048309,0.4384555183620632,14
7,all_tangential,low_to_high,0.4,-0.236898404385185,-1.2037265331658307,0.3627832821739906,19
7,all_tangential,high_to_low,0.45,0.05130808788535657,-1.0404218278717503,0.23926183106017324,14
7,all_tangential,low_to_high,0.45,-0.012025557867924475,-0.6184932262656626,0.4525313952316067,19
7,all_tangential,high_to_low,0.5,-0.41644792153914456,-1.1150688103431694,0.4355982222732133,14
7,all_tangential,low_to_high,0.5,0.1900138620051063,-0.4286761363509391,0.38953585610842506,19
7,shell_core_tangential,high_to_low,-0.5,-0.1606938157324979,-0.584109926650147,0.31530596105299136,14
7,shell_core_tangential,low_to_high,-0.5,-0.14359536478232235,-0.5220369184930936,0.4748178541699604,19
7,shell_core_tangential,high_to_low,-0.45,0.27467073314973023,-0.6589326537757847,0.4463981765413124,14
7,shell_core_tangential,low_to_high,-0.45,0.06535511110303133,-0.33069608716414145,0.3061206548966582,19
7,shell_core_tangential,high_to_low,-0.4,0.7099722458886936,-0.3400332756084663,1.1689618484046809,14
7,shell_core_tangential,low_to_high,-0.4,-0.3544980841571989,-0.7961073673569328,0.3770862214926712,19
7,shell_core_tangential,high_to_low,-0.35,0.3813194545559681,-0.38230815176976385,0.5938476401049403,14
7,shell_core_tangential,low_to_high,-0.35,-0.3362941777189803,-0.7848877589316671,0.5930991677173112,19
7,shell_core_tangential,high_to_low,-0.3,0.5314837358538956,-0.1637958503423803,0.6187862710054622,14
7,shell_core_tangential,low_to_high,-0.3,0.0591772917516585,-0.606962407450975,1.0043337224604298,19
7,shell_core_tangential,high_to_low,-0.25,-0.19301303041942514,-0.7046403039076388,0.5991036672768082,14
7,shell_core_tangential,low_to_high,-0.25,-0.06821790280106138,-0.37808224683403413,0.8452357766759657,19
7,shell_core_tangential,high_to_low,-0.2,0.203844872054935,-0.32876810667597356,0.4368019563063118,14
7,shell_core_tangential,low_to_high,-0.2,0.349560098311224,-0.22906235318101165,0.9773712203083058,19
7,shell_core_tangential,high_to_low,-0.15,0.21414092437766052,-0.5071771000938906,0.48800445642550483,14
7,shell_core_tangential,low_to_high,-0.15,0.09237557741115321,-0.27563914540755785,0.663876227470203,19
7,shell_core_tangential,high_to_low,-0.1,0.14953135271374873,-0.4992112004226488,1.039000485376344,14
7,shell_core_tangential,low_to_high,-0.1,-0.1067134190154854,-0.4075143310319949,0.5060883977522248,19
7,shell_core_tangential,high_to_low,-0.05,-0.07634128391112577,-0.2723828501012798,0.7087541175774624,14
7,shell_core_tangential,low_to_high,-0.05,-0.4145497581043271,-1.103047521188092,0.37026083724881,19
7,shell_core_tangential,high_to_low,-0.0,-0.09167928320024481,-1.050273170960594,0.35890271074435254,14
7,shell_core_tangential,low_to_high,-0.0,-0.083093276676826,-0.6201901060857571,0.43656834710953263,19
7,shell_core_tangential,high_to_low,0.05,-0.12778430774765875,-0.6417965780968554,0.9004584440972975,14
7,shell_core_tangential,low_to_high,0.05,0.0527866533329093,-0.3100155564544399,0.5338401289314328,19
7,shell_core_tangential,high_to_low,0.1,-0.38202751417681513,-0.5835635235387195,0.19087537717042727,14
7,shell_core_tangential,low_to_high,0.1,0.14787275279435758,-0.4140317428160772,0.5910223687023595,19
7,shell_core_tangential,high_to_low,0.15,0.15546772542004372,-0.7184966260087007,0.5690927400575023,14
7,shell_core_tangential,low_to_high,0.15,-0.0187479724873056,-0.5060679533214862,0.4011691980260714,19
7,shell_core_tangential,high_to_low,0.2,0.27669343712187167,-0.20735980772731333,0.7345936168514219,14
7,shell_core_tangential,low_to_high,0.2,0.3462079817069371,-0.20632680044874904,0.6549328599236217,19
7,shell_core_tangential,high_to_low,0.25,0.28578368632170237,-0.3924019715830199,0.7015264606173599,14
7,shell_core_tangential,low_to_high,0.25,-0.013803609649371662,-0.656848020276189,0.5999702875915475,19
7,shell_core_tangential,high_to_low,0.3,0.11104062663052713,-0.3228616259607414,1.0545007397179331,14
7,shell_core_tangential,low_to_high,0.3,-0.0745322561681632,-0.6333278964843778,0.6222464799674275,19
7,shell_core_tangential,high_to_low,0.35,-0.3313612062167982,-0.6792502500298181,0.35861410324458326,14
7,shell_core_tangential,low_to_high,0.35,-0.2331249395257315,-0.6772079663825021,0.34347510969516276,19
7,shell_core_tangential,high_to_low,0.4,0.1328002479778123,-0.1023100066776809,0.3791542162719286,14
7,shell_core_tangential,low_to_high,0.4,-0.2439810594610962,-0.38915773391132713,0.09667594617274995,19
7,shell_core_tangential,high_to_low,0.45,0.18872526750956925,-0.8285740858104196,0.9604277804814343,14
7,shell_core_tangential,low_to_high,0.45,-0.10500228505693188,-0.691730502035779,0.31458569813451775,19
7,shell_core_tangential,high_to_low,0.5,-0.13385722261882868,-1.046357419608215,0.6993604433803244,14
7,shell_core_tangential,low_to_high,0.5,0.1666604666805664,-0.061917260729868154,0.503675070453821,19
7,shell_middle_tangential,high_to_low,-0.5,-0.09143017944368861,-0.3145921051857998,0.5858966550282032,14
7,shell_middle_tangential,low_to_high,-0.5,-0.2007988546779106,-0.4820102900281169,0.6659833901521355,19
7,shell_middle_tangential,high_to_low,-0.45,-0.14775239774296736,-0.5509391182199606,0.5573126243641624,14
7,shell_middle_tangential,low_to_high,-0.45,-0.007630978851555309,-0.7828829592490378,0.49864863412850763,19
7,shell_middle_tangential,high_to_low,-0.4,-0.49170102676293825,-0.6042026629230433,-0.213595135303296,14
7,shell_middle_tangential,low_to_high,-0.4,-0.353592442500531,-0.6849464372960409,0.36209791649480416,19
7,shell_middle_tangential,high_to_low,-0.35,-0.12299725045543264,-0.8929518553042006,0.4361424084220564,14
7,shell_middle_tangential,low_to_high,-0.35,-0.1298728489777866,-0.9148760501701377,0.4516480981353468,19
7,shell_middle_tangential,high_to_low,-0.3,0.8474948303450707,-0.29524579994384664,1.2808201861535613,14
7,shell_middle_tangential,low_to_high,-0.3,0.07380952004110714,-0.37209137189375185,0.6083165029429376,19
7,shell_middle_tangential,high_to_low,-0.25,-0.2999692568924155,-0.7429460810772427,0.27490174466490325,14
