ob,variable,family,k,lag_sec,n_events,real_low_to_high_delta_z,real_high_to_low_delta_z,real_direction_contrast_z,real_abs_direction_contrast_z,non_event_abs_direction_median_z,event_minus_non_event_abs_direction_z,p_non_event_abs_direction_ge_event,event_conditioned_gate
12,density_middle_tangential,density_level,8,0.1,91,0.2940536637006723,-0.1102502027903482,0.4043038664910205,0.4043038664910205,0.2881072649971058,0.1161966014939147,0.275,True
12,density_sparse_tangential,density_level,8,0.1,91,0.4298307495612563,0.15116729193159012,0.27866345762966616,0.27866345762966616,0.1955928835818227,0.08307057404784346,0.3,True
12,density_sparse_minus_dense,density_contrast,8,0.1,91,0.5192930972048564,0.14399602933789057,0.3752970678669658,0.3752970678669658,0.1671982712370966,0.20809879662986921,0.225,True
12,density_knn_distance_corr_tangential,density_gradient,8,0.1,91,0.2592975044985596,0.16877957202995517,0.09051793246860443,0.09051793246860443,0.16433533049031182,-0.07381739802170739,0.7,False
13,all_tangential,diffuse_baseline,8,0.1,102,0.32497238398556266,-0.29508184826197437,0.6200542322475371,0.6200542322475371,0.2674940080752465,0.3525602241722906,0.025,True
13,shell_core_tangential,radial_level,8,0.1,102,0.395462645991273,-0.1833676101445682,0.5788302561358412,0.5788302561358412,0.22847357862489004,0.3503566775109511,0.05,True
13,shell_middle_tangential,radial_level,8,0.1,102,0.20441063580565205,-0.4036977104063399,0.608108346211992,0.608108346211992,0.16695019092815971,0.44115815528383223,0.025,True
13,shell_edge_tangential,radial_level,8,0.1,102,0.2839778744270126,-0.21759778387064027,0.5015756582976529,0.5015756582976529,0.19644870276637416,0.3051269555312788,0.05,True
13,shell_edge_minus_core,radial_contrast,8,0.1,102,0.04537251947944465,-0.08222950171499821,0.12760202119444286,0.12760202119444286,0.09553212241910153,0.03206989877534133,0.45,False
13,shell_middle_minus_core,radial_contrast,8,0.1,102,0.13366836152409073,-0.10735339210781461,0.24102175363190534,0.24102175363190534,0.18416622017614848,0.05685553345575686,0.375,False
13,shell_radius_corr_tangential,radial_gradient,8,0.1,102,0.04195468949365344,-0.4972792923328643,0.5392339818265177,0.5392339818265177,0.16344596357479743,0.37578801825172026,0.0,True
