target,covariate,left_out_ob,spearman_rho_loo,theil_sen_slope_loo
t1_k8_event_abs_z,median_dt_sec,9,-0.36243317491698646,nan
t1_k8_event_abs_z,median_dt_sec,10,-0.2965362340229889,nan
t1_k8_event_abs_z,median_dt_sec,11,-0.193948702164277,nan
t1_k8_event_abs_z,median_dt_sec,12,-0.2801481253484001,nan
t1_k8_event_abs_z,median_dt_sec,13,-0.2154985579603078,nan
t1_k8_event_abs_z,median_dt_sec,14,-0.2154985579603078,nan
t1_k8_event_abs_z,median_dt_sec,15,-0.193948702164277,nan
t1_k8_event_abs_z,median_dt_sec,16,-0.2370484137563386,nan
t1_k8_event_abs_z,median_dt_sec,17,-0.3016979811444309,nan
t1_k8_event_abs_z,median_dt_sec,18,-0.2801481253484001,nan
t1_k8_event_abs_z,median_dt_sec,19,-0.2154985579603078,nan
t1_k8_event_abs_z,unique_ids,1,0.05675954592363261,1.6703892090333078e-05
t1_k8_event_abs_z,unique_ids,2,-0.048503611971104234,-1.8374056594455131e-06
t1_k8_event_abs_z,unique_ids,3,0.05675954592363261,2.2296913754368812e-05
t1_k8_event_abs_z,unique_ids,4,-0.06914344685242518,-6.4474548951235966e-06
t1_k8_event_abs_z,unique_ids,5,-0.06707946336429309,-6.4474548951235966e-06
t1_k8_event_abs_z,unique_ids,6,-0.14138286893704852,-2.0517920569519743e-05
t1_k8_event_abs_z,unique_ids,7,-0.034055727554179564,-1.8374056594455131e-06
t1_k8_event_abs_z,unique_ids,8,0.03199174406604747,1.4566541114963065e-05
t1_k8_event_abs_z,unique_ids,9,-0.015479876160990712,1.884002369035886e-06
t1_k8_event_abs_z,unique_ids,10,-0.03199174406604747,-5.023995149218467e-06
t1_k8_event_abs_z,unique_ids,11,0.12074303405572756,2.557303202178544e-05
t1_k8_event_abs_z,unique_ids,12,-0.04437564499484004,-5.023995149218467e-06
t1_k8_event_abs_z,unique_ids,13,0.013415892672858616,1.0609414531629659e-05
t1_k8_event_abs_z,unique_ids,14,-0.09184726522187822,-2.0488540649301032e-05
t1_k8_event_abs_z,unique_ids,15,0.0629514963880289,1.892062951149136e-05
t1_k8_event_abs_z,unique_ids,16,-0.021671826625386997,1.884002369035886e-06
t1_k8_event_abs_z,unique_ids,17,-0.08978328173374613,-1.3400827254750957e-05
t1_k8_event_abs_z,unique_ids,18,-0.05675954592363261,-6.4474548951235966e-06
t1_k8_event_abs_z,unique_ids,19,0.007223942208462332,1.0609414531629659e-05
t1_k8_event_abs_z,median_individuals_per_frame,1,0.15392570197014327,0.0018296616107616108
t1_k8_event_abs_z,median_individuals_per_frame,2,0.014462817634778562,0.00037373896995749386
t1_k8_event_abs_z,median_individuals_per_frame,3,0.05888432894159843,0.0012831206286580158
t1_k8_event_abs_z,median_individuals_per_frame,4,0.04028927769688314,0.0008733670042437536
t1_k8_event_abs_z,median_individuals_per_frame,5,0.01033058402484183,0.00037373896995749386
t1_k8_event_abs_z,median_individuals_per_frame,6,-0.09194219782109228,-0.0014296161422956838
t1_k8_event_abs_z,median_individuals_per_frame,7,0.014462817634778562,0.00037373896995749386
t1_k8_event_abs_z,median_individuals_per_frame,8,0.028910690481543478,0.0008155812366981525
t1_k8_event_abs_z,median_individuals_per_frame,9,-0.007231408817389281,-0.0001208929405476082
t1_k8_event_abs_z,median_individuals_per_frame,10,0.004132233609936732,-0.00039573048968953963
t1_k8_event_abs_z,median_individuals_per_frame,11,0.20557862209435243,0.0023923256068299472
t1_k8_event_abs_z,median_individuals_per_frame,12,-0.013422820580716616,-0.0002583117151185739
t1_k8_event_abs_z,median_individuals_per_frame,13,0.055756331642976706,0.0008155812366981525
t1_k8_event_abs_z,median_individuals_per_frame,14,0.001033058402484183,0.00037373896995749386
t1_k8_event_abs_z,median_individuals_per_frame,15,0.10640501545587085,0.0015491907587648211
t1_k8_event_abs_z,median_individuals_per_frame,16,0.01652893443974693,0.00037373896995749386
t1_k8_event_abs_z,median_individuals_per_frame,17,-0.01033058402484183,-0.00039573048968953963
t1_k8_event_abs_z,median_individuals_per_frame,18,-0.013422820580716616,-0.0002583117151185739
t1_k8_event_abs_z,median_individuals_per_frame,19,0.05681821213663007,0.0008733670042437536
t1_k8_event_abs_z,q10_individuals_per_frame,1,0.13967972232741743,0.0018500041321248754
t1_k8_event_abs_z,q10_individuals_per_frame,2,-0.005173323049163609,-0.00027395561813235004
t1_k8_event_abs_z,q10_individuals_per_frame,3,0.05791118901249174,0.0009493119611345147
t1_k8_event_abs_z,q10_individuals_per_frame,4,0.011375412127453735,-0.00012664974724035144
t1_k8_event_abs_z,q10_individuals_per_frame,5,-0.005173323049163609,-0.00027395561813235004
t1_k8_event_abs_z,q10_individuals_per_frame,6,-0.07966917495711957,-0.0013622675022376563
t1_k8_event_abs_z,q10_individuals_per_frame,7,-0.005173323049163609,-0.00027395561813235004
t1_k8_event_abs_z,q10_individuals_per_frame,8,0.014477797253122935,0.00037373896995749386
t1_k8_event_abs_z,q10_individuals_per_frame,9,-0.012409540502676801,-0.0004212614890243486
t1_k8_event_abs_z,q10_individuals_per_frame,10,-0.015519969147490825,-0.0009016009506985767
t1_k8_event_abs_z,q10_individuals_per_frame,11,0.17476769541269827,0.002016332416462596
t1_k8_event_abs_z,q10_individuals_per_frame,12,-0.016546054003569066,-0.0004212614890243486
t1_k8_event_abs_z,q10_individuals_per_frame,13,0.036194493132807336,0.00037373896995749386
t1_k8_event_abs_z,q10_individuals_per_frame,14,-0.01862396297698899,-0.00027395561813235004
t1_k8_event_abs_z,q10_individuals_per_frame,15,0.08794649183578133,0.0015847341457635648
t1_k8_event_abs_z,q10_individuals_per_frame,16,-0.003103993829498165,-0.00027395561813235004
t1_k8_event_abs_z,q10_individuals_per_frame,17,-0.037228621508030406,-0.001129986551401879
t1_k8_event_abs_z,q10_individuals_per_frame,18,-0.016546054003569066,-0.0004212614890243486
t1_k8_event_abs_z,q10_individuals_per_frame,19,0.023784952630130536,0.00037373896995749386
t1_k8_event_abs_z,q90_individuals_per_frame,1,0.1810663067207263,0.002307579015525005
t1_k8_event_abs_z,q90_individuals_per_frame,2,0.04138658439330887,0.0007388505824237376
t1_k8_event_abs_z,q90_individuals_per_frame,3,0.0858771626161159,0.0014333224328281961
t1_k8_event_abs_z,q90_individuals_per_frame,4,0.040351919783476145,0.0008397759656189938
t1_k8_event_abs_z,q90_individuals_per_frame,5,0.035178596734312534,0.0007388505824237376
t1_k8_event_abs_z,q90_individuals_per_frame,6,-0.06311454119979602,-0.0010464139490455068
t1_k8_event_abs_z,q90_individuals_per_frame,7,0.04138658439330887,0.0008397759656189938
t1_k8_event_abs_z,q90_individuals_per_frame,8,0.04655990744247247,0.0008397759656189938
t1_k8_event_abs_z,q90_individuals_per_frame,9,0.022762621416319875,0.00033221241773999453
t1_k8_event_abs_z,q90_individuals_per_frame,10,0.03103993829498165,0.00033221241773999453
t1_k8_event_abs_z,q90_individuals_per_frame,11,0.2244058574234055,0.0023273832016790803
t1_k8_event_abs_z,q90_individuals_per_frame,12,0.022727284854652027,0.00033221241773999453
t1_k8_event_abs_z,q90_individuals_per_frame,13,0.07449585190795596,0.0008397759656189938
t1_k8_event_abs_z,q90_individuals_per_frame,14,0.028970609075316206,0.0007388505824237376
t1_k8_event_abs_z,q90_individuals_per_frame,15,0.1570248771775958,0.00170768417004417
t1_k8_event_abs_z,q90_individuals_per_frame,16,0.04345591361297431,0.0007388505824237376
t1_k8_event_abs_z,q90_individuals_per_frame,17,0.0031023851256692003,-0.00024047968981986967
t1_k8_event_abs_z,q90_individuals_per_frame,18,0.022727284854652027,0.00033221241773999453
t1_k8_event_abs_z,q90_individuals_per_frame,19,0.05794121815063241,0.0008397759656189938
t1_k8_event_abs_z,median_track_length_frames,1,0.17440660474716202,0.0010140626437651745
t1_k8_event_abs_z,median_track_length_frames,2,0.16202270381836945,0.0010140626437651745
t1_k8_event_abs_z,median_track_length_frames,3,0.054695562435500514,0.0002712245745155158
t1_k8_event_abs_z,median_track_length_frames,4,0.05056759545923633,0.00017952409333207321
t1_k8_event_abs_z,median_track_length_frames,5,0.15376676986584106,0.0009891019623800498
t1_k8_event_abs_z,median_track_length_frames,6,0.35810113519091846,0.0018948944487528704
t1_k8_event_abs_z,median_track_length_frames,7,0.16202270381836945,0.0009972110521583961
t1_k8_event_abs_z,median_track_length_frames,8,0.07120743034055728,0.00029451319669610655
t1_k8_event_abs_z,median_track_length_frames,9,0.17647058823529413,0.0009972110521583961
t1_k8_event_abs_z,median_track_length_frames,10,0.15376676986584106,0.0009891019623800498
t1_k8_event_abs_z,median_track_length_frames,11,0.24664602683178535,0.0015389111014950823
t1_k8_event_abs_z,median_track_length_frames,12,0.16821465428276575,0.0009972110521583961
t1_k8_event_abs_z,median_track_length_frames,13,0.14963880288957687,0.0009972110521583961
t1_k8_event_abs_z,median_track_length_frames,14,0.21775025799793601,0.0014491554551744293
t1_k8_event_abs_z,median_track_length_frames,15,0.09391124871001032,0.0002856009965081672
t1_k8_event_abs_z,median_track_length_frames,16,0.16821465428276575,0.001380176578835409
t1_k8_event_abs_z,median_track_length_frames,17,0.24458204334365324,0.0018948944487528704
t1_k8_event_abs_z,median_track_length_frames,18,0.15376676986584106,0.0010140626437651745
t1_k8_event_abs_z,median_track_length_frames,19,0.13106295149638802,0.0009332928769155116
t1_k8_event_abs_z,median_track_span_sec,1,0.17440660474716202,0.10140626437651766
t1_k8_event_abs_z,median_track_span_sec,2,0.16202270381836945,0.10140626437651766
t1_k8_event_abs_z,median_track_span_sec,3,0.054695562435500514,0.027122457451551698
t1_k8_event_abs_z,median_track_span_sec,4,0.05056759545923633,0.01795240933320732
t1_k8_event_abs_z,median_track_span_sec,5,0.15376676986584106,0.09891019623800446
t1_k8_event_abs_z,median_track_span_sec,6,0.35810113519091846,0.18948944487528702
t1_k8_event_abs_z,median_track_span_sec,7,0.16202270381836945,0.09972110521584025
t1_k8_event_abs_z,median_track_span_sec,8,0.07120743034055728,0.02945131966961085
t1_k8_event_abs_z,median_track_span_sec,9,0.17647058823529413,0.09972110521584025
t1_k8_event_abs_z,median_track_span_sec,10,0.15376676986584106,0.09891019623800446
t1_k8_event_abs_z,median_track_span_sec,11,0.24664602683178535,0.15389111014950987
t1_k8_event_abs_z,median_track_span_sec,12,0.16821465428276575,0.09972110521584025
t1_k8_event_abs_z,median_track_span_sec,13,0.14963880288957687,0.09972110521584025
t1_k8_event_abs_z,median_track_span_sec,14,0.21775025799793601,0.14491554551744315
t1_k8_event_abs_z,median_track_span_sec,15,0.09391124871001032,0.028560099650816673
t1_k8_event_abs_z,median_track_span_sec,16,0.16821465428276575,0.13801765788354015
t1_k8_event_abs_z,median_track_span_sec,17,0.24458204334365324,0.18948944487528702
t1_k8_event_abs_z,median_track_span_sec,18,0.15376676986584106,0.10140626437651766
t1_k8_event_abs_z,median_track_span_sec,19,0.13106295149638802,0.0933292876915524
t1_k8_event_abs_z,track_continuity_fraction,1,nan,nan
t1_k8_event_abs_z,track_continuity_fraction,2,nan,nan
t1_k8_event_abs_z,track_continuity_fraction,3,nan,nan
t1_k8_event_abs_z,track_continuity_fraction,4,nan,nan
t1_k8_event_abs_z,track_continuity_fraction,5,nan,nan
t1_k8_event_abs_z,track_continuity_fraction,6,nan,nan
t1_k8_event_abs_z,track_continuity_fraction,7,nan,nan
t1_k8_event_abs_z,track_continuity_fraction,8,nan,nan
t1_k8_event_abs_z,track_continuity_fraction,9,nan,nan
t1_k8_event_abs_z,track_continuity_fraction,10,nan,nan
t1_k8_event_abs_z,track_continuity_fraction,11,nan,nan
t1_k8_event_abs_z,track_continuity_fraction,12,nan,nan
t1_k8_event_abs_z,track_continuity_fraction,13,nan,nan
t1_k8_event_abs_z,track_continuity_fraction,14,nan,nan
t1_k8_event_abs_z,track_continuity_fraction,15,nan,nan
t1_k8_event_abs_z,track_continuity_fraction,16,nan,nan
t1_k8_event_abs_z,track_continuity_fraction,17,nan,nan
t1_k8_event_abs_z,track_continuity_fraction,18,nan,nan
t1_k8_event_abs_z,track_continuity_fraction,19,nan,nan
t1_k8_event_abs_z,median_raw_speed,1,0.40144478844169246,0.0048089162772123085
t1_k8_event_abs_z,median_raw_speed,2,0.31475748194014447,0.004546127669920601
t1_k8_event_abs_z,median_raw_speed,3,0.2301341589267286,0.0035383322845816564
t1_k8_event_abs_z,median_raw_speed,4,0.1867905056759546,0.002987230730811688
t1_k8_event_abs_z,median_raw_speed,5,0.25077399380804954,0.0046307854222597
t1_k8_event_abs_z,median_raw_speed,6,0.1867905056759546,0.0028612627669219494
t1_k8_event_abs_z,median_raw_speed,7,0.3333333333333333,0.004605681224004185
t1_k8_event_abs_z,median_raw_speed,8,0.22394220846233232,0.004234228619393768
t1_k8_event_abs_z,median_raw_speed,9,0.32301341589267285,0.004336408487432813
t1_k8_event_abs_z,median_raw_speed,10,0.32507739938080493,0.004551306462429931
t1_k8_event_abs_z,median_raw_speed,11,0.4055727554179567,0.004714982634933811
t1_k8_event_abs_z,median_raw_speed,12,0.34365325077399383,0.004714982634933811
t1_k8_event_abs_z,median_raw_speed,13,0.32507739938080493,0.004546127669920601
t1_k8_event_abs_z,median_raw_speed,14,0.33746130030959753,0.0046307854222597
t1_k8_event_abs_z,median_raw_speed,15,0.3539731682146543,0.004605681224004185
t1_k8_event_abs_z,median_raw_speed,16,0.32920536635706915,0.004551306462429931
t1_k8_event_abs_z,median_raw_speed,17,0.3766769865841073,0.004750130435141762
t1_k8_event_abs_z,median_raw_speed,18,0.3560371517027864,0.004750130435141762
t1_k8_event_abs_z,median_raw_speed,19,0.24664602683178535,0.0032473865988894408
t1_k8_event_abs_z,q95_raw_speed,1,0.3539731682146543,0.0028861711679659154
t1_k8_event_abs_z,q95_raw_speed,2,0.26109391124871,0.002086758377020153
t1_k8_event_abs_z,q95_raw_speed,3,0.18059855521155832,0.0019494042585030602
t1_k8_event_abs_z,q95_raw_speed,4,0.17647058823529413,0.0017893795311303311
t1_k8_event_abs_z,q95_raw_speed,5,0.23426212590299278,0.0025275279714917945
t1_k8_event_abs_z,q95_raw_speed,6,0.13312693498452013,0.0016016773334353003
t1_k8_event_abs_z,q95_raw_speed,7,0.26109391124871,0.002086758377020153
t1_k8_event_abs_z,q95_raw_speed,8,0.20123839009287925,0.0020863930681790264
t1_k8_event_abs_z,q95_raw_speed,9,0.2693498452012384,0.002086758377020153
t1_k8_event_abs_z,q95_raw_speed,10,0.2631578947368421,0.002086827318397044
t1_k8_event_abs_z,q95_raw_speed,11,0.4282765737874097,0.00291500091940404
t1_k8_event_abs_z,q95_raw_speed,12,0.31682146542827655,0.002587411516067375
t1_k8_event_abs_z,q95_raw_speed,13,0.27347781217750256,0.002216848625989827
t1_k8_event_abs_z,q95_raw_speed,14,0.26109391124871,0.002086758377020153
t1_k8_event_abs_z,q95_raw_speed,15,0.2528379772961816,0.002086758377020153
t1_k8_event_abs_z,q95_raw_speed,16,0.2631578947368421,0.002086827318397044
t1_k8_event_abs_z,q95_raw_speed,17,0.33126934984520123,0.0026800737653958338
t1_k8_event_abs_z,q95_raw_speed,18,0.3188854489164087,0.00291500091940404
t1_k8_event_abs_z,q95_raw_speed,19,0.20949432404540763,0.002086758377020153
t1_k8_event_abs_z,median_swarm_radius,1,0.44891640866873067,0.0044333620008840105
