question,association,x,y,left_out_ob,rho_without_ob,rho_full,abs_change
HET1,T1 effect vs mean track length,mean_track_length_frames,408x_T1_effect,6,0.5624355005159958,0.5105263157894736,0.05190918472652217
HET1,T1 effect vs mean track length,mean_track_length_frames,408x_T1_effect,7,0.4943240454076367,0.5105263157894736,0.016202270381836914
HET1,T1 effect vs mean track length,mean_track_length_frames,408x_T1_effect,8,0.4613003095975232,0.5105263157894736,0.04922600619195039
HET1,T1 effect vs mean track length,mean_track_length_frames,408x_T1_effect,9,0.5479876160990712,0.5105263157894736,0.0374613003095976
HET1,T1 effect vs mean track length,mean_track_length_frames,408x_T1_effect,10,0.5356037151702786,0.5105263157894736,0.025077399380805
HET1,T1 effect vs mean track length,mean_track_length_frames,408x_T1_effect,11,0.45510835913312697,0.5105263157894736,0.055417956656346634
HET1,T1 effect vs mean track length,mean_track_length_frames,408x_T1_effect,12,0.5479876160990712,0.5105263157894736,0.0374613003095976
HET1,T1 effect vs mean track length,mean_track_length_frames,408x_T1_effect,13,0.44685242518059853,0.5105263157894736,0.06367389060887507
HET1,T1 effect vs mean track length,mean_track_length_frames,408x_T1_effect,14,0.5624355005159958,0.5105263157894736,0.05190918472652217
HET1,T1 effect vs mean track length,mean_track_length_frames,408x_T1_effect,15,0.4592363261093911,0.5105263157894736,0.051289989680082526
HET1,T1 effect vs mean track length,mean_track_length_frames,408x_T1_effect,16,0.45304437564499483,0.5105263157894736,0.05748194014447877
HET1,T1 effect vs mean track length,mean_track_length_frames,408x_T1_effect,17,0.6078431372549019,0.5105263157894736,0.0973168214654283
HET1,T1 effect vs mean track length,mean_track_length_frames,408x_T1_effect,18,0.5397316821465429,0.5105263157894736,0.029205366357069273
HET1,T1 effect vs mean track length,mean_track_length_frames,408x_T1_effect,19,0.45510835913312697,0.5105263157894736,0.055417956656346634
HET1,T1 effect vs dataset length,dataset_length_sec,408x_T1_effect,1,0.3376924251836237,0.36445338148231515,0.026760956298691463
HET1,T1 effect vs dataset length,dataset_length_sec,408x_T1_effect,2,0.40856614404932245,0.36445338148231515,0.0441127625670073
HET1,T1 effect vs dataset length,dataset_length_sec,408x_T1_effect,3,0.32571367951386737,0.36445338148231515,0.03873970196844778
HET1,T1 effect vs dataset length,dataset_length_sec,408x_T1_effect,4,0.3486072927704332,0.36445338148231515,0.015846088711881978
HET1,T1 effect vs dataset length,dataset_length_sec,408x_T1_effect,5,0.34132296127970774,0.36445338148231515,0.023130420202607416
HET1,T1 effect vs dataset length,dataset_length_sec,408x_T1_effect,6,0.5406487595007599,0.36445338148231515,0.1761953780184447
HET1,T1 effect vs dataset length,dataset_length_sec,408x_T1_effect,7,0.34394598861295,0.36445338148231515,0.02050739286936515
HET1,T1 effect vs dataset length,dataset_length_sec,408x_T1_effect,8,0.37312928461647304,0.36445338148231515,0.008675903134157892
HET1,T1 effect vs dataset length,dataset_length_sec,408x_T1_effect,9,0.46484821491325967,0.36445338148231515,0.10039483343094452
HET1,T1 effect vs dataset length,dataset_length_sec,408x_T1_effect,10,0.36687572118714673,0.36445338148231515,0.0024223397048315776
HET1,T1 effect vs dataset length,dataset_length_sec,408x_T1_effect,11,0.3168903430701432,0.36445338148231515,0.047563038412171965
HET1,T1 effect vs dataset length,dataset_length_sec,408x_T1_effect,12,0.3896192742665695,0.36445338148231515,0.02516589278425435
HET1,T1 effect vs dataset length,dataset_length_sec,408x_T1_effect,13,0.32675429829825675,0.36445338148231515,0.0376990831840584
HET1,T1 effect vs dataset length,dataset_length_sec,408x_T1_effect,14,0.34652605520165447,0.36445338148231515,0.017927326280660683
HET1,T1 effect vs dataset length,dataset_length_sec,408x_T1_effect,15,0.32520222092116335,0.36445338148231515,0.0392511605611518
HET1,T1 effect vs dataset length,dataset_length_sec,408x_T1_effect,16,0.3168903430701432,0.36445338148231515,0.047563038412171965
HET1,T1 effect vs dataset length,dataset_length_sec,408x_T1_effect,17,0.4177266908666757,0.36445338148231515,0.053273309384360534
