ob,variable,relative_time_sec,real_median_aligned_z,real_q25_aligned_z,real_q75_aligned_z,null_median_aligned_z,null_q25_aligned_z,null_q75_aligned_z,real_minus_null_aligned_z,n_events
2,shell_core_tangential,-0.25,0.22426896895756754,-0.18229046478687083,0.7817700258915955,-0.0008858466856585812,-0.09269575604446934,0.0756181306218813,0.22515481564322612,43
2,shell_core_tangential,-0.2,-0.1188664858317966,-0.5858551727626229,0.346182607791365,0.01456773756215457,-0.08493776527933754,0.1603115312380466,-0.13343422339395117,43
2,shell_core_tangential,-0.15,-0.23433408407836787,-0.7983476079157599,0.5246152063802556,0.019732542645139295,-0.11516719496187539,0.12319669668915217,-0.25406662672350716,43
2,shell_core_tangential,-0.1,-0.21729453860942524,-0.9543415123132707,0.24606381854551207,-0.029610385862381475,-0.1655594738863621,0.048260806881782144,-0.18768415274704375,43
2,shell_core_tangential,-0.05,-0.05589394350059429,-0.544544828492916,0.7712270948142316,0.010662340116213259,-0.062136158070500866,0.05442794462723634,-0.06655628361680754,43
2,shell_core_tangential,-0.0,0.1995334080156593,-0.7283604281157887,0.8419951164652577,0.005492114952530953,-0.05650823401319367,0.1401001592195703,0.19404129306312834,43
2,shell_core_tangential,0.05,-0.13674359538081515,-0.9081516866006396,0.43253923917396586,-0.004951364680729382,-0.0868568655800238,0.1107649626095597,-0.13179223070008578,43
2,shell_core_tangential,0.1,-0.19404357380691764,-0.9451067658154728,0.3635040259560799,-0.04759931495555096,-0.1664426494216409,0.09805008918552076,-0.1464442588513667,43
2,shell_core_tangential,0.15,-0.20318254865040267,-0.8100230486442743,0.31537437033848836,0.017883777813181644,-0.07300372402359283,0.0715748261943267,-0.22106632646358432,43
2,shell_core_tangential,0.2,-0.3173917274977544,-0.927000745833986,0.3046899834209382,0.05634526601321603,-0.09482405622774015,0.12612585246723512,-0.37373699351097045,43
2,shell_core_tangential,0.25,-0.0213626804486334,-0.5921479704157682,0.6300066428581772,0.01582592392658899,-0.1147988539768256,0.13102421468511155,-0.037188604375222395,43
2,shell_core_tangential,0.3,0.03300435775271299,-0.6784500060561415,0.6797021626806531,0.03572209965042855,-0.07812526372741375,0.14549460827479505,-0.0027177418977155643,43
2,shell_core_tangential,0.35,0.12865457986704482,-0.32811710399604144,1.1068447315397445,0.02459105152273939,-0.055512429559388024,0.10721917340625957,0.10406352834430543,43
2,shell_core_tangential,0.4,0.0558030385639384,-0.36489238048383266,0.7080820913247012,-0.015729162853601597,-0.10097080021390498,0.046070517796617444,0.07153220141753999,43
