variable,relative_time_sec,median_real_aligned_z_across_ob,q25_real_aligned_z_across_ob,q75_real_aligned_z_across_ob,median_null_aligned_z_across_ob,median_real_minus_null_aligned_z_across_ob,n_ob
shell_core_tangential,0.25,0.0688371585663506,-0.023336825945674124,0.11705877480034566,-0.0020980093172662,0.0640639320842257,14
shell_core_tangential,0.3,0.011284208903212647,-0.03539303953468077,0.09342219912002223,-0.02329774187935565,0.0116653356868048,14
shell_core_tangential,0.35,0.12688969063211303,0.007953582480053449,0.17442188673244044,-0.006999400381385849,0.117723229937686,14
shell_core_tangential,0.4,0.025156575966416253,-0.11212625502874585,0.05460793318009015,-0.0048722463537617,0.019173602735677052,14
shell_core_tangential,0.45,-0.0292198251970835,-0.1340244240006127,0.044238087168474625,-0.009311589880101601,-0.006743802215905301,14
shell_core_tangential,0.5,-0.01008326101950855,-0.09135801598703525,0.021501154656494176,-0.0179071783914556,-0.00384691126068925,14
shell_edge_minus_core,-0.5,0.07475270573990145,-0.023481490703505623,0.1281470762123237,0.003344924595553,0.06308306061108296,14
shell_edge_minus_core,-0.45,0.0389895929614402,-0.08802081095883947,0.11627430506457247,0.00447154533505565,0.02829382037603095,14
shell_edge_minus_core,-0.4,0.0792720590685279,-0.09593463841921987,0.12889850157073304,0.0188890314216794,0.053965872500016,14
shell_edge_minus_core,-0.35,-0.025027175619763198,-0.09465109976679412,0.10898077667688137,0.010249973269521099,-0.0200366285763445,14
shell_edge_minus_core,-0.3,0.044984882966199,-0.03525638446456285,0.10993546251661082,0.02381999611553145,0.0361892696870498,14
shell_edge_minus_core,-0.25,-0.0558849719573513,-0.13767145459126404,0.07839256491464347,0.01334393516143655,-0.0473456568983923,14
shell_edge_minus_core,-0.2,0.07805722063681389,-0.027135553915916225,0.11215890198017325,-0.00191286317783535,0.07697419731320886,14
shell_edge_minus_core,-0.15,0.0668514539740694,-0.02505656860597565,0.19812411037786046,0.0011265772159115,0.0794194231622081,14
shell_edge_minus_core,-0.1,0.0137495659840842,-0.04035834081948668,0.13292751834854363,-0.00186547453002425,0.0243599721154813,14
shell_edge_minus_core,-0.05,0.08360792992692495,-0.02303175622174345,0.14736638942244643,-0.0143570192805601,0.09409759132147225,14
shell_edge_minus_core,-0.0,0.042145006274144,-0.13497624672616002,0.14121491296600908,-0.0139199883524606,0.033374896626498105,14
shell_edge_minus_core,0.05,-0.0270036548564611,-0.13801395177849332,0.04506764610543375,-0.00529710440058415,-0.01917427848041325,14
shell_edge_minus_core,0.1,-0.0763103596513076,-0.15598082804528637,0.05309117498803076,0.0012685101344400002,-0.06424561223800809,14
shell_edge_minus_core,0.15,-0.02725779271993,-0.11198668138910897,0.12990143188820363,-0.0041610187522478,-0.0316388133538118,14
shell_edge_minus_core,0.2,-0.031024739910019902,-0.15517689328721684,0.1244268286484336,-0.0068745258417548995,-0.02937189371588295,14
shell_edge_minus_core,0.25,-0.004468055299111148,-0.14404591015530954,0.12595416012766228,-0.0073706709485527495,0.016400808370281447,14
shell_edge_minus_core,0.3,-0.04078940068185895,-0.08009361645010557,0.06464796365309095,-0.0025123418047042004,-0.027460786437075148,14
shell_edge_minus_core,0.35,-0.07489010175529659,-0.15700755205915762,0.0431097403832737,0.008790347394394951,-0.0967874019959339,14
shell_edge_minus_core,0.4,-0.04504028660089305,-0.08853671431315357,0.024786478193736826,-0.006622041402522049,-0.02085890297706655,14
shell_edge_minus_core,0.45,-0.0032999601484892003,-0.08659566145496977,0.07058192436433142,0.0062458815250294505,-0.008331503109543349,14
shell_edge_minus_core,0.5,-0.038019186268820795,-0.10556753845702217,0.10612732999776359,-0.00476621790656415,-0.023997595983857097,14
shell_edge_tangential,-0.5,-0.02159799806732035,-0.10697835560385377,0.12408418746326688,0.0027982626249852,-0.0295775350914824,14
shell_edge_tangential,-0.45,-0.02408842393515915,-0.09614906020077213,0.0932709354052848,-0.0081786177779757,-0.01021781649427505,14
shell_edge_tangential,-0.4,-0.1376507390885223,-0.26816772058480093,0.01172935841917835,-0.0073778426455491,-0.13773192281848695,14
shell_edge_tangential,-0.35,-0.10406851907058201,-0.17060491639080608,-0.025091506298077725,-0.00377005617142465,-0.09972583251520206,14
shell_edge_tangential,-0.3,-0.160935592339586,-0.21045133492177812,-0.02089585811182025,0.0186769516521168,-0.1853284354862752,14
shell_edge_tangential,-0.25,-0.12065269952125694,-0.23716026017271613,0.015622080794128752,0.0194002298438112,-0.11721859194642364,14
shell_edge_tangential,-0.2,-0.20579203707476257,-0.2753541711882693,-0.159738957292568,0.00666816131124215,-0.1959028794013286,14
shell_edge_tangential,-0.15,-0.21711663441099355,-0.26683164061752407,-0.11309611728958954,-0.005267067585619,-0.20518182133655888,14
shell_edge_tangential,-0.1,-0.1283235983595851,-0.18233964010191764,-0.10082948899373513,0.0098678351091919,-0.13631000701614499,14
shell_edge_tangential,-0.05,-0.0287658091492642,-0.18532940089788644,0.042633711190395523,0.0060077857797263,-0.0465812263124189,14
shell_edge_tangential,-0.0,0.06933629940680014,-0.021189255345914874,0.18647096567123495,0.0017096960053525501,0.06839756099664145,14
shell_edge_tangential,0.05,0.0549977825140451,-0.05399893087845935,0.2175898266858795,-0.0048969881924795,0.07141925571862964,14
shell_edge_tangential,0.1,0.12294462495536496,0.07789917688819537,0.19178195593864267,-0.0162891424738619,0.12839481781280776,14
shell_edge_tangential,0.15,0.19696449287192336,0.12723274282965047,0.2288815412800847,-0.00025209864432459983,0.1746564505708042,14
shell_edge_tangential,0.2,0.14494100787975475,0.1172323278025725,0.19866359448364376,-0.00350700665256475,0.142264486699334,14
shell_edge_tangential,0.25,0.16797736934679736,0.07710483191743935,0.22679582220498512,-0.00437496706674785,0.18297896652670748,14
shell_edge_tangential,0.3,0.05596908252943765,0.010344149374206725,0.1154310239389521,-0.007272280723938851,0.0618960336020263,14
shell_edge_tangential,0.35,0.0422062378521288,-0.07282004188005944,0.10604674959833015,-0.0029725421648358003,0.023106997783930452,14
shell_edge_tangential,0.4,-0.02283407229552995,-0.10248862765981179,0.053719135018759176,0.009602989404260801,-0.0305463693898598,14
shell_edge_tangential,0.45,-0.0607073978931743,-0.14485967988437834,0.05936486285359267,0.0010675218132509502,-0.05209084002873555,14
shell_edge_tangential,0.5,-0.058594034761928745,-0.13093644323901,0.04350811868860707,-0.00384892420112445,-0.050237661438067197,14
shell_middle_tangential,-0.5,-0.03163797150283955,-0.0816231541822322,0.01414417081220305,0.0038910084070536,-0.038297547561877754,14
shell_middle_tangential,-0.45,-0.0537553810483436,-0.15286639748915123,0.03191831171616252,5.65017480539e-05,-0.048320341577050396,14
shell_middle_tangential,-0.4,-0.0754967283126281,-0.11102345339536646,-0.0037774181582637,-0.0152044084229918,-0.0826307339708756,14
shell_middle_tangential,-0.35,-0.10446124625612305,-0.22021068484661846,-0.019254043016428503,0.00474196720554195,-0.1198939288788549,14
shell_middle_tangential,-0.3,-0.15324841902077635,-0.2260033803427467,-0.07004483487750195,-0.00449324158283495,-0.164933803872687,14
shell_middle_tangential,-0.25,-0.1638086676565649,-0.256735023863299,-0.049161484195949075,0.00031440254353324996,-0.18984355723089952,14
shell_middle_tangential,-0.2,-0.13348214037954415,-0.2362601902420531,-0.031186219470546575,0.010615336753413751,-0.1191462572750906,14
shell_middle_tangential,-0.15,-0.1568495398138201,-0.20977729279603424,-0.12135504467011128,-0.00261284754686755,-0.17849191897470873,14
shell_middle_tangential,-0.1,-0.11957926191548915,-0.22609617164961962,-0.029080146132300425,0.006844161249459101,-0.12001335757602015,14
shell_middle_tangential,-0.05,-0.0796720884210736,-0.15861690501184444,0.06944006931179703,-0.0032911314562494,-0.087625561830509,14
shell_middle_tangential,-0.0,0.06684094681540009,-0.06915407629688233,0.1503650549406749,0.00456080487893455,0.06608499753372629,14
shell_middle_tangential,0.05,0.12809745804677136,0.08010823172182324,0.18764251387826159,0.00431933771997515,0.14093243587111226,14
shell_middle_tangential,0.1,0.16485166045638674,0.015694990523290722,0.256947710870439,0.01815011949636045,0.15555255419764208,14
shell_middle_tangential,0.15,0.1435957617432695,0.0652455927202596,0.21340392817931544,-0.00502147129189065,0.1441562686819492,14
shell_middle_tangential,0.2,0.14031459764272586,0.09554186454839497,0.23444504264993704,-0.0064940839119247504,0.194530523011044,14
shell_middle_tangential,0.25,0.1299653166880406,0.07749102925143987,0.2214563935533484,-0.01578962701729555,0.1404658513632721,14
shell_middle_tangential,0.3,0.10286457987030395,-0.014655267602020298,0.19533331712105365,-0.00039929439844629995,0.11492320572524559,14
shell_middle_tangential,0.35,0.0497102594159593,-0.10474389491101674,0.2446158619939558,0.0020367802732863,0.07510320370089375,14
shell_middle_tangential,0.4,0.04334656231892985,-0.15657272651194182,0.13144924236435188,-0.00426910181004485,0.06660811041959006,14
shell_middle_tangential,0.45,-0.01592336934224495,-0.1122768278744429,0.05701415583698247,-0.01062467796855255,-0.022429073471830104,14
shell_middle_tangential,0.5,-0.0362775568686865,-0.07596624946155607,0.05948862710188798,0.01075640713588605,-0.0317312997831878,14
shell_radius_corr_tangential,-0.5,0.10916506680662384,-0.029026787295200675,0.18992901473453552,0.02141137246380545,0.09560989919537295,14
shell_radius_corr_tangential,-0.45,0.0009575433662510499,-0.09718294085761127,0.0923003349482477,-0.00063622927474725,0.017753125011153302,14
shell_radius_corr_tangential,-0.4,-0.05867793914499655,-0.10011626019477846,0.09644734074146293,0.0024124915443577,-0.052593945881480156,14
shell_radius_corr_tangential,-0.35,-0.0714353140646803,-0.11696160222167226,0.01798389683862265,0.0054036695662509505,-0.0562258229993465,14
shell_radius_corr_tangential,-0.3,0.0628299765878115,-0.05599578684479105,0.19271555336432805,0.0226546532290523,0.04521715545239485,14
shell_radius_corr_tangential,-0.25,-0.00821658218809975,-0.1686653136385134,0.0422556201796474,0.0162869778992226,-0.05008142400946735,14
shell_radius_corr_tangential,-0.2,-0.0361884660855961,-0.13795182511786463,0.09366231590209698,0.0092399974349791,-0.00346521225062695,14
shell_radius_corr_tangential,-0.15,-0.0096956801280726,-0.04649914902043897,0.07238546775753252,-0.0113135154981748,-0.00086699667274945,14
shell_radius_corr_tangential,-0.1,0.05813178498582565,-0.0642483869345556,0.107133614681274,0.0010916606132021502,0.0701814044771247,14
shell_radius_corr_tangential,-0.05,0.0910118766472238,-0.03352503463038967,0.1800129512577353,0.0025032673042431498,0.0862214538176428,14
shell_radius_corr_tangential,-0.0,-0.023134484148781803,-0.14358869689458684,0.1407138512089889,-0.0025662702276887496,-0.0329072921424256,14
shell_radius_corr_tangential,0.05,0.0054218215849151504,-0.0572733000725465,0.04923844882166532,-0.0171630217638679,0.0028044749454228498,14
shell_radius_corr_tangential,0.1,0.01141795511627175,-0.13281065781575904,0.08071879421647397,-0.00573136810188525,0.01077383108690585,14
shell_radius_corr_tangential,0.15,-0.0015848238287173994,-0.09392948186473175,0.10514962790754742,0.0030138838790246,-0.004892679370429949,14
shell_radius_corr_tangential,0.2,0.02429635312648995,-0.07550878798958693,0.1260094616243753,0.004400526558258551,0.0318652089727584,14
shell_radius_corr_tangential,0.25,-0.050766746925541395,-0.14709097726079423,0.12036648908631392,0.00526251443889755,-0.050376030435328054,14
shell_radius_corr_tangential,0.3,-0.0518059824647162,-0.13615462950569857,0.11243315004856864,0.00207105992891845,-0.02318330048282525,14
shell_radius_corr_tangential,0.35,0.0010042125649816001,-0.08370422342007502,0.04229246160374825,-0.00010151982542134998,0.00784355517311305,14
shell_radius_corr_tangential,0.4,0.0250236779399853,-0.19496935118534126,0.07760277588823211,-0.001773216735288745,0.015940372068116552,14
shell_radius_corr_tangential,0.45,0.02453540708940895,-0.09021934308406146,0.21320749189064117,0.01868805834644245,0.009957671332931451,14
shell_radius_corr_tangential,0.5,-0.0227845749100174,-0.11069954852783855,0.024383224570019898,0.0048952949800965505,-0.049089212336509855,14
