ob,dataset,history_window_sec,n_frames,finite_current_state_fraction,finite_activity_fraction,finite_dRdt_fraction,path_feature_coverage,theta_valid_fraction,turning_valid_fraction,median_path_length,q05_path_length,q95_path_length,theta_resultant_length,median_abs_turning_proxy_rad,q95_abs_turning_proxy_rad,median_path_velocity_norm,q99_abs_dRdt
13,Ob13.txt,0.75,1998,1.0,1.0,1.0,0.995995995995996,0.987987987987988,0.9804804804804805,0.7304037316700782,0.12363487019608549,2.260527544983867,0.01674914768834238,0.41391526924713423,2.968784164754226,1.1662729983079945,3.5970162971654633
14,Ob14.txt,0.25,1998,1.0,1.0,1.0,0.9984984984984985,0.9584584584584585,0.8953953953953954,0.2623764498607073,0.05610067480639947,0.769283597936278,0.019822486124544167,0.1478746736147519,2.0772046388471455,1.1026034206557958,3.3918661333335
14,Ob14.txt,0.5,1998,1.0,1.0,1.0,0.996996996996997,0.984984984984985,0.9674674674674675,0.4756168556741953,0.09881503191387714,1.4243626888878462,0.020272415074050372,0.2708835641221551,2.7582500130266343,1.1026034206557958,3.3918661333335
14,Ob14.txt,0.75,1998,1.0,1.0,1.0,0.995995995995996,0.9884884884884885,0.9754754754754755,0.6616244577439571,0.1386207454129525,1.9825973051428407,0.02140161495195534,0.4280280760322047,2.954334888430732,1.1026034206557958,3.3918661333335
15,Ob15.txt,0.25,1997,1.0,1.0,1.0,0.99899849774662,0.9313970956434652,0.8612919379068603,0.26796385664100303,0.04215818177421297,0.868022093665106,0.027176376718327015,0.08864492830777025,2.206881774809309,1.1301481022107527,3.31485943699938
15,Ob15.txt,0.5,1997,1.0,1.0,1.0,0.9979969954932398,0.971457185778668,0.9469203805708563,0.4987445911554353,0.07600550002387312,1.5980915256229982,0.029623358124624927,0.16616084042959697,2.930565442253973,1.1301481022107527,3.31485943699938
15,Ob15.txt,0.75,1997,1.0,1.0,1.0,0.9964947421131698,0.9804707060590886,0.9659489233850777,0.7107246892784582,0.10356977289918663,2.138363314775906,0.04472904836114801,0.2643387789781881,3.046365082426488,1.1301481022107527,3.31485943699938
16,Ob16.txt,0.25,1997,1.0,1.0,1.0,0.99899849774662,0.9143715573360041,0.8102153229844767,0.2692959225901808,0.03433331609620342,0.7754134992495496,0.0044290816200412,0.06667865700214154,2.4552819481139725,1.1382624513477462,3.003361294411838
16,Ob16.txt,0.5,1997,1.0,1.0,1.0,0.9979969954932398,0.9704556835252879,0.9188783174762143,0.48739172401724945,0.06911033984002835,1.4205017876091428,0.007815559642037338,0.12633559726856858,3.0157732905159422,1.1382624513477462,3.003361294411838
16,Ob16.txt,0.75,1997,1.0,1.0,1.0,0.9964947421131698,0.9819729594391587,0.9524286429644466,0.6640112964109104,0.08667319547769956,1.985529807074383,0.007484085123043606,0.17693440578264932,3.0677474902734834,1.1382624513477462,3.003361294411838
17,Ob17.txt,0.25,1998,1.0,1.0,1.0,0.998998998998999,0.9179179179179179,0.8223223223223223,0.27766408971033196,0.03523153281979194,0.8718171938137096,0.004375516732529162,0.04177937064539579,1.9892435288626826,1.191617667034175,3.0810118039940613
17,Ob17.txt,0.5,1998,1.0,1.0,1.0,0.997997997997998,0.9619619619619619,0.913913913913914,0.5160477827395105,0.06485592442730007,1.5788870180156243,0.008161352039401845,0.10018772404258997,3.0674498425065027,1.191617667034175,3.0810118039940613
17,Ob17.txt,0.75,1998,1.0,1.0,1.0,0.9964964964964965,0.9764764764764765,0.9409409409409409,0.7010079225424171,0.09994239175464621,2.1335779470801697,0.013475034399394691,0.17456037533007174,3.0960651257044565,1.191617667034175,3.0810118039940613
18,Ob18.txt,0.25,1998,1.0,1.0,1.0,0.9984984984984985,0.9374374374374375,0.8508508508508509,0.2856423256526648,0.0443678143133146,0.8934729435139669,0.006170291845723858,0.08691584786147319,2.145993634299631,1.2179986024522966,3.371184883734002
18,Ob18.txt,0.5,1998,1.0,1.0,1.0,0.996996996996997,0.9754754754754755,0.9379379379379379,0.5413802879863919,0.08302865047268242,1.64172074875847,0.006053029387392882,0.16617418957176344,2.954997710834808,1.2179986024522966,3.371184883734002
18,Ob18.txt,0.75,1998,1.0,1.0,1.0,0.995995995995996,0.9804804804804805,0.9644644644644644,0.7398042326177336,0.10498154749492525,2.263044723924241,0.0095014730685753,0.24324180349616875,3.040183970567452,1.2179986024522966,3.371184883734002
