ob,variable,phase,event_type,n_events,real_phase_median_z,null_phase_median_z,event_minus_null_z,p_null_abs_excess_ge_real_abs_excess,event_type_gate
9,shell_middle_tangential,near_pre,high_to_low,20,0.010485828594663292,-0.007930377186402783,0.018416205781066074,0.95,False
9,shell_middle_tangential,near_post,low_to_high,17,0.136435023551564,0.0653768194313357,0.0710582041202283,0.675,False
9,shell_middle_tangential,near_post,high_to_low,20,-0.05507254468457995,-0.012894737452206905,-0.04217780723237304,0.8,False
9,shell_edge_tangential,near_pre,low_to_high,17,0.1592262612801359,-0.02278690867312176,0.18201316995325767,0.4,False
9,shell_edge_tangential,near_pre,high_to_low,20,0.12972232359598238,0.029794770141651404,0.09992755345433096,0.55,False
9,shell_edge_tangential,near_post,low_to_high,17,0.14366001004262696,0.02846297855968608,0.11519703148294089,0.5,False
9,shell_edge_tangential,near_post,high_to_low,20,-0.11894925148207967,0.004064037424561889,-0.12301328890664157,0.5,False
10,all_tangential,near_pre,low_to_high,18,-0.25790804173102744,-0.06307218911102397,-0.19483585262000347,0.375,False
10,all_tangential,near_pre,high_to_low,18,0.11503716217545273,3.9264862873078336e-05,0.11499789731257966,0.625,False
10,all_tangential,near_post,low_to_high,18,0.42478141670452807,0.07170197426743963,0.35307944243708844,0.05,True
10,all_tangential,near_post,high_to_low,18,-0.1924900697524204,0.00801506448444712,-0.2005051342368675,0.225,True
10,shell_edge_minus_core,near_pre,low_to_high,18,-0.032913115839077633,-0.03705494579482172,0.004141829955744088,0.95,False
10,shell_edge_minus_core,near_pre,high_to_low,18,-0.14670702337046043,0.020279007397537394,-0.16698603076799784,0.35,False
10,shell_edge_minus_core,near_post,low_to_high,18,-0.04361911227545822,-0.00488789642727137,-0.038731215848186853,0.725,False
10,shell_edge_minus_core,near_post,high_to_low,18,0.1140445898612075,0.0027031930276787478,0.11134139683352876,0.275,False
10,shell_core_tangential,near_pre,low_to_high,18,-0.20632783016802245,-0.044989492261600456,-0.161338337906422,0.25,True
10,shell_core_tangential,near_pre,high_to_low,18,0.2709976599225201,-0.011770758101047343,0.28276841802356745,0.075,True
10,shell_core_tangential,near_post,low_to_high,18,0.3120472819885129,0.037912599929304736,0.27413468205920816,0.1,True
10,shell_core_tangential,near_post,high_to_low,18,-0.09503137437335785,-0.0043868854104782105,-0.09064448896287963,0.725,False
10,shell_middle_tangential,near_pre,low_to_high,18,-0.032524647199820234,-0.025084180259853685,-0.007440466939966549,0.95,False
10,shell_middle_tangential,near_pre,high_to_low,18,0.35164056743614835,-0.06220000073077154,0.4138405681669199,0.025,True
10,shell_middle_tangential,near_post,low_to_high,18,0.39940197421613927,0.05917532688617198,0.34022664732996727,0.0,True
10,shell_middle_tangential,near_post,high_to_low,18,-0.06303256705443902,0.012898291064753037,-0.07593085811919206,0.5,False
10,shell_edge_tangential,near_pre,low_to_high,18,-0.08605828912287969,-0.012149998480277379,-0.0739082906426023,0.65,False
10,shell_edge_tangential,near_pre,high_to_low,18,-0.324948769909011,-0.021959041509291136,-0.3029897283997199,0.1,True
10,shell_edge_tangential,near_post,low_to_high,18,0.3895368030364019,0.0265883627062102,0.36294844033019175,0.05,True
10,shell_edge_tangential,near_post,high_to_low,18,0.09235672251938201,0.034794248035786526,0.057562474483595485,0.8,False
11,all_tangential,near_pre,low_to_high,55,-0.3952762956139424,-0.014091959174203913,-0.3811843364397385,0.0,True
11,all_tangential,near_pre,high_to_low,64,0.23459703774190366,-0.04924590803465796,0.2838429457765616,0.025,True
11,all_tangential,near_post,low_to_high,55,0.15819702192980317,-0.007180310572261586,0.16537733250206477,0.1,True
11,all_tangential,near_post,high_to_low,64,-0.25903641030947894,-0.02179495096123897,-0.23724145934823998,0.025,True
11,shell_edge_minus_core,near_pre,low_to_high,55,0.0139343416996755,0.040670550370157446,-0.026736208670481945,0.875,False
11,shell_edge_minus_core,near_pre,high_to_low,64,-0.048683435807173325,-0.022666751272294672,-0.026016684534878654,0.725,False
11,shell_edge_minus_core,near_post,low_to_high,55,-0.21165125693359374,0.016456081198428174,-0.22810733813202191,0.0,True
11,shell_edge_minus_core,near_post,high_to_low,64,0.020021870623320392,-0.012297789552414671,0.032319660175735065,0.675,False
11,shell_core_tangential,near_pre,low_to_high,55,-0.1681657057320144,0.005917792219438875,-0.17408349795145328,0.15,True
11,shell_core_tangential,near_pre,high_to_low,64,0.10359342969604782,0.023261695831279173,0.08033173386476865,0.6,False
11,shell_core_tangential,near_post,low_to_high,55,0.263403650200442,-0.015732098585809345,0.27913574878625136,0.0,True
11,shell_core_tangential,near_post,high_to_low,64,-0.19433142696572167,-0.0382173757020254,-0.15611405126369626,0.325,False
11,shell_middle_tangential,near_pre,low_to_high,55,-0.26088287988343983,-0.024091846235758996,-0.23679103364768084,0.075,True
11,shell_middle_tangential,near_pre,high_to_low,64,0.21637047489888706,-0.027936949739354663,0.24430742463824173,0.025,True
11,shell_middle_tangential,near_post,low_to_high,55,0.1361643332661992,-0.003463401540071326,0.13962773480627053,0.15,True
11,shell_middle_tangential,near_post,high_to_low,64,-0.25400086988829795,-0.005696994427468602,-0.24830387546082935,0.025,True
11,shell_edge_tangential,near_pre,low_to_high,55,-0.429136701114386,0.03670093302930535,-0.46583763414369134,0.0,True
11,shell_edge_tangential,near_pre,high_to_low,64,0.17387451940586934,-0.047829372695620036,0.22170389210148939,0.05,True
11,shell_edge_tangential,near_post,low_to_high,55,0.09296215646723753,-0.012536706121842867,0.1054988625890804,0.45,False
11,shell_edge_tangential,near_post,high_to_low,64,-0.20981914879037775,0.014050773366598903,-0.22386992215697665,0.05,True
12,all_tangential,near_pre,low_to_high,44,-0.5445320137191656,-0.01709905755238178,-0.5274329561667839,0.0,True
12,all_tangential,near_pre,high_to_low,47,0.04222792113594416,0.01213986417150302,0.03008805696444114,0.825,False
12,all_tangential,near_post,low_to_high,44,0.07578088011575933,-0.016907765669310508,0.09268864578506983,0.475,False
12,all_tangential,near_post,high_to_low,47,-0.17481039272946933,-0.012929805383853119,-0.16188058734561622,0.25,True
12,shell_edge_minus_core,near_pre,low_to_high,44,-0.09411935133852181,-0.04187227301546055,-0.05224707832306126,0.625,False
12,shell_edge_minus_core,near_pre,high_to_low,47,-0.0637130489733349,0.03082672965419901,-0.0945397786275339,0.375,False
12,shell_edge_minus_core,near_post,low_to_high,44,0.12101662463890954,-0.0010693918784388285,0.12208601651734836,0.175,True
12,shell_edge_minus_core,near_post,high_to_low,47,0.0371304281712447,-0.028967791823918787,0.06609821999516349,0.625,False
12,shell_core_tangential,near_pre,low_to_high,44,-0.2924146543424084,0.011983566382032788,-0.30439822072444117,0.025,True
12,shell_core_tangential,near_pre,high_to_low,47,0.041772085390649194,-0.011910992497350763,0.05368307788799996,0.625,False
12,shell_core_tangential,near_post,low_to_high,44,-0.15746170079442992,0.012892524168533055,-0.17035422496296299,0.175,True
12,shell_core_tangential,near_post,high_to_low,47,-0.2411951875690638,0.009740992532122815,-0.2509361801011866,0.05,True
12,shell_middle_tangential,near_pre,low_to_high,44,-0.36020525175160256,0.0003341073347122511,-0.3605393590863148,0.0,True
12,shell_middle_tangential,near_pre,high_to_low,47,0.023878089904256772,0.025339197237681056,-0.0014611073334242844,1.0,False
12,shell_middle_tangential,near_post,low_to_high,44,0.06204907777523813,0.03318813920290338,0.02886093857233475,0.925,False
12,shell_middle_tangential,near_post,high_to_low,47,-0.1288045205887617,0.0319214464603261,-0.16072596704908781,0.175,True
12,shell_edge_tangential,near_pre,low_to_high,44,-0.48311115155126516,-0.027803064956376515,-0.45530808659488864,0.0,True
12,shell_edge_tangential,near_pre,high_to_low,47,-0.02717901414349666,0.0037633753559224714,-0.030942389499419132,0.8,False
12,shell_edge_tangential,near_post,low_to_high,44,0.2337265054877953,-0.01965836232197975,0.25338486780977504,0.075,True
12,shell_edge_tangential,near_post,high_to_low,47,-0.132284345371161,0.015526024576444883,-0.14781036994760588,0.3,False
13,all_tangential,near_pre,low_to_high,52,-0.24300364742375513,0.021829142483286136,-0.2648327899070413,0.1,True
13,all_tangential,near_pre,high_to_low,50,0.013745854977951846,0.02654154324038205,-0.012795688262430202,0.925,False
13,all_tangential,near_post,low_to_high,52,0.2834113909209778,0.014936073739489228,0.26847531718148854,0.1,True
13,all_tangential,near_post,high_to_low,50,-0.15021310562887039,0.016813679505222348,-0.16702678513409275,0.175,True
13,shell_edge_minus_core,near_pre,low_to_high,52,-0.09891093569060057,-0.06717045996933335,-0.03174047572126722,0.8,False
13,shell_edge_minus_core,near_pre,high_to_low,50,0.24191613311022167,-0.026567317888849997,0.26848345099907167,0.025,True
13,shell_edge_minus_core,near_post,low_to_high,52,-0.03619562506500534,0.0004203156757248208,-0.03661594074073016,0.65,False
13,shell_edge_minus_core,near_post,high_to_low,50,-0.084117582710663,-0.017123363820376054,-0.06699421889028695,0.575,False
13,shell_core_tangential,near_pre,low_to_high,52,-0.1980877999443631,0.01256387725627187,-0.21065167720063496,0.125,True
13,shell_core_tangential,near_pre,high_to_low,50,-0.2214626455042094,0.031146594037014124,-0.25260923954122355,0.125,True
13,shell_core_tangential,near_post,low_to_high,52,0.19424331875736583,-0.028963615407171163,0.223206934164537,0.1,True
13,shell_core_tangential,near_post,high_to_low,50,0.007216425640298884,-0.012721400030561037,0.019937825670859922,0.925,False
13,shell_middle_tangential,near_pre,low_to_high,52,-0.08212274319675068,0.0748507229403067,-0.15697346613705737,0.25,True
13,shell_middle_tangential,near_pre,high_to_low,50,0.1616640517307865,0.013478575981595343,0.14818547574919114,0.25,True
13,shell_middle_tangential,near_post,low_to_high,52,0.08855554194989128,0.021491918181993308,0.06706362376789797,0.475,False
13,shell_middle_tangential,near_post,high_to_low,50,-0.13661115249356603,0.04188914144407843,-0.17850029393764447,0.15,True
13,shell_edge_tangential,near_pre,low_to_high,52,-0.23946170963738067,0.021391121941884087,-0.26085283157926475,0.1,True
13,shell_edge_tangential,near_pre,high_to_low,50,0.183237845047791,0.0374439417888677,0.1457939032589233,0.275,False
13,shell_edge_tangential,near_post,low_to_high,52,0.20846916975043084,-0.010073397437438705,0.21854256718786955,0.05,True
13,shell_edge_tangential,near_post,high_to_low,50,-0.14984659863707256,0.015459053473913778,-0.16530565211098633,0.125,True
14,all_tangential,near_pre,low_to_high,22,-0.22809670360327533,0.04683406213713697,-0.2749307657404123,0.125,True
14,all_tangential,near_pre,high_to_low,25,0.3046209688342325,-0.029025041674995176,0.3336460105092277,0.075,True
14,all_tangential,near_post,low_to_high,22,0.16148162134493788,0.04122141084396426,0.12026021050097362,0.575,False
14,all_tangential,near_post,high_to_low,25,0.01045183964481991,0.035732678269666855,-0.025280838624846945,0.75,False
14,shell_edge_minus_core,near_pre,low_to_high,22,0.12529122692618577,-0.026347495804619557,0.15163872273080534,0.375,False
14,shell_edge_minus_core,near_pre,high_to_low,25,-0.03049035728142746,-0.019304488932917273,-0.011185868348510188,0.9,False
14,shell_edge_minus_core,near_post,low_to_high,22,-0.13065963193561675,0.0012268521482806383,-0.1318864840838974,0.3,False
14,shell_edge_minus_core,near_post,high_to_low,25,-0.03135300109531736,-0.013250280951605645,-0.018102720143711712,0.875,False
14,shell_core_tangential,near_pre,low_to_high,22,-0.12425064446043102,-0.021451885751738994,-0.10279875870869203,0.575,False
14,shell_core_tangential,near_pre,high_to_low,25,-0.016367312368804232,0.018704089966894655,-0.03507140233569889,0.875,False
14,shell_core_tangential,near_post,low_to_high,22,0.23971748269868567,0.01904818874140562,0.22066929395728005,0.175,True
14,shell_core_tangential,near_post,high_to_low,25,0.07377260290351853,0.02234161415295629,0.05143098875056224,0.8,False
14,shell_middle_tangential,near_pre,low_to_high,22,-0.13368510734557476,0.03373403352899023,-0.167419140874565,0.375,False
14,shell_middle_tangential,near_pre,high_to_low,25,0.4352052699339791,0.011828451360183134,0.423376818573796,0.0,True
14,shell_middle_tangential,near_post,low_to_high,22,0.39489819305118035,0.06710108952676888,0.3277971035244115,0.05,True
14,shell_middle_tangential,near_post,high_to_low,25,-0.11695924010186973,0.010823276385832414,-0.12778251648770214,0.35,False
14,shell_edge_tangential,near_pre,low_to_high,22,-0.03225395934985108,-0.020169035015565443,-0.012084924334285634,0.95,False
14,shell_edge_tangential,near_pre,high_to_low,25,0.43701609965468663,-0.007601612719524545,0.44461771237421116,0.0,True
14,shell_edge_tangential,near_post,low_to_high,22,0.08245076847335918,0.04409901816277451,0.038351750310584666,0.825,False
14,shell_edge_tangential,near_post,high_to_low,25,-0.058905570530104506,0.022305547876448298,-0.0812111184065528,0.45,False
15,all_tangential,near_pre,low_to_high,46,-0.4243919102772994,0.023375510433851665,-0.44776742071115105,0.0,True
15,all_tangential,near_pre,high_to_low,50,0.3080210781150429,0.05100518386036505,0.25701589425467786,0.1,True
15,all_tangential,near_post,low_to_high,46,0.2537986101049316,0.005559379254727654,0.24823923085020394,0.15,True
15,all_tangential,near_post,high_to_low,50,-0.11700267852786977,-0.024600617758239025,-0.09240206076963076,0.425,False
15,shell_edge_minus_core,near_pre,low_to_high,46,0.3236858058893728,0.009773558880212668,0.3139122470091601,0.05,True
15,shell_edge_minus_core,near_pre,high_to_low,50,-0.10044142629521025,0.03894704816443986,-0.1393884744596501,0.35,False
15,shell_edge_minus_core,near_post,low_to_high,46,-0.08030930370390693,0.027419170059012503,-0.10772847376291944,0.45,False
15,shell_edge_minus_core,near_post,high_to_low,50,0.014921615526353897,-0.05434098959807556,0.06926260512442946,0.625,False
15,shell_core_tangential,near_pre,low_to_high,46,-0.504185892887514,0.04255004463690838,-0.5467359375244224,0.0,True
15,shell_core_tangential,near_pre,high_to_low,50,0.2882494414509781,0.006938435944447816,0.28131100550653027,0.025,True
15,shell_core_tangential,near_post,low_to_high,46,0.33651155884314976,0.03811263323898002,0.29839892560416975,0.025,True
15,shell_core_tangential,near_post,high_to_low,50,-0.1419451422474224,0.029944836525459734,-0.17188997877288215,0.175,True
15,shell_middle_tangential,near_pre,low_to_high,46,-0.3260686401567333,-0.033644226200326026,-0.2924244139564073,0.05,True
15,shell_middle_tangential,near_pre,high_to_low,50,-0.02033016106804745,0.05841369998234098,-0.07874386105038843,0.675,False
15,shell_middle_tangential,near_post,low_to_high,46,0.37055859429974125,-0.006090278750302581,0.37664887305004385,0.0,True
15,shell_middle_tangential,near_post,high_to_low,50,-0.24890358003682522,-4.030527788597381e-05,-0.24886327475893924,0.125,True
