spectral_set,n_runs,median_run_duration_sec,q75_run_duration_sec,q90_run_duration_sec,q95_run_duration_sec,mean_run_duration_sec,frac_runs_ge_0p1s,frac_runs_ge_0p2s,frac_runs_ge_0p5s,frac_runs_ge_1p0s,frac_runs_ge_2p0s,surrogate_type,replicate
high,8839,0.0299999999999991,0.119999999999976,0.459999999999908,0.859999999999828,0.16722366783570525,0.26699852924538975,0.18214730173096505,0.09265754044575178,0.03801334992646227,0.008258852811404005,independent_phase_rank,11
low,8831,0.0299999999999991,0.1299999999999961,0.54999999999989,0.9499999999999715,0.18884497791866972,0.28694372098290116,0.19590080398595855,0.10678292379119013,0.045747933416374134,0.011436983354093534,independent_phase_rank,11
all,17670,0.0299999999999991,0.1199999999999964,0.499999999999985,0.899999999999973,0.17802942840970976,0.27696661007357104,0.18902093944538767,0.09971703452178834,0.04187889077532541,0.009847198641765705,independent_phase_rank,11
high,7274,0.039999999999992,0.159999999999968,0.6899999999999793,1.199999999999964,0.22991613967552313,0.3050591146549354,0.22257354962881495,0.12922738520758867,0.06461369260379433,0.018696728072587297,coupled_phase_rank,11
low,7279,0.039999999999992,0.1599999999999952,0.6899999999999793,1.209999999999758,0.2298021706277999,0.31240555021294136,0.2265421074323396,0.13051243302651463,0.06676741310619591,0.018683885149058936,coupled_phase_rank,11
all,14553,0.039999999999992,0.159999999999968,0.6899999999999793,1.209999999999758,0.2298591355733877,0.3087335944478802,0.224558510272796,0.12987012987012986,0.06569092283377997,0.01869030440459012,coupled_phase_rank,11
high,83774,0.0099999999999997,0.029999999999994,0.039999999999992,0.04999999999999,0.019974216343970147,0.001038508367751331,0.0,0.0,0.0,0.0,label_shuffle,12
low,83778,0.0099999999999997,0.0199999999999994,0.039999999999992,0.04999999999999,0.019958700374797148,0.0008594141660101698,0.0,0.0,0.0,0.0,label_shuffle,12
all,167552,0.0099999999999997,0.0199999999999994,0.039999999999992,0.04999999999999,0.019966458174175836,0.000948959129106188,0.0,0.0,0.0,0.0,label_shuffle,12
high,8768,0.0299999999999991,0.1099999999999967,0.43999999999993444,0.8764999999998728,0.16736199817515798,0.2615191605839416,0.17848996350364962,0.0896441605839416,0.04219890510948905,0.009808394160583942,independent_phase_rank,12
low,8777,0.0299999999999991,0.129999999999974,0.54999999999989,0.9499999999999715,0.19079298165657463,0.28153127492309443,0.19494132391477725,0.10424974364817136,0.04682693403212943,0.012418821920929702,independent_phase_rank,12
all,17545,0.0299999999999991,0.1199999999999964,0.489999999999902,0.929999999999814,0.17908349957250158,0.27153035052721575,0.18671986320889142,0.0969506982046167,0.0445141065830721,0.011114277571957822,independent_phase_rank,12
high,7408,0.039999999999992,0.159999999999968,0.6329999999999502,1.2199999999998907,0.22508369330450267,0.30264578833693306,0.2163876889848812,0.12243520518358532,0.05980021598272138,0.020788336933045357,coupled_phase_rank,12
low,7409,0.039999999999992,0.169999999999966,0.6799999999999796,1.189999999999762,0.2263962748008847,0.3151572411931435,0.22513159670670807,0.13146173572681874,0.06141179646376029,0.01754622756107437,coupled_phase_rank,12
all,14817,0.039999999999992,0.159999999999968,0.659999999999868,1.209999999999758,0.22574002834578596,0.30890193696429774,0.2207599379091584,0.12694877505567928,0.06060606060606061,0.019167172842005805,coupled_phase_rank,12
high,83410,0.019999999999996,0.029999999999994,0.039999999999992,0.04999999999999,0.020061383527152084,0.0010550293729768613,0.0,0.0,0.0,0.0,label_shuffle,13
low,83409,0.0099999999999997,0.029999999999994,0.039999999999992,0.04999999999999,0.020046997326424672,0.001091009363497944,0.0,0.0,0.0,0.0,label_shuffle,13
all,166819,0.019999999999996,0.029999999999994,0.039999999999992,0.04999999999999,0.02005419046990757,0.001073019260395998,0.0,0.0,0.0,0.0,label_shuffle,13
high,8693,0.0299999999999991,0.119999999999976,0.459999999999908,0.8399999999998891,0.16901069826294546,0.26550097779822845,0.1777292074082595,0.09145289313240539,0.0396871045668929,0.009662947198895664,independent_phase_rank,13
low,8693,0.0299999999999991,0.1299999999999961,0.529999999999894,0.989999999999802,0.1918497641780463,0.28321638099620383,0.1960197860347406,0.10399171747382951,0.0485448061658806,0.012308754170021856,independent_phase_rank,13
all,17386,0.0299999999999991,0.1199999999999964,0.489999999999902,0.9099999999999727,0.1804302312204959,0.27435867939721614,0.18687449672150006,0.09772230530311746,0.044115955366386746,0.01098585068445876,independent_phase_rank,13
high,7468,0.0299999999999991,0.159999999999968,0.6699999999999002,1.1764999999998307,0.22346679164431651,0.3042313872522764,0.21987145152651313,0.12707552222817353,0.06347080878414568,0.017675415104445636,coupled_phase_rank,13
low,7467,0.039999999999992,0.1499999999999955,0.669999999999866,1.19999999999976,0.22439266104188496,0.30253113700281237,0.21815990357573323,0.1297709923664122,0.06414892192312843,0.017142091870898622,coupled_phase_rank,13
all,14935,0.0299999999999991,0.159999999999968,0.669999999999866,1.179999999999764,0.22392969534646875,0.3033813190492133,0.2190157348510211,0.12842316705724807,0.06380984265148978,0.017408771342484097,coupled_phase_rank,13
high,83671,0.0099999999999997,0.029999999999994,0.039999999999992,0.04999999999999,0.019998804842774144,0.0009919804950341217,0.0,0.0,0.0,0.0,label_shuffle,14
low,83672,0.019999999999996,0.0199999999999994,0.039999999999992,0.04999999999999,0.019983985084613194,0.0010158714982311885,1.1951429390955158e-05,0.0,0.0,0.0,label_shuffle,14
all,167343,0.0099999999999997,0.0199999999999994,0.039999999999992,0.04999999999999,0.01999139491941408,0.001003926068015991,5.97575040485709e-06,0.0,0.0,0.0,label_shuffle,14
high,8721,0.0299999999999991,0.1199999999999964,0.4499999999999865,0.8399999999999748,0.16847035890377238,0.27565646141497535,0.18071322096089898,0.09081527347781218,0.038527691778465774,0.009975920192638458,independent_phase_rank,14
low,8727,0.0299999999999991,0.139999999999972,0.54999999999989,0.989999999999802,0.19165807264807744,0.28704022000687524,0.19514151483900538,0.10805546006646041,0.048814025438294946,0.013406668958404951,independent_phase_rank,14
all,17448,0.0299999999999991,0.129999999999974,0.4999999999999255,0.9099999999999727,0.180068202659306,0.2813502980284273,0.18792984869325996,0.09943833104080697,0.0436726272352132,0.011691884456671253,independent_phase_rank,14
high,7503,0.039999999999992,0.159999999999968,0.6679999999998683,1.179999999999764,0.22226842596291566,0.31107556977209116,0.22004531520725043,0.12674930027988804,0.0625083300013328,0.015193922431027589,coupled_phase_rank,14
low,7510,0.039999999999992,0.1499999999999955,0.669999999999866,1.179999999999764,0.22325565912113915,0.3019973368841545,0.21504660452729693,0.12543275632490014,0.062982689747004,0.017310252996005325,coupled_phase_rank,14
all,15013,0.039999999999992,0.159999999999968,0.669999999999866,1.179999999999764,0.22276227269696336,0.30653433690801307,0.21754479451142344,0.1260907213748085,0.06274562046226603,0.016252581096383136,coupled_phase_rank,14
high,83953,0.0099999999999997,0.0199999999999994,0.039999999999992,0.04999999999999,0.01993162841113189,0.000845711290841304,0.0,0.0,0.0,0.0,label_shuffle,15
low,83954,0.0099999999999997,0.0199999999999994,0.039999999999992,0.04999999999999,0.019916859232433897,0.0010362817733520738,0.0,0.0,0.0,0.0,label_shuffle,15
all,167907,0.0099999999999997,0.0199999999999994,0.039999999999992,0.04999999999999,0.01992424377780266,0.0009409970995848892,0.0,0.0,0.0,0.0,label_shuffle,15
high,8709,0.0299999999999991,0.1199999999999964,0.4799999999999856,0.909999999999818,0.1728533700769066,0.27155815822712137,0.1834883453898266,0.0957630037891836,0.045010908255827306,0.00884142840739465,independent_phase_rank,15
low,8704,0.0299999999999991,0.129999999999974,0.519999999999896,0.9699999999999709,0.1908547794117369,0.28125,0.18956801470588236,0.10190716911764706,0.047564338235294115,0.014246323529411764,independent_phase_rank,15
all,17413,0.0299999999999991,0.129999999999974,0.4999999999999,0.94999999999981,0.18185149026586672,0.2764026876471602,0.1865273071842876,0.09883420433009821,0.04628725664733245,0.011543099982771492,independent_phase_rank,15
high,7457,0.0299999999999991,0.159999999999968,0.6699999999999116,1.1919999999999218,0.2237119485047279,0.30038889633901034,0.21657503017299182,0.12699477001475123,0.06463725358723348,0.01689687541906933,coupled_phase_rank,15
low,7454,0.0299999999999991,0.1499999999999955,0.6699999999999458,1.2199999999999633,0.22498121813787963,0.3019855111349611,0.2141132277971559,0.12718003756372417,0.06560236114837671,0.018781862087469816,coupled_phase_rank,15
all,14911,0.0299999999999991,0.1499999999999955,0.66999999999998,1.209999999999758,0.22434645563674543,0.301187043122527,0.2153443766346992,0.1270873851519013,0.06511971028100061,0.01783917912950171,coupled_phase_rank,15
high,83628,0.0099999999999997,0.029999999999994,0.039999999999992,0.04999999999999,0.020009087865305343,0.0008968288133161142,0.0,0.0,0.0,0.0,label_shuffle,16
low,83625,0.0099999999999997,0.0199999999999994,0.039999999999992,0.04999999999999,0.019995216741402158,0.0011479820627802691,0.0,0.0,0.0,0.0,label_shuffle,16
