lag_sec,spectral_set,median_retention,q25_retention,q75_retention,median_retention_lift,q25_retention_lift,frac_ob_lift_positive,median_mass,median_origin_count,surrogate_type,replicate
1.0,low,0.6011058451816745,0.5846008402021321,0.6154420730604742,0.059354824475907564,0.051631147683367906,1.0,0.5334762253934232,9718.0,independent_phase_rank,4
0.05,high,0.8969818913480885,0.8881107530297724,0.9111903973022343,0.39958397301342075,0.38945103548461535,1.0,0.49912451848516687,9895.0,coupled_phase_rank,4
0.05,low,0.898360655737705,0.8887277770739086,0.9122013395790061,0.3971268550148451,0.3873874946190656,1.0,0.5008754815148332,9946.0,coupled_phase_rank,4
0.1,high,0.8575317604355717,0.8452540341683706,0.8657104545115859,0.35699982298774613,0.3458253041019122,1.0,0.49912451848516687,9890.0,coupled_phase_rank,4
0.1,low,0.8584969532836831,0.8457402764887126,0.8663033157866555,0.35574046216994604,0.34500945180351444,1.0,0.5008754815148332,9942.0,coupled_phase_rank,4
0.2,high,0.7884829470701346,0.77922851592144,0.8063760775148258,0.29316098779660676,0.27874600950863004,1.0,0.49912451848516687,9881.0,coupled_phase_rank,4
0.2,low,0.7928812214951417,0.779115661417816,0.8059764144746815,0.2882031807686696,0.279598167830626,1.0,0.5008754815148332,9932.0,coupled_phase_rank,4
0.5,high,0.6659951651893634,0.6550999898111355,0.7032876581537741,0.16817363833804994,0.15583391925410506,1.0,0.49912451848516687,9881.0,coupled_phase_rank,4
0.5,low,0.6716029617770662,0.6555068248986078,0.7076063954510032,0.16775632681529395,0.15477289545563833,1.0,0.5008754815148332,9902.0,coupled_phase_rank,4
1.0,high,0.5814702920443102,0.5635699499934258,0.606533032636721,0.08407237370964249,0.06333173274300949,1.0,0.49912451848516687,9838.0,coupled_phase_rank,4
1.0,low,0.5880048221820374,0.5636215565209841,0.6121714887912477,0.08540274051670516,0.06370064428417577,1.0,0.5008754815148332,9852.0,coupled_phase_rank,4
0.05,high,0.5017973638663293,0.497524000679453,0.5032048863246623,0.00047869822487900393,-0.002243319516814807,0.5789473684210527,0.5000334291636023,9891.0,label_shuffle,5
0.05,low,0.4998329212056406,0.49706393018760936,0.5026903811476042,0.0006202014099927489,-0.002116369572346233,0.5789473684210527,0.4999665708363977,9937.0,label_shuffle,5
0.1,high,0.5009481984229963,0.49686342319082877,0.5046428618787799,0.0008972629334398352,-0.002693524778283246,0.5789473684210527,0.5000334291636023,9889.0,label_shuffle,5
0.1,low,0.4998660594695955,0.49797019257564956,0.5034352494749821,0.0008332323148778631,-0.0026438683772922744,0.5789473684210527,0.4999665708363977,9935.0,label_shuffle,5
0.2,high,0.4995447095246767,0.49527894990197174,0.504853213618945,-0.0011377911578239197,-0.003465922304994512,0.42105263157894735,0.5000334291636023,9885.0,label_shuffle,5
0.2,low,0.4987983978638184,0.4958685746854383,0.5043772040166353,-0.0013267435269031513,-0.003506388699857782,0.42105263157894735,0.4999665708363977,9931.0,label_shuffle,5
0.5,high,0.5020161290322581,0.4997291013777465,0.5047995137756341,0.0026474439361101054,-0.0004175355222121313,0.5789473684210527,0.5000334291636023,9870.0,label_shuffle,5
0.5,low,0.5005031193399074,0.4988122670241659,0.5054449695044363,0.002785459677357993,-0.0006542106832130856,0.6842105263157895,0.4999665708363977,9915.0,label_shuffle,5
1.0,high,0.50327277584825,0.4993612877396094,0.5056209800477203,0.0022724424037685598,5.269046007197464e-05,0.7368421052631579,0.5000334291636023,9850.0,label_shuffle,5
