surrogate_type,replicate,long_lag_q25_lift_median_sets,long_lag_q25_retention_median_sets,lag0p1_q25_lift_median_sets,lag1p0_q25_lift_median_sets,median_residence_all,q75_residence_all,q90_residence_all
coupled_phase_rank,13,0.15283850121985218,0.6544240076875087,0.34597630870214124,0.06001998397630204,0.0299999999999991,0.159999999999968,0.669999999999866
label_shuffle,14,-0.0015429864594551645,0.4978894401864903,-0.001314166080259166,-0.0026684638308882985,0.0099999999999997,0.0199999999999994,0.039999999999992
independent_phase_rank,14,0.13667464491894857,0.6371813822042094,0.3230675681638878,0.05229905345671476,0.0299999999999991,0.129999999999974,0.4999999999999255
coupled_phase_rank,14,0.1606357207920147,0.6606357207920147,0.3433053031947333,0.07106464342787548,0.039999999999992,0.159999999999968,0.669999999999866
label_shuffle,15,-0.001146254635656957,0.4987646073221844,-0.0015130060761023023,-0.0022469025199520765,0.0099999999999997,0.0199999999999994,0.039999999999992
independent_phase_rank,15,0.1438265582585412,0.6433089711505678,0.3307503175221627,0.05804787308902165,0.0299999999999991,0.129999999999974,0.4999999999999
coupled_phase_rank,15,0.16123229760296742,0.6611861979903519,0.34876091560411265,0.07499507241223417,0.0299999999999991,0.1499999999999955,0.66999999999998
label_shuffle,16,-0.002353547460996891,0.49774302076723304,-0.003521196388688877,-0.0005303949951706993,0.0099999999999997,0.0199999999999994,0.039999999999992
independent_phase_rank,16,0.1357088794638317,0.6346068293110647,0.32308235330619484,0.04813487709499438,0.0299999999999991,0.119999999999976,0.4899999999999853
coupled_phase_rank,16,0.1566442849792063,0.6556948570170997,0.3450926965873446,0.06219580795076109,0.039999999999992,0.1499999999999955,0.6499999999999805
label_shuffle,17,-0.0017889844793093634,0.4976613621330863,-0.0005422153997765716,-0.0015943830783937962,0.019999999999996,0.029999999999994,0.039999999999992
independent_phase_rank,17,0.1336121899754102,0.6332938644277428,0.31810262240397225,0.049634950735379116,0.0299999999999991,0.119999999999976,0.4799999999999856
coupled_phase_rank,17,0.16218136435892266,0.6621813643589227,0.34514704333400315,0.07017444432638402,0.039999999999992,0.159999999999968,0.679999999999864
label_shuffle,18,-0.0034654549085279956,0.4967176200164279,-0.001991992650041144,-0.001571709542720387,0.019999999999996,0.0199999999999994,0.039999999999992
independent_phase_rank,18,0.1370133752734355,0.6375764119538023,0.32054216103090843,0.05687189050363499,0.0299999999999991,0.129999999999974,0.4799999999999856
coupled_phase_rank,18,0.14898946692575088,0.6498885834730539,0.3421898368945364,0.06257749197802788,0.039999999999992,0.1499999999999955,0.669999999999866
label_shuffle,19,0.0007261471207928305,0.5003551047383299,0.0007007282720839503,-0.0019262883534124503,0.0099999999999997,0.0199999999999994,0.039999999999992
independent_phase_rank,19,0.13249734051144887,0.634906029350088,0.3187050107680213,0.0574540905218838,0.0299999999999991,0.119999999999976,0.46999999999998593
coupled_phase_rank,19,0.15560309310984377,0.6558405009315661,0.34967777124065946,0.06423743330968003,0.039999999999992,0.1499999999999955,0.64999999999987
label_shuffle,20,-0.00035454823537249547,0.499843144168979,-0.0004379492349225328,-0.0032683972304348857,0.0099999999999997,0.0199999999999994,0.039999999999992
independent_phase_rank,20,0.14221569638472364,0.6406433747889084,0.3210048237818792,0.06149197806998723,0.0299999999999991,0.1199999999999964,0.4899999999999853
coupled_phase_rank,20,0.1569346894956327,0.6563978140613611,0.3442634057609466,0.06842745102879072,0.0299999999999991,0.1499999999999955,0.64999999999987
label_shuffle,21,-0.0033396286200024355,0.4967025130907473,-0.004816282512987713,-0.001749325422681039,0.0099999999999997,0.0199999999999994,0.039999999999992
independent_phase_rank,21,0.13298341646509385,0.6339379412897685,0.32040860097230495,0.05706304183950192,0.0299999999999991,0.1199999999999964,0.4899999999999853
coupled_phase_rank,21,0.1514575896908132,0.6511211878765144,0.3470490674578513,0.06290513484690549,0.039999999999992,0.159999999999968,0.669999999999866
label_shuffle,22,-0.001269464858244862,0.4988152271772875,-0.003114525620461342,-0.002119000880508204,0.019999999999996,0.0199999999999994,0.039999999999992
independent_phase_rank,22,0.13668737532338288,0.636385204654633,0.3222806354540345,0.051151502390844594,0.0299999999999991,0.129999999999974,0.499999999999985
coupled_phase_rank,22,0.15797364700208155,0.6577182804510309,0.3440650701487526,0.07052053356623648,0.039999999999992,0.159999999999968,0.66999999999998
label_shuffle,23,-0.0028254083475005437,0.4960935083199939,-0.0022022284706775946,-0.002281076638189397,0.019999999999996,0.029999999999994,0.039999999999992
independent_phase_rank,23,0.1284016672670716,0.6282409220538477,0.31448252271502153,0.04892768722275617,0.0299999999999991,0.1199999999999964,0.4799999999999856
coupled_phase_rank,23,0.1590982942968621,0.6580760382095128,0.3430320353636268,0.06317382038141098,0.0299999999999991,0.14999999999997,0.6399999999999808
label_shuffle,24,-0.0028645287072589787,0.4972024630333857,-0.0033970275414369755,-0.003198047377039853,0.0099999999999997,0.0199999999999994,0.039999999999992
independent_phase_rank,24,0.14248441586326743,0.6417858601470858,0.322424321578607,0.05372590474061498,0.0299999999999991,0.129999999999974,0.4799999999999856
coupled_phase_rank,24,0.16060531440515763,0.6616413962581821,0.34765927906779337,0.05921983222779724,0.039999999999992,0.1599999999999952,0.69999999999986
