variable,family,n_ob,n_events,null_median_low_to_high_delta_z,null_median_high_to_low_delta_z,null_median_direction_contrast_z,null_abs_median_direction_contrast_z,null_direction_contrast_sign_consistency,replicate
knn_resid_alignment_expected,one_fish_conditional_baseline,19,1471,0.09868209637753418,0.18509565350550108,-0.14540227033540198,0.14540227033540198,0.7368421052631579,90
knn_resid_radial_cov_cumulant,empirical_cumulant,19,1471,-0.0006501314476258513,0.048332312091791785,-0.11334204014162971,0.11334204014162971,0.5789473684210527,90
knn_resid_speed_cov_observed,observed_pair,19,1471,0.0692176426286546,-0.04719412055442887,0.07407967183251685,0.07407967183251685,0.631578947368421,90
knn_resid_speed_cov_cumulant,empirical_cumulant,19,1471,0.060921364686744583,-0.005780586674075883,0.05248625696212955,0.05248625696212955,0.631578947368421,90
knn_resid_tangential_cov_expected,one_fish_conditional_baseline,19,1471,-0.05494919728895764,-0.03436305583899859,0.050981123935506495,0.050981123935506495,0.5789473684210527,90
knn_resid_speed_cov_expected,one_fish_conditional_baseline,19,1471,-0.05494919728895788,-0.03436305583899901,0.050981123935506356,0.050981123935506356,0.5789473684210527,90
knn_resid_radial_cov_expected,one_fish_conditional_baseline,19,1471,-0.054949197288957426,-0.0343630558389989,0.050981123935506245,0.050981123935506245,0.5789473684210527,90
knn_resid_radial_cov_observed,observed_pair,19,1471,0.019145571208323588,0.10615079418967649,-0.04798018891901179,0.04798018891901179,0.5789473684210527,90
knn_resid_tangential_cov_observed,observed_pair,19,1471,0.021193765911147633,0.01709049122538861,0.04095315183879375,0.04095315183879375,0.5263157894736842,90
knn_resid_alignment_cumulant,empirical_cumulant,19,1471,0.012640535648945517,-0.01874899261873423,0.03818829881320067,0.03818829881320067,0.5263157894736842,90
knn_resid_tangential_cov_cumulant,empirical_cumulant,19,1471,0.05780169710934145,0.048548152260888794,0.014531840360649598,0.014531840360649598,0.5263157894736842,90
knn_resid_alignment_observed,observed_pair,19,1471,0.015206984774947363,-0.0047957312441732625,-0.008975670711465725,0.008975670711465725,0.5263157894736842,90
knn_resid_speed_cov_cumulant,empirical_cumulant,19,1470,-0.03853086039414847,-0.008441726405178356,0.09247474589836824,0.09247474589836824,0.5263157894736842,91
knn_resid_speed_cov_observed,observed_pair,19,1470,-0.0509706951863792,-0.007593437968273331,0.07232962028766957,0.07232962028766957,0.5789473684210527,91
knn_resid_alignment_observed,observed_pair,19,1470,0.015656196194621358,0.0006067681945790548,0.04937691362742244,0.04937691362742244,0.5263157894736842,91
knn_resid_tangential_cov_cumulant,empirical_cumulant,19,1470,0.04265883331647061,-0.033603193814657595,0.04518884665321865,0.04518884665321865,0.5789473684210527,91
knn_resid_alignment_cumulant,empirical_cumulant,19,1470,0.060818463807374865,0.03800923840092224,0.03817293987049564,0.03817293987049564,0.5263157894736842,91
knn_resid_tangential_cov_observed,observed_pair,19,1470,0.02385636256010154,-0.031223394385245073,0.03551568318214224,0.03551568318214224,0.5263157894736842,91
knn_resid_radial_cov_observed,observed_pair,19,1470,-0.031833673208572555,-0.02799409129499586,0.018165538303868245,0.018165538303868245,0.5263157894736842,91
knn_resid_radial_cov_cumulant,empirical_cumulant,19,1470,-0.04864080669906057,0.011928819346519792,-0.015350951611928232,0.015350951611928232,0.5263157894736842,91
knn_resid_speed_cov_expected,one_fish_conditional_baseline,19,1470,-0.012593046723017809,-0.014630113985334342,0.004821074741542808,0.004821074741542808,0.5263157894736842,91
knn_resid_radial_cov_expected,one_fish_conditional_baseline,19,1470,-0.01259304672301731,-0.01463011398533548,0.004821074741542253,0.004821074741542253,0.5263157894736842,91
knn_resid_tangential_cov_expected,one_fish_conditional_baseline,19,1470,-0.012593046723017587,-0.01463011398533448,0.004821074741541698,0.004821074741541698,0.5263157894736842,91
knn_resid_alignment_expected,one_fish_conditional_baseline,19,1470,-0.021099893674715688,0.05541797132654541,0.0035167046468953522,0.0035167046468953522,0.5263157894736842,91
knn_resid_tangential_cov_cumulant,empirical_cumulant,19,1470,0.014413723199618145,-0.026875873678582414,0.11041694436345878,0.11041694436345878,0.5789473684210527,92
knn_resid_alignment_cumulant,empirical_cumulant,19,1470,-0.04557661882961961,0.04321871651945658,-0.092358342963889,0.092358342963889,0.6842105263157895,92
knn_resid_tangential_cov_observed,observed_pair,19,1470,-0.022067415601390528,-0.04517047173565403,0.08571915292664387,0.08571915292664387,0.5789473684210527,92
knn_resid_alignment_expected,one_fish_conditional_baseline,19,1470,-0.009538244537849627,0.02059517957943481,-0.07885447271298285,0.07885447271298285,0.5789473684210527,92
knn_resid_radial_cov_expected,one_fish_conditional_baseline,19,1470,0.007005433938180594,-0.007666158579013205,-0.07025490221073025,0.07025490221073025,0.5789473684210527,92
knn_resid_tangential_cov_expected,one_fish_conditional_baseline,19,1470,0.007005433938178929,-0.007666158579012872,-0.07025490221072972,0.07025490221072972,0.5789473684210527,92
knn_resid_speed_cov_expected,one_fish_conditional_baseline,19,1470,0.007005433938180761,-0.007666158579013205,-0.07025490221072847,0.07025490221072847,0.5789473684210527,92
knn_resid_alignment_observed,observed_pair,19,1470,-0.07205123166893834,-0.030816577052436706,-0.06927127744365014,0.06927127744365014,0.631578947368421,92
knn_resid_radial_cov_observed,observed_pair,19,1470,0.0169863659588273,-0.03633545693454862,0.040625956439470576,0.040625956439470576,0.5263157894736842,92
knn_resid_speed_cov_cumulant,empirical_cumulant,19,1470,0.0029145272859978505,0.03852643276688772,-0.01442322770953458,0.01442322770953458,0.5789473684210527,92
knn_resid_radial_cov_cumulant,empirical_cumulant,19,1470,0.020612608833889823,0.005259060883026412,0.013563827197343531,0.013563827197343531,0.5263157894736842,92
knn_resid_speed_cov_observed,observed_pair,19,1470,0.018663892838144625,0.010813050035170545,-0.011501421712962534,0.011501421712962534,0.5263157894736842,92
knn_resid_alignment_expected,one_fish_conditional_baseline,19,1470,0.12590911601638277,-0.0687523640765183,0.12893018024988728,0.12893018024988728,0.7894736842105263,93
knn_resid_alignment_cumulant,empirical_cumulant,19,1470,0.11094709101136252,0.007905975607097188,0.09775907230728229,0.09775907230728229,0.6842105263157895,93
knn_resid_speed_cov_observed,observed_pair,19,1470,-0.06593474069072966,0.0628586866666169,-0.09610977510569069,0.09610977510569069,0.631578947368421,93
knn_resid_tangential_cov_observed,observed_pair,19,1470,0.0403002585964236,0.05921003347616595,0.07445665247150475,0.07445665247150475,0.631578947368421,93
knn_resid_tangential_cov_cumulant,empirical_cumulant,19,1470,0.05866796052184492,0.053736884262551174,0.05987025078800125,0.05987025078800125,0.6842105263157895,93
knn_resid_alignment_observed,observed_pair,19,1470,0.09916880374058483,-0.01686334615048317,0.059606502831088086,0.059606502831088086,0.7368421052631579,93
knn_resid_speed_cov_cumulant,empirical_cumulant,19,1470,-0.07053815427365123,0.069594085833113,-0.05279275259867927,0.05279275259867927,0.631578947368421,93
knn_resid_radial_cov_cumulant,empirical_cumulant,19,1470,0.03350468107591653,0.0603118616025436,-0.031173392283234486,0.031173392283234486,0.5263157894736842,93
knn_resid_radial_cov_observed,observed_pair,19,1470,0.03732511929769061,0.05607922299765056,0.02265335219923348,0.02265335219923348,0.5263157894736842,93
knn_resid_speed_cov_expected,one_fish_conditional_baseline,19,1470,-0.051825124853355775,0.05928733214754395,-0.0015636158643209108,0.0015636158643209108,0.5263157894736842,93
knn_resid_radial_cov_expected,one_fish_conditional_baseline,19,1470,-0.05182512485335522,0.059287332147544114,-0.0015636158643207165,0.0015636158643207165,0.5263157894736842,93
knn_resid_tangential_cov_expected,one_fish_conditional_baseline,19,1470,-0.05182512485335611,0.0592873321475435,-0.001563615864320328,0.001563615864320328,0.5263157894736842,93
knn_resid_alignment_expected,one_fish_conditional_baseline,19,1471,0.06534637760566425,0.0022540305123410695,0.1438458182308257,0.1438458182308257,0.5789473684210527,94
knn_resid_radial_cov_observed,observed_pair,19,1471,0.08529365638602707,-0.09115918521364827,0.13289065960475732,0.13289065960475732,0.5789473684210527,94
knn_resid_tangential_cov_cumulant,empirical_cumulant,19,1471,0.0014224633095684114,0.08710234870457897,-0.12148928987116196,0.12148928987116196,0.631578947368421,94
knn_resid_radial_cov_cumulant,empirical_cumulant,19,1471,0.04138137985441555,-0.07142313862284425,0.10918575242587861,0.10918575242587861,0.5789473684210527,94
knn_resid_tangential_cov_observed,observed_pair,19,1471,-0.032837711036762945,0.11995426344748736,-0.07958686462299633,0.07958686462299633,0.6842105263157895,94
knn_resid_speed_cov_expected,one_fish_conditional_baseline,19,1471,-0.014515327579038374,-0.13475325954901998,0.05573424146663414,0.05573424146663414,0.5263157894736842,94
knn_resid_tangential_cov_expected,one_fish_conditional_baseline,19,1471,-0.014515327579038131,-0.1347532595490197,0.05573424146663358,0.05573424146663358,0.5263157894736842,94
knn_resid_radial_cov_expected,one_fish_conditional_baseline,19,1471,-0.014515327579038187,-0.13475325954901948,0.05573424146663272,0.05573424146663272,0.5263157894736842,94
knn_resid_alignment_observed,observed_pair,19,1471,-0.03451148251018585,-0.010458269144831167,-0.036570806353004914,0.036570806353004914,0.5789473684210527,94
