variable,family,event_type,relative_time_sec,median_resid_z,q25_resid_z,q75_resid_z,n_events
knn_resid_speed_cov_cumulant,empirical_cumulant,low_to_high,0.25,0.04935405886097055,-0.589916479800432,0.7220931537735221,721
knn_resid_speed_cov_cumulant,empirical_cumulant,low_to_high,0.3,0.020754119295691386,-0.6172838636252815,0.735613925572397,721
knn_resid_speed_cov_cumulant,empirical_cumulant,low_to_high,0.35,0.08537070410293195,-0.5538643378429433,0.7640126309926547,721
knn_resid_speed_cov_cumulant,empirical_cumulant,low_to_high,0.4,-0.03165816421483668,-0.6486597025511749,0.7319657526159721,721
knn_resid_speed_cov_cumulant,empirical_cumulant,low_to_high,0.45,-0.034385020249162436,-0.6337082450664382,0.8268899748031743,721
knn_resid_speed_cov_cumulant,empirical_cumulant,low_to_high,0.5,-0.04106246641132984,-0.6076240075723438,0.6540985313510197,721
knn_resid_speed_cov_cumulant,empirical_cumulant,high_to_low,-0.5,0.003112673262688941,-0.6950666772898306,0.6984791284712628,750
knn_resid_speed_cov_cumulant,empirical_cumulant,high_to_low,-0.45,0.011552143983391317,-0.587111837377265,0.7158038229755658,750
knn_resid_speed_cov_cumulant,empirical_cumulant,high_to_low,-0.4,-0.07585264358044774,-0.6277329573125997,0.6318946548271445,750
knn_resid_speed_cov_cumulant,empirical_cumulant,high_to_low,-0.35,0.008006262760739576,-0.622212358777331,0.7107868239690159,750
knn_resid_speed_cov_cumulant,empirical_cumulant,high_to_low,-0.3,0.01052718489263385,-0.5868506242357923,0.7642443659669789,750
knn_resid_speed_cov_cumulant,empirical_cumulant,high_to_low,-0.25,-0.0027962494216503143,-0.6365235006128913,0.7682354628864491,750
knn_resid_speed_cov_cumulant,empirical_cumulant,high_to_low,-0.2,0.021239644160488635,-0.5957937652902536,0.6937708683154873,750
knn_resid_speed_cov_cumulant,empirical_cumulant,high_to_low,-0.15,0.11800810738369241,-0.6165575929257161,0.7994541644894393,750
knn_resid_speed_cov_cumulant,empirical_cumulant,high_to_low,-0.1,0.044345160785755774,-0.6086930994139518,0.7386034858135583,750
knn_resid_speed_cov_cumulant,empirical_cumulant,high_to_low,-0.05,0.05166099060240034,-0.6867799846371073,0.7537647877760083,750
knn_resid_speed_cov_cumulant,empirical_cumulant,high_to_low,-0.0,-0.004325452409349807,-0.679081398363844,0.718298065293153,750
knn_resid_speed_cov_cumulant,empirical_cumulant,high_to_low,0.05,0.019720085776089476,-0.6613218896760824,0.7189025708232805,750
knn_resid_speed_cov_cumulant,empirical_cumulant,high_to_low,0.1,0.13375464264442843,-0.6129356824746086,0.7503855647037532,750
knn_resid_speed_cov_cumulant,empirical_cumulant,high_to_low,0.15,8.732605511072245e-05,-0.6306335896085071,0.6896313881461693,750
