replicate,variable,null_abs_transition_modulation
12,top_tangential_radius_mean_z,0.005371637525889317
12,resid_speed_gini,0.02477591580841887
12,resid_energy_shell_entropy,0.013821481137397923
13,edge_energy_share,0.032222689670435706
13,core_energy_share,0.035887761890441155
13,edge_minus_core_energy_share,0.037822108545792765
13,edge_minus_core_speed_mean,0.04704543193419894
13,edge_minus_core_speed_q75,0.013757092600693688
13,edge_minus_core_tangential_mean,0.022331007919740298
13,edge_minus_core_tangential_q75,0.01431144205643492
13,edge_minus_core_radial_abs_mean,0.026906127333993474
13,edge_minus_core_radial_abs_q75,0.02097037306149782
13,edge_minus_core_radial_signed_mean,0.02332342915474217
13,edge_high_speed_fraction_minus_core,0.005880021141649039
13,top_speed_radius_mean_z,0.028888376476249672
13,top_tangential_radius_mean_z,0.020604734117118467
13,resid_speed_gini,0.006671133084652864
13,resid_energy_shell_entropy,0.025186054323267343
14,edge_energy_share,0.018188763039261396
14,core_energy_share,0.02072297875290563
14,edge_minus_core_energy_share,0.024476188886793454
14,edge_minus_core_speed_mean,0.014665621550836616
14,edge_minus_core_speed_q75,0.01028265596109837
14,edge_minus_core_tangential_mean,0.023058482993409207
14,edge_minus_core_tangential_q75,0.0034792952708057323
14,edge_minus_core_radial_abs_mean,0.03382027236495644
14,edge_minus_core_radial_abs_q75,0.012559756024193958
14,edge_minus_core_radial_signed_mean,0.03447638682743839
14,edge_high_speed_fraction_minus_core,0.004623800930789873
14,top_speed_radius_mean_z,0.019078638696006123
14,top_tangential_radius_mean_z,0.006137543767988418
14,resid_speed_gini,0.03565594637023209
14,resid_energy_shell_entropy,0.010651363235718386
15,edge_energy_share,0.014284125573871015
15,core_energy_share,0.02389708447197786
15,edge_minus_core_energy_share,0.025042824267661773
15,edge_minus_core_speed_mean,0.02223108114264888
15,edge_minus_core_speed_q75,0.03399368439924433
15,edge_minus_core_tangential_mean,0.024903847440691795
15,edge_minus_core_tangential_q75,0.03260502706098645
15,edge_minus_core_radial_abs_mean,0.005479316685857688
15,edge_minus_core_radial_abs_q75,0.01109250017458946
15,edge_minus_core_radial_signed_mean,0.017997309291467034
15,edge_high_speed_fraction_minus_core,0.03208689853439384
15,top_speed_radius_mean_z,0.024526154845935205
15,top_tangential_radius_mean_z,0.022741881320725604
15,resid_speed_gini,0.04154617340139233
15,resid_energy_shell_entropy,0.013621709101239693
16,edge_energy_share,0.03295843927422515
16,core_energy_share,0.01109250017458946
16,edge_minus_core_energy_share,0.014157866153300697
16,edge_minus_core_speed_mean,0.020728548329044694
16,edge_minus_core_speed_q75,0.018410785879105163
16,edge_minus_core_tangential_mean,0.04446666118050596
16,edge_minus_core_tangential_q75,0.020892054804566046
16,edge_minus_core_radial_abs_mean,0.006379051492232418
16,edge_minus_core_radial_abs_q75,0.010801294777072284
16,edge_minus_core_radial_signed_mean,0.026403508771929818
16,edge_high_speed_fraction_minus_core,0.010280105420252844
16,top_speed_radius_mean_z,0.011371705325041476
16,top_tangential_radius_mean_z,0.03818387613454349
16,resid_speed_gini,0.01303511447338257
16,resid_energy_shell_entropy,0.007812874374610812
17,edge_energy_share,0.04738371693339935
17,core_energy_share,0.022286164782417184
17,edge_minus_core_energy_share,0.032573992023034876
17,edge_minus_core_speed_mean,0.0480330020991557
17,edge_minus_core_speed_q75,0.0603434129640274
17,edge_minus_core_tangential_mean,0.01274206201742431
17,edge_minus_core_tangential_q75,0.011022802417843508
17,edge_minus_core_radial_abs_mean,0.04876366195200296
17,edge_minus_core_radial_abs_q75,0.02752041534704719
17,edge_minus_core_radial_signed_mean,0.01671626227399628
17,edge_high_speed_fraction_minus_core,0.03958260021343102
17,top_speed_radius_mean_z,0.03083668974452347
17,top_tangential_radius_mean_z,0.020147739264550713
17,resid_speed_gini,0.021474584122955276
17,resid_energy_shell_entropy,0.02415464437615314
18,edge_energy_share,0.016245008300610042
18,core_energy_share,0.020833928209670838
18,edge_minus_core_energy_share,0.02399996352415898
18,edge_minus_core_speed_mean,0.03645588015301435
18,edge_minus_core_speed_q75,0.01498737157358851
18,edge_minus_core_tangential_mean,0.021793555454841823
18,edge_minus_core_tangential_q75,0.024012806830309485
18,edge_minus_core_radial_abs_mean,0.013408993230576371
18,edge_minus_core_radial_abs_q75,0.016506585543706126
18,edge_minus_core_radial_signed_mean,0.01031573458928145
18,edge_high_speed_fraction_minus_core,0.011181982799461282
18,top_speed_radius_mean_z,0.023207802714198644
18,top_tangential_radius_mean_z,0.02776841869622662
18,resid_speed_gini,0.015521032722632389
18,resid_energy_shell_entropy,0.029924062303499505
19,edge_energy_share,0.0190092769876003
19,core_energy_share,0.01820088643569681
19,edge_minus_core_energy_share,0.019764298281197773
19,edge_minus_core_speed_mean,0.01741172855309292
19,edge_minus_core_speed_q75,0.04351826919566251
19,edge_minus_core_tangential_mean,0.012964650981471287
19,edge_minus_core_tangential_q75,0.012204554438076748
19,edge_minus_core_radial_abs_mean,0.016800174141112817
19,edge_minus_core_radial_abs_q75,0.012846541425379582
