ob,dataset,k,lag_sec,lag_steps,n_attempted,n_valid,valid_fit_fraction,rank_screen_pass_fraction,median_neighbor_retention,median_condition_number,q90_condition_number,q95_condition_number,q99_condition_number,max_condition_number,frac_condition_gt_10,frac_condition_gt_30,frac_condition_gt_100,median_relative_residual_fraction,median_d2min,median_focal_tangential_mean,top5_t1_median_condition_number,rest95_t1_median_condition_number,top5_t1_frac_condition_gt_100,spearman_log_condition_vs_log_t1,event_window_fraction,event_window_valid_fit_fraction,event_window_median_condition_number,non_event_window_median_condition_number,combo_passes_qc_gate
11,Ob11.txt,10,0.1,10,4228,4227,0.999763481551561,0.999763481551561,1.0,2.625579585707818,4.633533893443769,5.493450270530826,7.5148833655048675,12.73208025245658,0.0018925952211970665,0.0,0.0,0.6997141019623343,470.831043016795,155.72598467123385,2.162084239651475,2.655088806315812,0.0,-0.17481067539569217,0.21073793755912962,1.0,2.6154875469203307,2.6271560889135994,True
12,Ob12.txt,8,0.1,10,5478,5477,0.9998174516246805,0.9998174516246805,1.0,2.424519907506871,4.055518501162532,4.758529462251122,6.492754230997308,11.270012377841757,0.0007303268212525105,0.0,0.0,0.6814048835118173,740.839619108428,194.91815736420168,2.0743629393089,2.4489000805711605,0.0,-0.1095921913240802,0.1538882803943045,1.0,2.383642289240463,2.434560264332104,True
12,Ob12.txt,10,0.1,10,5478,5477,0.9998174516246805,0.9998174516246805,1.0,2.2933981490846738,3.72594858231527,4.23381195244736,5.5939867871508655,8.511979743613795,0.0,0.0,0.0,0.7165698342543018,819.6690170620952,207.06154198730343,1.9187433181751468,2.312945790793926,0.0,-0.14078743466223168,0.1538882803943045,1.0,2.306036889650089,2.2886818760190115,True
13,Ob13.txt,8,0.1,10,7142,7142,1.0,1.0,1.0,2.3238361334654836,3.8293359400444147,4.4952001878412995,6.186143461318915,19.76644805846946,0.0005600672080649678,0.0,0.0,0.6932659460905409,651.3029354538754,183.4068944641471,2.0546318348472354,2.34119413309746,0.0,-0.12056460520180075,0.2038644637356483,1.0,2.322675252288189,2.3242848940581533,True
13,Ob13.txt,10,0.1,10,7142,7142,1.0,1.0,1.0,2.1700780921943945,3.3928058190222616,3.9143841618350783,5.053563557605419,8.646699334927588,0.0,0.0,0.0,0.7307601232357991,734.6025297900221,195.37432208303306,1.8577562736030901,2.189296884670297,0.0,-0.17276356470959955,0.2038644637356483,1.0,2.1839161206289965,2.169184699117174,True
14,Ob14.txt,8,0.1,10,7200,7200,1.0,1.0,1.0,2.2306044874916204,3.651732978872442,4.330500556671246,6.114914700764703,11.595629928104596,0.0008333333333333334,0.0,0.0,0.7089918319999141,637.0171963315613,178.56810220231037,2.0257439087174958,2.2401236858090217,0.0,-0.11414732116410728,0.09,1.0,2.2179752862027913,2.231289922919493,True
14,Ob14.txt,10,0.1,10,7200,7200,1.0,1.0,1.0,2.0833315070920397,3.2675425845996373,3.7586040452601024,5.264855545953701,12.568922386555847,0.0005555555555555556,0.0,0.0,0.7482223390820533,714.7380994716639,190.13584617983287,1.8514806159151052,2.0952901410451603,0.0,-0.15352509658291721,0.09,1.0,2.089556043838474,2.082108160138037,True
15,Ob15.txt,8,0.1,10,5977,5976,0.9998326919859462,0.9998326919859462,1.0,2.719278289362535,4.865846501661878,5.775947999420204,8.71756711630568,20.14932733873054,0.0050200803212851405,0.0,0.0,0.6781413231217457,594.8152887793852,177.2201200091425,2.323475183428718,2.74872183993844,0.0,-0.1316757619436959,0.18236573531872177,1.0,2.674902193786228,2.732603476136011,True
15,Ob15.txt,10,0.1,10,5977,5976,0.9998326919859462,0.9998326919859462,1.0,2.559813376484255,4.424972538451997,5.203179667562434,7.427217247243972,12.112052818047069,0.001004016064257028,0.0,0.0,0.7162997769966752,669.143488032473,186.72220415263405,2.1873396422273075,2.587913067595175,0.0,-0.13077681661112212,0.18236573531872177,1.0,2.511373706343999,2.568209032253124,True
16,Ob16.txt,8,0.1,10,7176,7176,1.0,1.0,1.0,2.405292113347258,4.33026288867348,5.209251497957416,7.878864242273633,17.547715526732482,0.003483835005574136,0.0,0.0,0.6848202114637594,598.4128439691957,174.91656147388844,2.183140380681752,2.4182041758395942,0.0,-0.1407851014121664,0.1806020066889632,1.0,2.3438217742574734,2.413875788468217,True
16,Ob16.txt,10,0.1,10,7176,7176,1.0,1.0,1.0,2.228205912204266,3.9551945882446335,4.779267798739537,6.836350036837873,13.134906135062552,0.0016722408026755853,0.0,0.0,0.7212570290035014,675.6468714107395,185.71844157208415,1.9614679041822185,2.24953194984318,0.0,-0.17729418771858904,0.1806020066889632,1.0,2.1877093583766998,2.2419930585852876,True
17,Ob17.txt,8,0.1,10,4415,4414,0.9997734994337486,0.9997734994337486,1.0,2.8172934875288362,5.116691112077936,6.180230908245505,8.820058354904946,22.130824176033244,0.0058903488898957865,0.0,0.0,0.6653829483150265,633.3196400512483,180.13621751960736,2.5497273909559794,2.8310147318388217,0.0,-0.08777337200726575,0.21223103057757645,1.0,2.9539134700928154,2.7926724075491998,True
17,Ob17.txt,10,0.1,10,4415,4414,0.9997734994337486,0.9997734994337486,1.0,2.8239217024797707,4.928554427801491,5.775930786934164,8.01458459860466,15.230449363718282,0.0024920706841866785,0.0,0.0,0.7049800268672024,724.7779301217245,194.196761651466,2.483107431421538,2.8460061301705357,0.0,-0.14030448564490566,0.21223103057757645,1.0,2.8921366321706983,2.802246690903686,True
18,Ob18.txt,8,0.1,10,5680,5680,1.0,1.0,1.0,2.5677095752887547,4.64903470266915,5.6012664469490625,8.001412550811114,14.258731984974078,0.0024647887323943664,0.0,0.0,0.6808871217808357,676.9116453698261,184.649446599474,2.2595793634670764,2.5850585153725456,0.0,-0.13703438901773138,0.19190140845070422,1.0,2.487404194681227,2.5901317974552,True
18,Ob18.txt,10,0.1,10,5680,5680,1.0,1.0,1.0,2.4581153107959484,4.239898081431139,5.027562118230944,7.061875496159755,13.70397780013448,0.0008802816901408451,0.0,0.0,0.7170475312577487,754.8999851910316,195.72933430946634,2.1351876350284478,2.4795601474297344,0.0,-0.15404935060125974,0.19190140845070422,1.0,2.4074744965946877,2.4698983465018403,True
19,Ob19.txt,8,0.1,10,7169,7168,0.9998605105314549,0.9998605105314549,1.0,2.4008545047179073,4.240801533788536,5.1145214675357815,7.416128806380592,18.37352514466166,0.0020926339285714285,0.0,0.0,0.6919008482163123,817.5908482492326,202.79230155777327,2.0454157209147095,2.426117546080357,0.0,-0.13956582828728395,0.19416934021481377,1.0,2.396202321995628,2.401599910986999,True
19,Ob19.txt,10,0.1,10,7169,7168,0.9998605105314549,0.9998605105314549,1.0,2.240964487122011,3.821060112626807,4.52380096175435,6.234487862457717,13.282397684263268,0.0004185267857142857,0.0,0.0,0.7278833521475734,910.1126685596874,214.93865671966557,1.8904767029326155,2.2673066944462166,0.0,-0.18848768080560185,0.19416934021481377,1.0,2.2701876529640677,2.230380499541279,True
