variable,relative_time_sec,median_aligned_resid_z,q25_aligned_resid_z,q75_aligned_resid_z,n_events
edge_minus_core_resid_speed,0.75,0.0108546373433658,-0.6900445190636572,0.6923738078459879,1471
edge_minus_core_resid_tangential,-0.75,0.0619086638527211,-0.6474671926072394,0.7588997619229425,1471
edge_minus_core_resid_tangential,-0.7,0.0057379867105791,-0.6284395445720744,0.7193233390709726,1471
edge_minus_core_resid_tangential,-0.65,-0.007628738920680403,-0.6515076216664147,0.6606179882951257,1471
edge_minus_core_resid_tangential,-0.6,-0.029547707022217602,-0.6544538322881804,0.7028711737298753,1471
edge_minus_core_resid_tangential,-0.55,0.0211844990980425,-0.6662124115592133,0.6937801602008549,1471
edge_minus_core_resid_tangential,-0.5,0.0027235156304361,-0.6474703640090542,0.6561903907570874,1471
edge_minus_core_resid_tangential,-0.45,-0.0087556379033864,-0.663960170806137,0.6565197234571449,1471
edge_minus_core_resid_tangential,-0.4,-0.01176088527142487,-0.6813595903948649,0.6417024840548166,1471
edge_minus_core_resid_tangential,-0.35,0.014766442781541801,-0.687828985440153,0.6894846969990299,1471
edge_minus_core_resid_tangential,-0.3,-0.0453162235965329,-0.7237912693068316,0.6505164452984138,1471
edge_minus_core_resid_tangential,-0.25,-0.0366975385135354,-0.6910947861020569,0.5881167063427144,1471
edge_minus_core_resid_tangential,-0.2,-0.08239933029640994,-0.7626375895448797,0.6028501223908865,1471
edge_minus_core_resid_tangential,-0.15,-0.051244747621264054,-0.7010495464457918,0.6306786668341323,1471
edge_minus_core_resid_tangential,-0.1,-0.0402734897976913,-0.7065317874287738,0.6034953433574973,1471
edge_minus_core_resid_tangential,-0.05,-0.011171454991816,-0.6789524703782186,0.6514404763296096,1471
edge_minus_core_resid_tangential,0.0,-0.029347093850176,-0.6886863378123449,0.6477428666730685,1471
edge_minus_core_resid_tangential,0.05,-0.0034157793525062,-0.6657228107105067,0.680939740964353,1471
edge_minus_core_resid_tangential,0.1,0.0469141866282418,-0.622182004174348,0.659997073569334,1471
edge_minus_core_resid_tangential,0.15,0.0360621126205718,-0.628940522712093,0.6384550303292515,1471
edge_minus_core_resid_tangential,0.2,0.0259718346599432,-0.6027298152539532,0.6354073690165727,1471
edge_minus_core_resid_tangential,0.25,0.0304086993020136,-0.6146564303570612,0.6686906257041139,1471
edge_minus_core_resid_tangential,0.3,0.0447993215852853,-0.6200860144788413,0.7212410570081967,1471
edge_minus_core_resid_tangential,0.35,0.0292187579510358,-0.6103230251776224,0.6498634150196335,1471
edge_minus_core_resid_tangential,0.4,0.0024558397675708,-0.6765778990674585,0.7122792151880403,1471
edge_minus_core_resid_tangential,0.45,0.014503706882717949,-0.7140470004939845,0.6508482746828589,1471
edge_minus_core_resid_tangential,0.5,0.01054374075973095,-0.6793580277370967,0.7115548358226799,1471
edge_minus_core_resid_tangential,0.55,0.002001542046002112,-0.6511543685926794,0.6803642927424258,1471
edge_minus_core_resid_tangential,0.6,0.014659573292777086,-0.6492406695550683,0.6929548289023048,1471
edge_minus_core_resid_tangential,0.65,0.029173568528204016,-0.6486085439669749,0.6867605866159534,1471
edge_minus_core_resid_tangential,0.7,-0.010469216112354561,-0.6530815483169705,0.6661418351942086,1471
edge_minus_core_resid_tangential,0.75,0.0082360798293736,-0.6549167921815487,0.6621034977143664,1471
