variable,n_ob,n_events,null_median_pre_minus_baseline_z,null_sign_consistency_pre_minus_baseline_z,null_median_event_minus_baseline_z,null_sign_consistency_event_minus_baseline_z,null_median_post_minus_baseline_z,null_sign_consistency_post_minus_baseline_z,null_median_follow_minus_baseline_z,null_sign_consistency_follow_minus_baseline_z,null_median_post_minus_pre_z,null_sign_consistency_post_minus_pre_z,null_pre_to_post_abs_ratio,replicate
edge_minus_core_resid_speed,19,1467,-0.09715943921184,0.631578947368421,-0.05044830346299961,0.5789473684210527,0.009521390707330879,0.5263157894736842,0.012932893466587214,0.5263157894736842,-0.03276563761641285,0.5263157894736842,10.204332770110282,25
edge_minus_core_resid_tangential,19,1467,-0.019988023537697193,0.5789473684210527,0.02423004417493324,0.5789473684210527,-0.12332223865419617,0.631578947368421,-0.0071223738221228156,0.5263157894736842,-0.00384835511278378,0.5263157894736842,0.16207963588582713,25
edge_minus_core_resid_tangential,19,1465,0.06721775292828333,0.5789473684210527,0.12471787432230508,0.7894736842105263,0.11815520361232786,0.8421052631578947,-0.030325028903768925,0.6842105263157895,0.04303930836962726,0.5263157894736842,0.5688937166815571,26
edge_minus_core_resid_speed,19,1465,0.008386154937191165,0.5789473684210527,0.07447784758314974,0.631578947368421,0.06402099123543875,0.5789473684210527,0.02769047911738881,0.631578947368421,0.04599493161499016,0.631578947368421,0.13099070750640016,26
edge_minus_core_resid_speed,19,1471,0.06160668268924147,0.7368421052631579,-0.0022206015146994107,0.5263157894736842,0.004914697658944922,0.5263157894736842,0.07022826007958213,0.631578947368421,0.03662525245657178,0.5789473684210527,12.535192796064505,27
edge_minus_core_resid_tangential,19,1471,0.05735579597492597,0.6842105263157895,0.019504765037758984,0.5789473684210527,-0.020112862549067606,0.5789473684210527,0.059208610152773455,0.6842105263157895,-0.05831978669258016,0.7894736842105263,2.851697307382279,27
edge_minus_core_resid_tangential,19,1468,0.07070920268520359,0.631578947368421,0.10837243146711245,0.631578947368421,0.03372177173477631,0.5263157894736842,0.07768885910330461,0.631578947368421,0.01395502008972671,0.5263157894736842,2.0968412704212454,28
edge_minus_core_resid_speed,19,1468,0.0047833475029665645,0.5263157894736842,0.046875523072322,0.631578947368421,-0.008800465450133022,0.5263157894736842,-0.00892505654271919,0.5263157894736842,-0.01882023381676437,0.5789473684210527,0.5435334676411079,28
edge_minus_core_resid_tangential,19,1469,-0.03099997862881243,0.5263157894736842,-0.004909128628893894,0.5263157894736842,0.0315203392695978,0.5263157894736842,0.008668082386337067,0.5263157894736842,0.03258715623876601,0.5789473684210527,0.9834912741155909,29
edge_minus_core_resid_speed,19,1469,-0.1637008926083125,0.7368421052631579,-0.07673628254524445,0.6842105263157895,-0.048946550054549676,0.7368421052631579,-0.036867847240668106,0.5789473684210527,0.04619720347914981,0.5789473684210527,3.344482755697226,29
edge_minus_core_resid_speed,19,1469,-0.07745739842965749,0.631578947368421,-0.04604738219361945,0.631578947368421,-0.05503336810343794,0.6842105263157895,0.02787135981755645,0.631578947368421,0.02946941260318667,0.5263157894736842,1.4074624377717984,30
edge_minus_core_resid_tangential,19,1469,-0.026220616876456434,0.6842105263157895,0.022889209592831344,0.5263157894736842,-0.06226089491785758,0.5789473684210527,0.0014564789311922993,0.5263157894736842,-0.023742306031878435,0.5789473684210527,0.42114102135939385,30
edge_minus_core_resid_tangential,19,1463,-0.02600242941118802,0.5263157894736842,0.042371929877883296,0.7368421052631579,0.02778795864137472,0.5263157894736842,-0.009693859066456145,0.5263157894736842,0.06862237994425632,0.6842105263157895,0.935744498067298,31
edge_minus_core_resid_speed,19,1463,-0.04510000968346335,0.5789473684210527,0.06724381430707335,0.631578947368421,0.02754999088118601,0.5789473684210527,0.00046918245644409634,0.5789473684210527,0.033552695587419294,0.5789473684210527,1.637024486794379,31
edge_minus_core_resid_speed,19,1467,-0.06975190507845086,0.5789473684210527,-0.015181995948495924,0.5263157894736842,0.02802154906638603,0.631578947368421,0.015725944830772776,0.5263157894736842,-0.006130884387778396,0.5263157894736842,2.489223736817732,32
edge_minus_core_resid_tangential,19,1467,0.04455069013102106,0.5789473684210527,0.00573223840374304,0.5789473684210527,0.0260025136727067,0.6842105263157895,0.05795150489857823,0.5789473684210527,-0.026365192192125235,0.631578947368421,1.7133224384296077,32
edge_minus_core_resid_tangential,19,1469,0.14925732998571659,0.6842105263157895,0.05731676847704653,0.631578947368421,0.028128099693087383,0.631578947368421,0.02774745734398898,0.5789473684210527,-0.07386260578066532,0.5789473684210527,5.3063424694273715,33
edge_minus_core_resid_speed,19,1469,0.07118212861997406,0.5789473684210527,0.04129671532085222,0.6842105263157895,0.017905968241728354,0.5263157894736842,0.004356199704776492,0.5263157894736842,0.07242809408918285,0.5789473684210527,3.975329770444364,33
edge_minus_core_resid_tangential,19,1466,-0.05435895133786939,0.5789473684210527,0.031357556011739895,0.631578947368421,-0.00020915827450029845,0.5263157894736842,0.03063348679783995,0.5263157894736842,-0.04624430300502763,0.5789473684210527,259.89386012931476,34
edge_minus_core_resid_speed,19,1466,-0.06226761187076402,0.7368421052631579,0.07437556852758986,0.6842105263157895,-0.028680002026962345,0.5789473684210527,-0.04587907799924573,0.631578947368421,0.03689872432541401,0.5789473684210527,2.1711160205716036,34
edge_minus_core_resid_speed,19,1471,-0.003085569976053689,0.5263157894736842,0.06746236156708685,0.5789473684210527,-0.04671166544456481,0.631578947368421,-0.006224920986180438,0.5789473684210527,0.0639829126769047,0.5263157894736842,0.06605566182853183,35
edge_minus_core_resid_tangential,19,1471,-0.026819385964805292,0.5789473684210527,-0.07373213012071067,0.631578947368421,-0.0627126806949842,0.631578947368421,0.024015577623376055,0.631578947368421,0.05666595020129821,0.631578947368421,0.4276549123333891,35
edge_minus_core_resid_speed,19,1466,-0.08092401512714612,0.631578947368421,0.05406047646443768,0.6842105263157895,0.006682124627865609,0.5263157894736842,0.05601854887033325,0.631578947368421,0.1273955637064132,0.7368421052631579,12.110521672953997,36
edge_minus_core_resid_tangential,19,1466,-0.2073518970295984,0.8421052631578947,0.03061606572363722,0.5263157894736842,-0.022728660904300257,0.5263157894736842,-0.01913254688430721,0.5789473684210527,0.06516366029027762,0.7894736842105263,9.122926242890422,36
edge_minus_core_resid_speed,19,1469,-0.044872016637617085,0.5789473684210527,-0.021944914620538214,0.5789473684210527,0.03898537287749748,0.5789473684210527,-0.035953036354994486,0.5789473684210527,0.09757857851261642,0.7368421052631579,1.1509962153912705,37
edge_minus_core_resid_tangential,19,1469,-0.1435752056418818,0.631578947368421,-0.07196190139494951,0.5789473684210527,-0.07635232638300346,0.7894736842105263,-0.05644057684932244,0.631578947368421,0.07012299118364596,0.6842105263157895,1.8804300070919988,37
edge_minus_core_resid_tangential,19,1469,0.008033765283295913,0.5789473684210527,0.0038723215822869805,0.5263157894736842,0.06937953177471445,0.5789473684210527,-0.006508583165342245,0.5263157894736842,0.056793048886311565,0.631578947368421,0.11579445807421605,38
edge_minus_core_resid_speed,19,1469,0.05531256576089316,0.631578947368421,-0.008359272167110694,0.5263157894736842,0.06397801097546657,0.7894736842105263,-0.02124353686239208,0.5263157894736842,0.01566047740068849,0.5789473684210527,0.8645558828345521,38
edge_minus_core_resid_tangential,19,1463,0.07720802789066429,0.6842105263157895,0.09019868677959952,0.8421052631578947,0.01173886556519399,0.5263157894736842,0.027721254267114137,0.5789473684210527,-0.09572543391077637,0.5263157894736842,6.5771285531702395,39
