ob,dataset,lag_sec,n_events,event_median_A_z,control_median_A_z,delta_median_A_z
3,Ob3.txt,0.5,39,-0.3316527645092917,0.1171425565697117,-0.44879532107900344
4,Ob4.txt,-0.5,55,-0.1273088049178678,0.1414308110187387,-0.2687396159366065
4,Ob4.txt,-0.4,55,0.1365868387695832,-0.0668694213390658,0.20345626010864898
4,Ob4.txt,-0.3,55,-0.0820484896934086,0.1899220149486386,-0.2719705046420472
4,Ob4.txt,-0.2,55,0.0328918792282856,0.1852107146883612,-0.1523188354600756
4,Ob4.txt,-0.1,55,-0.1591659709493328,0.4554496192439282,-0.614615590193261
4,Ob4.txt,-0.0,55,-0.1172440314073141,0.4116573340551671,-0.5289013654624812
4,Ob4.txt,0.1,55,0.0636818972178852,0.2875460137475804,-0.22386411652969518
4,Ob4.txt,0.2,55,0.3386587031927605,0.206060509434628,0.13259819375813248
4,Ob4.txt,0.3,55,0.0910138733765426,-0.1433096128230458,0.2343234861995884
4,Ob4.txt,0.4,54,0.0863575866639894,0.09755777602911364,-0.011200189365124236
4,Ob4.txt,0.5,54,-0.0793433799599599,-0.24295997845859812,0.16361659849863824
5,Ob5.txt,-0.5,92,0.18026202581307998,-0.20678058080429207,0.38704260661737205
5,Ob5.txt,-0.4,92,-0.0690049792268614,0.0417630620759227,-0.1107680413027841
5,Ob5.txt,-0.3,92,-0.07152713189404795,0.166836174561224,-0.23836330645527193
5,Ob5.txt,-0.2,92,0.1952289588847258,0.2056198580594062,-0.01039089917468039
5,Ob5.txt,-0.1,92,0.1047826660688024,0.2933105785950886,-0.18852791252628617
5,Ob5.txt,-0.0,92,-0.057007666447937304,0.12995116157590642,-0.18695882802384373
5,Ob5.txt,0.1,92,-0.14538123652874496,-0.0993860358492736,-0.04599520067947137
5,Ob5.txt,0.2,92,0.07004692679935726,-0.348054196169456,0.41810112296881324
5,Ob5.txt,0.3,92,0.1093466539724328,-0.0911225691654517,0.2004692231378845
5,Ob5.txt,0.4,91,0.0364342684473001,0.0214623020219058,0.0149719664253943
5,Ob5.txt,0.5,91,0.1767956416781719,-0.0484201809872292,0.2252158226654011
6,Ob6.txt,-0.5,112,-0.01021792807295315,0.015336501842925301,-0.025554429915878453
6,Ob6.txt,-0.4,112,0.1003918584195657,-0.0201613228885499,0.1205531813081156
6,Ob6.txt,-0.3,112,-0.10961730853664634,-0.0663865935070348,-0.04323071502961154
6,Ob6.txt,-0.2,112,0.0025634037430836,-0.02238833128375905,0.02495173502684265
6,Ob6.txt,-0.1,112,-0.06239578856449875,-0.16249246409522844,0.10009667553072969
6,Ob6.txt,-0.0,112,-0.07983014497130465,-0.21897267206281756,0.13914252709151292
